"edon","ife","inegi","mun","mean","sd","median","note"
1,1001,1001,"AGUASCALIENTES",17.2,18.09,9.34,NA
1,1002,1002,"ASIENTOS",7.36,4.4,6.41,NA
1,1003,1003,"CALVILLO",4.52,8.12,0.58,NA
1,1004,1004,"COSIO",7.79,6.81,8,NA
1,1005,1005,"JESUS MARIA",13.55,17.65,5.38,NA
1,1006,1006,"PABELLON DE ARTEAGA",15.96,14.19,10.4,NA
1,1007,1007,"RINCON DE ROMOS",11.62,11.83,9.06,NA
1,1008,1008,"SAN JOSE DE GRACIA",2.11,4.19,0,NA
1,1009,1009,"TEPEZALA",9.95,5.45,8.51,NA
1,1010,1011,"SAN FRANCISCO DE LOS ROMO",23.91,16.49,18.5,NA
1,1011,1010,"EL LLANO",6.85,4.02,6.96,NA
