"edon","ife","inegi","mun","mean","sd","median","note"
4,4001,4002,"CAMPECHE",2.85,8,0,NA
4,4002,4001,"CALKINI",2.37,6.03,0,NA
4,4003,4003,"CARMEN",1.56,5.7,0,NA
4,4004,4004,"CHAMPOTON",0.82,2.65,0,NA
4,4005,4005,"HECELCHAKAN",2.04,5.32,0,NA
4,4006,4006,"HOPELCHEN",0.35,1.72,0,NA
4,4007,4007,"PALIZADA",0.46,1.9,0,NA
4,4008,4008,"TENABO",1.43,3.69,0,NA
4,4009,4009,"ESCARCEGA",0.81,3.52,0,NA
4,4010,4011,"CANDELARIA",0.58,2.19,0,NA
4,4011,4010,"CALAKMUL",0.15,0.95,0,NA
4,4012,4013,"DZITBALCHE",2.67,5.75,0,NA
4,4013,4012,"SEYBAPLAYA",3.66,5.19,1.91,NA
