"edon","ife","inegi","mun","mean","sd","median","note"
5,5001,5001,"ABASOLO",5.68,2.62,6.56,NA
5,5002,5002,"ACUÑA",1.02,5.22,0,NA
5,5003,5003,"ALLENDE",10.49,10.83,7,NA
5,5004,5004,"ARTEAGA",8.64,7.57,7,NA
5,5005,5005,"CANDELA",1.59,2.67,0,NA
5,5006,5006,"CASTAÑOS",4.17,6.5,3.46,NA
5,5007,5007,"CUATROCIENEGAS",1.08,2.57,0,NA
5,5008,5008,"ESCOBEDO",3.53,3.24,4.95,NA
5,5009,5009,"FRANCISCO I. MADERO",3.29,7.45,0,NA
5,5010,5010,"FRONTERA",15.28,15.18,8,NA
5,5011,5011,"GENERAL CEPEDA",4.33,3.12,6,NA
5,5012,5012,"GUERRERO",2.94,3.3,0,NA
5,5013,5013,"HIDALGO",3.23,3.42,0.88,NA
5,5014,5014,"JIMENEZ",2.89,3.26,0,NA
5,5015,5015,"JUAREZ",1.07,2.34,0,NA
5,5016,5016,"LAMADRID",1.41,2.91,0,NA
5,5017,5017,"MATAMOROS",21.97,14.06,17.78,NA
5,5018,5018,"MONCLOVA",10.82,14.98,7,NA
5,5019,5019,"MORELOS",6.31,7.32,6,NA
5,5020,5020,"MUZQUIZ",1.36,4.27,0,NA
5,5021,5021,"NADADORES",4.53,5.06,6,NA
5,5022,5022,"NAVA",12.9,11.56,8,NA
5,5023,5023,"OCAMPO",0.33,1.74,0,NA
5,5024,5024,"PARRAS",2.74,4.19,0,NA
5,5025,5025,"PIEDRAS NEGRAS",14.13,17.76,7,NA
5,5026,5026,"PROGRESO",2.9,3.19,0,NA
5,5027,5027,"RAMOS ARIZPE",4.99,8.2,6,NA
5,5028,5028,"SABINAS",5.93,9.54,6,NA
5,5029,5029,"SACRAMENTO",4.35,3.76,6,NA
5,5030,5030,"SALTILLO",8.19,12.73,6,NA
5,5031,5031,"SAN BUENAVENTURA",1.14,3.86,0,NA
5,5032,5032,"SAN JUAN DE SABINAS",5.16,10.7,0,NA
5,5033,5033,"SAN PEDRO",3.27,5.86,0,NA
5,5034,5034,"SIERRA MOJADA",0.74,2.72,0,NA
5,5035,5035,"TORREON",16.14,23.17,6,NA
5,5036,5036,"VIESCA",3.86,3.94,5.85,NA
5,5037,5037,"VILLA UNION",2.34,3.58,0,NA
5,5038,5038,"ZARAGOZA",0.8,2.77,0,NA
