"edon","ife","inegi","mun","mean","sd","median","note"
7,7001,7001,"ACACOYAGUA",3.71,5.83,1.03,NA
7,7002,7002,"ACALA",3.63,3.59,4,NA
7,7003,7003,"ACAPETAHUA",4.01,3.94,4,NA
7,7004,7004,"ALTAMIRANO",0.75,2.09,0,NA
7,7005,7005,"AMATAN",2.96,2.01,4,NA
7,7006,7006,"AMATENANGO DE LA FRONTERA",4.31,1.67,4,NA
7,7007,7007,"AMATENANGO DEL VALLE",3.31,2.86,4,NA
7,7008,7008,"ANGEL ALBINO CORZO",0.8,2.09,0,NA
7,7009,7009,"ARRIAGA",3.55,6.94,0.72,NA
7,7010,7010,"BEJUCAL DE OCAMPO",4.1,0.23,4,NA
7,7011,7011,"BELLA VISTA",3.75,1.76,4,NA
7,7012,7012,"BERRIOZABAL",8.52,9.31,4,NA
7,7013,7013,"BOCHIL",4.24,4.41,4,NA
7,7014,7014,"EL BOSQUE",6.11,2.24,5.8,NA
7,7015,7015,"CACAHOATAN",7.45,6.76,5.22,NA
7,7016,7016,"CATAZAJA",2.74,2.36,3.85,NA
7,7017,7017,"CINTALAPA",1.3,4.08,0,NA
7,7018,7018,"COAPILLA",2.83,2.51,3.44,NA
7,7019,7019,"COMITAN DE DOMINGUEZ",6.88,10.6,4,NA
7,7020,7020,"LA CONCORDIA",0.74,2,0,NA
7,7021,7021,"COPAINALA",3,2.74,3.53,NA
7,7022,7022,"CHALCHIHUITAN",3.96,1.34,4,NA
7,7023,7023,"CHAMULA",9.21,6.64,7.43,NA
7,7024,7024,"CHANAL",0.8,2.15,0,NA
7,7025,7025,"CHAPULTENANGO",1.59,1.82,0.41,NA
7,7026,7026,"CHENALHO",6.02,1.58,6,NA
7,7027,7027,"CHIAPA DE CORZO",7.77,10.19,4.77,NA
7,7028,7028,"CHIAPILLA",4.09,1.67,4.41,NA
7,7029,7029,"CHICOASEN",4.01,4.63,3.17,NA
7,7030,7030,"CHICOMUSELO",0.94,1.87,0,NA
7,7031,7031,"CHILON",1.89,2.4,0,NA
7,7032,7032,"ESCUINTLA",3.38,4.74,3.95,NA
7,7033,7033,"FRANCISCO LEON",1.17,1.65,0,NA
7,7034,7034,"FRONTERA COMALAPA",3.5,3.72,4,NA
7,7035,7035,"FRONTERA HIDALGO",8.39,2.21,7.98,NA
7,7036,7036,"LA GRANDEZA",4.83,0.87,4.56,NA
7,7037,7037,"HUEHUETAN",7.35,3.26,6.3,NA
7,7038,7039,"HUITIUPAN",3.79,1.56,4,NA
7,7039,7038,"HUIXTAN",4.35,2.19,4,NA
7,7040,7040,"HUIXTLA",7.38,7.77,5.32,NA
7,7041,7041,"LA INDEPENDENCIA",3.67,3.61,4,NA
7,7042,7042,"IXHUATAN",4.56,1.89,4,NA
7,7043,7043,"IXTACOMITAN",3.39,1.69,4,NA
7,7044,7044,"IXTAPA",4.04,2.26,4,NA
7,7045,7045,"IXTAPANGAJOYA",3.79,0.91,4,NA
7,7046,7046,"JIQUIPILAS",2.34,3.46,1.13,NA
7,7047,7047,"JITOTOL",3.29,2.46,4,NA
7,7048,7048,"JUAREZ",10.49,9.99,6.47,NA
7,7049,7049,"LARRAINZAR",5.79,2.46,5,NA
7,7050,7050,"LA LIBERTAD",1.38,2.5,0,NA
7,7051,7051,"MAPASTEPEC",2.43,4.28,0,NA
7,7052,7052,"LAS MARGARITAS",0.88,3.06,0,NA
7,7053,7053,"MAZAPA DE MADERO",4.63,2.36,4.17,NA
7,7054,7054,"MAZATAN",5.89,4.73,5.09,NA
7,7055,7055,"METAPA",14.69,3.18,14.27,NA
