"edon","munn","mun","mean","sd","median","note"
7,1,"ACACOYAGUA",5.79,3.4,6,""
7,2,"ACALA",6.83,1.48,7,""
7,3,"ACAPETAHUA",5.17,2.97,6,""
7,4,"ALTAMIRANO",5.02,2.72,6,""
7,5,"AMATAN",6.79,0.57,7,""
7,6,"AMATENANGO DE LA FRONTERA",6.85,0.48,7,""
7,7,"AMATENANGO DEL VALLE",7.1,2.47,6.96,""
7,8,"ANGEL ALBINO CORZO",5.54,2.39,6,""
7,9,"ARRIAGA",5.91,6,6,""
7,10,"BEJUCAL DE OCAMPO",6.85,0.32,7,""
7,11,"BELLA VISTA",6.76,0.99,7,""
7,12,"BERRIOZABAL",12.4,10.27,7,""
7,13,"BOCHIL",7.74,2.84,7,""
7,14,"EL BOSQUE",9.13,2.08,8.37,""
7,15,"CACAHOATAN",9.6,5.45,7,""
7,16,"CATAZAJA",6.02,1.76,6,""
7,17,"CINTALAPA",5.01,4.53,6,""
7,18,"COAPILLA",7.02,0.58,7,""
7,19,"COMITAN DE DOMINGUEZ",11.21,11.43,7,""
7,20,"LA CONCORDIA",3.98,3.03,6,""
7,21,"COPAINALA",6.2,2.04,6.35,""
7,22,"CHALCHIHUITAN",7.21,0.68,7,""
7,23,"CHAMULA",13.03,8.33,10.04,""
7,24,"CHANAL",3.06,3.07,2.1,""
7,25,"CHAPULTENANGO",5.63,1.84,6,""
7,26,"CHENALHO",9.7,1.96,9.86,""
7,27,"CHIAPA DE CORZO",10.9,9.56,7.01,""
7,28,"CHIAPILLA",6.94,0.19,7,""
7,29,"CHICOASEN",7.68,2.42,7,""
7,30,"CHICOMUSELO",5.75,2.03,6,""
7,31,"CHILON",6.22,1.91,6,""
7,32,"ESCUINTLA",7.03,4.24,6.43,""
7,33,"FRANCISCO LEON",5.07,2.5,6,""
7,34,"FRONTERA COMALAPA",6.78,2.57,7,""
7,35,"FRONTERA HIDALGO",7.7,0.93,7,""
7,36,"LA GRANDEZA",7.01,0.25,7,""
7,37,"HUEHUETAN",7.79,2.25,7,""
7,38,"HUITIUPAN",7.21,0.74,7,""
7,39,"HUIXTAN",7.02,0.97,7,""
7,40,"HUIXTLA",8.04,6.94,7,""
7,41,"LA INDEPENDENCIA",7.67,3.7,6.99,""
7,42,"IXHUATAN",7.28,0.88,7,""
7,43,"IXTACOMITAN",6.32,1.12,6.52,""
7,44,"IXTAPA",7.59,1.33,7,""
7,45,"IXTAPANGAJOYA",6.9,0.22,7,""
7,46,"JIQUIPILAS",6.16,2.68,6.2,""
7,47,"JITOTOL",7.81,1.6,7,""
7,48,"JUAREZ",17.6,15.87,9.29,""
7,49,"LARRAINZAR",9.57,3.49,8.19,""
7,50,"LA LIBERTAD",3.32,3.06,4.02,""
7,51,"MAPASTEPEC",4.34,3.77,6,""
7,52,"LAS MARGARITAS",4.4,3.83,6,""
7,53,"MAZAPA DE MADERO",7.19,1.65,7,""
7,54,"MAZATAN",7.03,1.71,7,""
7,55,"METAPA",10.7,1.82,10.43,""
7,56,"MITONTIC",11.66,2.81,11,""
7,57,"MOTOZINTLA",7.63,4.11,7,""
7,58,"NICOLAS RUIZ",5.58,2.27,6.63,""
7,59,"OCOSINGO",2.79,3.93,0,""
7,60,"OCOTEPEC",7.43,0.67,7,""
7,61,"OCOZOCOAUTLA DE ESPINOSA",4.96,4.46,6,""
7,62,"OSTUACAN",7.38,6.77,6.18,""
7,63,"OSUMACINTA",8.01,2.56,7,""
7,64,"OXCHUC",5.72,2.24,6,""
7,65,"PALENQUE",5.95,3.26,6,""
7,66,"PANTELHO",7.27,0.6,7,""
7,67,"PANTEPEC",7.42,1.23,7,""
7,68,"PICHUCALCO",9.13,6.06,7,""
7,69,"PIJIJIAPAN",5.1,4.47,6,""
7,70,"EL PORVENIR",7.33,1.31,7,""
7,71,"PUEBLO NUEVO SOLISTAHUACAN",8.04,2.48,7,""
7,72,"RAYON",8.49,1.69,7.75,""
7,73,"REFORMA",37.12,20.89,34.06,""
7,74,"LAS ROSAS",7.64,3.67,6.79,""
7,75,"SABANILLA",7.03,0.61,7,""
7,76,"SALTO DE AGUA",5.5,2.25,6,""
7,77,"SAN CRISTOBAL DE LAS CASAS",22.13,19.52,9.19,""
7,78,"SAN FERNANDO",9.82,6.7,7,""
7,79,"SAN JUAN CANCUC",7.04,0.51,7,""
7,80,"SAN LUCAS",7.29,2.77,7,""
7,81,"SILTEPEC",4.83,2.57,6,""
7,82,"SIMOJOVEL",8.27,2.71,7.1,""
7,83,"SITALA",6.83,0.32,7,""
7,84,"SOCOLTENANGO",8.1,10.5,6,""
7,85,"SOLOSUCHIAPA",6.47,0.96,6.85,""
7,86,"SOYALO",6.87,0.45,7,""
7,87,"SUCHIAPA",6.26,5.97,6.14,""
7,88,"SUCHIATE",9.15,5.88,7,""
7,89,"SUNUAPA",6.19,0.97,6,""
7,90,"TAPACHULA",12.6,12.51,7.45,""
7,91,"TAPALAPA",7.2,0.39,7,""
7,92,"TAPILULA",9.86,2.6,9.3,""
7,93,"TECPATAN",3.73,3.04,6,""
7,94,"TENEJAPA",7.63,1.28,7.28,""
7,95,"TEOPISCA",8.56,5.07,7,""
7,96,"TILA",6.59,1.02,7,""
7,97,"TONALA",6.41,5.89,6.21,""
7,98,"TOTOLAPA",6.52,1.03,7,""
7,99,"LA TRINITARIA",6.49,2.13,6.26,""
7,100,"TUMBALA",6.42,0.58,6,""
7,101,"TUXTLA CHICO",18.1,9.25,16.06,""
7,102,"TUXTLA GUTIERREZ",40.91,20.6,47.99,""
7,103,"TUZANTAN",10.38,6.84,7.36,""
7,104,"TZIMOL",8.64,10.13,6.36,""
7,105,"UNION JUAREZ",7.54,0.94,7.25,""
7,106,"VENUSTIANO CARRANZA",5.92,3.27,6.63,""
7,107,"VILLACOMALTITLAN",7.23,3.76,7,""
7,108,"VILLA CORZO",4.44,3.85,6,""
7,109,"VILLAFLORES",6.68,5.04,6.19,""
7,110,"YAJALON",7.43,3.06,6.7,""
7,111,"ZINACANTAN",18.12,14.17,10.47,""
7,112,"ALDAMA",13.11,2.21,13.09,""
7,113,"BENEMERITO DE LAS AMERICAS",4.08,2.82,6,""
7,114,"MARAVILLA TENEJAPA",4.09,2.8,6,""
7,115,"MARQUES DE COMILLAS",2.59,2.84,0.3,""
7,116,"MONTECRISTO DE GUERRERO",5.71,1.41,6,""
7,117,"SAN ANDRES DURAZNAL",7.99,1.39,7,""
7,118,"SANTIAGO EL PINAR",11.19,1.56,11.69,""
