"edon","munn","mun","mean","sd","median","note"
8,1,"AHUMADA",0.09,1.37,0,""
8,2,"ALDAMA",0.24,1.72,0,""
8,3,"ALLENDE",0.4,1.55,0,""
8,4,"AQUILES SERDAN",2.35,4.99,0,""
8,5,"ASCENSION",0.2,1.8,0,""
8,6,"BACHINIVA",0.94,1.83,0,""
8,7,"BALLEZA",0.11,0.76,0,""
8,8,"BATOPILAS DE MANUEL GOMEZ MORIN",0,0.07,0,""
8,9,"BOCOYNA",0.41,1.86,0,""
8,10,"BUENAVENTURA",0.27,1.9,0,""
8,11,"CAMARGO",0.27,2.68,0,""
8,12,"CARICHI",0.11,0.71,0,""
8,13,"CASAS GRANDES",0.31,1.67,0,""
8,14,"CORONADO",0.11,0.79,0,""
8,15,"COYAME DEL SOTOL",0.02,0.29,0,""
8,16,"LA CRUZ",0.65,2.14,0,""
8,17,"CUAUHTEMOC",2.87,6.91,0,""
8,18,"CUSIHUIRIACHI",0.52,1.27,0,""
8,19,"CHIHUAHUA",2.8,10.12,0,""
8,20,"CHINIPAS",0.04,0.43,0,""
8,21,"DELICIAS",10.59,15.01,5,""
8,22,"DR. BELISARIO DOMINGUEZ",0.57,1.73,0,""
8,23,"GALEANA",0.31,1.39,0,""
8,24,"SANTA ISABEL",1.25,2.51,0,""
8,25,"GOMEZ FARIAS",1.15,2.93,0,""
8,26,"GRAN MORELOS",2,2.23,0.57,""
8,27,"GUACHOCHI",0.08,1,0,""
8,28,"GUADALUPE",0.2,1.72,0,""
8,29,"GUADALUPE Y CALVO",0.05,0.52,0,""
8,30,"GUAZAPARES",0.07,0.6,0,""
8,31,"GUERRERO",0.53,1.93,0,""
8,32,"HIDALGO DEL PARRAL",2.25,8.46,0,""
8,33,"HUEJOTITAN",0.2,0.85,0,""
8,34,"IGNACIO ZARAGOZA",0.28,1.37,0,""
8,35,"JANOS",0.09,0.76,0,""
8,36,"JIMENEZ",0.35,2.77,0,""
8,37,"JUAREZ",8.89,16.42,4,""
8,38,"JULIMES",0.21,1.29,0,""
8,39,"LOPEZ",0.44,1.77,0,""
8,40,"MADERA",0.32,1.98,0,""
8,41,"MAGUARICHI",0.02,0.21,0,""
8,42,"MANUEL BENAVIDES",0.05,0.52,0,""
8,43,"MATACHI",0.62,1.72,0,""
8,44,"MATAMOROS",0.63,1.76,0,""
8,45,"MEOQUI",9.58,9.4,6.69,""
8,46,"MORELOS",0.02,0.23,0,""
8,47,"MORIS",0.09,0.61,0,""
8,48,"NAMIQUIPA",0.76,2.16,0,""
8,49,"NONOAVA",0.06,0.54,0,""
8,50,"NUEVO CASAS GRANDES",1.29,6.88,0,""
8,51,"OCAMPO",0.05,0.41,0,""
8,52,"OJINAGA",0.33,3.18,0,""
8,53,"PRAXEDIS G. GUERRERO",2.63,4.89,0,""
8,54,"RIVA PALACIO",0.55,1.41,0,""
8,55,"ROSALES",1.13,3.82,0,""
8,56,"ROSARIO",0.27,0.96,0,""
8,57,"SAN FRANCISCO DE BORJA",0.11,0.72,0,""
8,58,"SAN FRANCISCO DE CONCHOS",0.78,2.25,0,""
8,59,"SAN FRANCISCO DEL ORO",1.83,5.01,0,""
8,60,"SANTA BARBARA",3.45,7.25,0,""
8,61,"SATEVO",0.17,0.84,0,""
8,62,"SAUCILLO",1.03,3.69,0,""
8,63,"TEMOSACHIC",0.13,0.89,0,""
8,64,"EL TULE",0.45,1.25,0,""
8,65,"URIQUE",0.09,0.61,0,""
8,66,"URUACHI",0,0,0,""
8,67,"VALLE DE ZARAGOZA",0.12,0.92,0,""
