"edon","ife","inegi","mun","mean","sd","median","note"
8,8001,8001,"AHUMADA",0.13,1.49,0,NA
8,8002,8002,"ALDAMA",0.33,2.23,0,NA
8,8003,8003,"ALLENDE",0.54,1.98,0,NA
8,8004,8004,"AQUILES SERDAN",2.9,5.25,0.44,NA
8,8005,8005,"ASCENSION",0.21,1.76,0,NA
8,8006,8006,"BACHINIVA",0.73,1.84,0,NA
8,8007,8007,"BALLEZA",0.15,0.98,0,NA
8,8008,8008,"BATOPILAS DE MANUEL GOMEZ MORIN",0.05,0.43,0,NA
8,8009,8009,"BOCOYNA",0.83,3.57,0,NA
8,8010,8010,"BUENAVENTURA",0.33,2.07,0,NA
8,8011,8011,"CAMARGO",0.3,2.75,0,NA
8,8012,8012,"CARICHI",0.16,0.87,0,NA
8,8013,8013,"CASAS GRANDES",0.45,2.13,0,NA
8,8014,8014,"CORONADO",0.11,0.75,0,NA
8,8015,8015,"COYAME DEL SOTOL",0.03,0.37,0,NA
8,8016,8016,"LA CRUZ",0.75,2.22,0,NA
8,8017,8017,"CUAUHTEMOC",3.31,7.61,0,NA
8,8018,8018,"CUSIHUIRIACHI",0.52,1.2,0,NA
8,8019,8019,"CHIHUAHUA",3.41,10.63,0,NA
8,8020,8020,"CHINIPAS",0.09,0.65,0,NA
8,8021,8021,"DELICIAS",13.21,16.14,7.82,NA
8,8022,8022,"DR. BELISARIO DOMINGUEZ",0.65,1.65,0,NA
8,8023,8023,"GALEANA",0.37,1.64,0,NA
8,8024,8024,"SANTA ISABEL",1.33,2.37,0,NA
8,8025,8025,"GOMEZ FARIAS",1.2,3.11,0,NA
8,8026,8026,"GRAN MORELOS",2.06,2.07,2.32,NA
8,8027,8027,"GUACHOCHI",0.15,1.57,0,NA
8,8028,8028,"GUADALUPE",0.3,2.24,0,NA
8,8029,8029,"GUADALUPE Y CALVO",0.13,0.88,0,NA
8,8030,8030,"GUAZAPARES",0.08,0.64,0,NA
8,8031,8031,"GUERRERO",0.72,2.6,0,NA
8,8032,8032,"HIDALGO DEL PARRAL",2.39,8.66,0,NA
8,8033,8033,"HUEJOTITAN",0.14,0.66,0,NA
8,8034,8034,"IGNACIO ZARAGOZA",0.31,1.55,0,NA
8,8035,8035,"JANOS",0.13,1.01,0,NA
8,8036,8036,"JIMENEZ",0.4,2.89,0,NA
8,8037,8037,"JUAREZ",10.2,17.26,3.83,NA
8,8038,8038,"JULIMES",0.19,1.18,0,NA
8,8039,8039,"LOPEZ",0.6,1.96,0,NA
8,8040,8040,"MADERA",0.3,2.02,0,NA
8,8041,8041,"MAGUARICHI",0.06,0.39,0,NA
8,8042,8042,"MANUEL BENAVIDES",0.04,0.44,0,NA
8,8043,8043,"MATACHI",0.59,1.82,0,NA
8,8044,8044,"MATAMOROS",0.81,2.29,0,NA
8,8045,8045,"MEOQUI",10.64,11.01,7.02,NA
8,8046,8046,"MORELOS",0.04,0.38,0,NA
8,8047,8047,"MORIS",0.06,0.47,0,NA
8,8048,8048,"NAMIQUIPA",0.79,2.44,0,NA
8,8049,8049,"NONOAVA",0.08,0.63,0,NA
8,8050,8050,"NUEVO CASAS GRANDES",1.47,6.95,0,NA
8,8051,8051,"OCAMPO",0.26,0.85,0,NA
8,8052,8052,"OJINAGA",0.4,3.41,0,NA
8,8053,8053,"PRAXEDIS G. GUERRERO",3.27,5.44,0,NA
8,8054,8054,"RIVA PALACIO",0.6,1.31,0,NA
8,8055,8055,"ROSALES",1.67,4.72,0,NA
8,8056,8056,"ROSARIO",0.21,0.84,0,NA
8,8057,8057,"SAN FRANCISCO DE BORJA",0.17,0.99,0,NA
8,8058,8058,"SAN FRANCISCO DE CONCHOS",0.7,1.99,0,NA
8,8059,8059,"SAN FRANCISCO DEL ORO",1.7,4.73,0,NA
8,8060,8060,"SANTA BARBARA",4.09,7.63,0,NA
8,8061,8061,"SATEVO",0.15,0.72,0,NA
8,8062,8062,"SAUCILLO",1.25,4.28,0,NA
8,8063,8063,"TEMOSACHIC",0.11,0.76,0,NA
8,8064,8064,"EL TULE",0.64,1.49,0,NA
8,8065,8065,"URIQUE",0.37,1.42,0,NA
8,8066,8066,"URUACHI",0.07,0.45,0,NA
8,8067,8067,"VALLE DE ZARAGOZA",0.25,1.96,0,NA
