"edon","ife","inegi","mun","mean","sd","median","note"
9,9002,9002,"AZCAPOTZALCO",61,0,61,NA
9,9003,9003,"COYOACAN",61,0,61,NA
9,9004,9004,"CUAJIMALPA DE MORELOS",34.98,22.61,35.86,NA
9,9005,9005,"GUSTAVO A. MADERO",60.95,0.3,61,NA
9,9006,9006,"IZTACALCO",61,0,61,NA
9,9007,9007,"IZTAPALAPA",60.96,0.19,61,NA
9,9008,9008,"LA MAGDALENA CONTRERAS",28.86,21.19,19.04,NA
9,9009,9009,"MILPA ALTA",19.21,18.72,8.26,NA
9,9010,9010,"ALVARO OBREGON",58.59,8.58,61,NA
9,9011,9011,"TLAHUAC",59.91,1.45,60.06,NA
9,9012,9012,"TLALPAN",28.57,22.65,17.5,NA
9,9013,9013,"XOCHIMILCO",56.07,9.92,59,NA
9,9014,9014,"BENITO JUAREZ",61,0,61,NA
9,9015,9015,"CUAUHTEMOC",61,0,61,NA
9,9016,9016,"MIGUEL HIDALGO",61,0,61,NA
9,9017,9017,"VENUSTIANO CARRANZA",61,0,61,NA
