"edon","munn","mun","mean","sd","median","note"
9,2,"AZCAPOTZALCO",63,0,63,""
9,3,"COYOACAN",63,0,63,""
9,4,"CUAJIMALPA DE MORELOS",36.51,23.57,39.97,""
9,5,"GUSTAVO A. MADERO",62.71,0.91,63,""
9,6,"IZTACALCO",63,0,63,""
9,7,"IZTAPALAPA",62.97,0.14,63,""
9,8,"LA MAGDALENA CONTRERAS",28.92,22.82,15.21,""
9,9,"MILPA ALTA",24.15,21.42,9.02,""
9,10,"ALVARO OBREGON",58.66,11.26,63,""
9,11,"TLAHUAC",61.39,1.26,61.65,""
9,12,"TLALPAN",31.05,23.39,19.26,""
9,13,"XOCHIMILCO",58.94,8.38,61.28,""
9,14,"BENITO JUAREZ",63,0,63,""
9,15,"CUAUHTEMOC",63,0,63,""
9,16,"MIGUEL HIDALGO",63,0,63,""
9,17,"VENUSTIANO CARRANZA",63,0,63,""
