"edon","munn","mun","mean","sd","median","note"
10,1,"CANATLAN",2.38,3.23,0,""
10,2,"CANELAS",3.36,3.01,5.85,""
10,3,"CONETO DE COMONFORT",2.82,2.99,0.54,""
10,4,"CUENCAME",2.91,3.68,0,""
10,5,"DURANGO",3.99,8.59,0,""
10,6,"SIMON BOLIVAR",2.86,3.08,0.84,""
10,7,"GOMEZ PALACIO",29.17,15.59,26.19,""
10,8,"GUADALUPE VICTORIA",5.35,6.52,6,""
10,9,"GUANACEVI",0.81,2.04,0,""
10,10,"HIDALGO",1.06,2.27,0,""
10,11,"INDE",2.08,2.79,0,""
10,12,"LERDO",8.85,12.27,6.15,""
10,13,"MAPIMI",1.39,3.12,0,""
10,14,"MEZQUITAL",0.59,1.77,0,""
10,15,"NAZAS",1.27,2.58,0,""
10,16,"NOMBRE DE DIOS",3.95,3.32,6,""
10,17,"NUEVO IDEAL",3.7,3.74,5.94,""
10,18,"OCAMPO",1.73,2.78,0,""
10,19,"EL ORO",2.46,3.13,0,""
10,20,"OTAEZ",0.88,2.1,0,""
10,21,"PANUCO DE CORONADO",4.35,3.12,6,""
10,22,"PEÑON BLANCO",2.59,3.23,0,""
10,23,"POANAS",3.31,3.39,0.93,""
10,24,"PUEBLO NUEVO",1.73,3.19,0,""
10,25,"RODEO",3.19,3.33,0.79,""
10,26,"SAN BERNARDO",1.6,2.63,0,""
10,27,"SAN DIMAS",0.87,2.18,0,""
10,28,"SAN JUAN DE GUADALUPE",2.29,2.86,0,""
10,29,"SAN JUAN DEL RIO",2.54,3.08,0,""
10,30,"SAN LUIS DEL CORDERO",1.69,2.78,0,""
10,31,"SAN PEDRO DEL GALLO",1.28,2.39,0,""
10,32,"SANTA CLARA",3.38,3.17,4.98,""
10,33,"SANTIAGO PAPASQUIARO",2.41,4.17,0,""
10,34,"SUCHIL",1.63,3.03,0,""
10,35,"TAMAZULA",1.23,2.42,0,""
10,36,"TEPEHUANES",0.72,2,0,""
10,37,"TLAHUALILO",1.51,3.58,0,""
10,38,"TOPIA",1.37,2.54,0,""
10,39,"VICENTE GUERRERO",7.37,7.59,6.1,""
