"edon","ife","inegi","mun","mean","sd","median","note"
10,10001,10001,"CANATLAN",2.09,3.03,0,NA
10,10002,10002,"CANELAS",3.82,2.98,6,NA
10,10003,10003,"CONETO DE COMONFORT",2.57,2.95,0,NA
10,10004,10004,"CUENCAME",2.78,3.75,0,NA
10,10005,10005,"DURANGO",3.92,8.58,0,NA
10,10006,10006,"SIMON BOLIVAR",2.85,3.09,0.83,NA
10,10007,10007,"GOMEZ PALACIO",28.72,15.76,25.68,NA
10,10008,10008,"GUADALUPE VICTORIA",5.29,6.66,6,NA
10,10009,10009,"GUANACEVI",0.52,1.68,0,NA
10,10010,10010,"HIDALGO",1.09,2.28,0,NA
10,10011,10011,"INDE",2.23,2.87,0,NA
10,10012,10012,"LERDO",8.53,12.55,6,NA
10,10013,10013,"MAPIMI",1.33,3.04,0,NA
10,10014,10014,"MEZQUITAL",2.38,2.95,0,NA
10,10015,10015,"NAZAS",1.23,2.51,0,NA
10,10016,10016,"NOMBRE DE DIOS",3.74,3.34,6,NA
10,10017,10039,"NUEVO IDEAL",3.69,3.67,5.96,NA
10,10018,10017,"OCAMPO",1.49,2.66,0,NA
10,10019,10018,"EL ORO",2.07,2.99,0,NA
10,10020,10019,"OTAEZ",1.07,2.29,0,NA
10,10021,10020,"PANUCO DE CORONADO",4.11,3.14,6,NA
10,10022,10021,"PEÑON BLANCO",2.56,3.21,0,NA
10,10023,10022,"POANAS",3.28,3.38,0.85,NA
10,10024,10023,"PUEBLO NUEVO",2.37,3.26,0,NA
10,10025,10024,"RODEO",2.67,3.27,0,NA
10,10026,10025,"SAN BERNARDO",1.43,2.54,0,NA
10,10027,10026,"SAN DIMAS",0.8,2.14,0,NA
10,10028,10027,"SAN JUAN DE GUADALUPE",2.14,2.82,0,NA
10,10029,10028,"SAN JUAN DEL RIO",2.53,3.05,0,NA
10,10030,10029,"SAN LUIS DEL CORDERO",1.7,2.77,0,NA
10,10031,10030,"SAN PEDRO DEL GALLO",1.13,2.29,0,NA
10,10032,10031,"SANTA CLARA",3.31,3.1,4.98,NA
10,10033,10032,"SANTIAGO PAPASQUIARO",2.78,4.25,0,NA
10,10034,10033,"SUCHIL",1.35,2.77,0,NA
10,10035,10034,"TAMAZULA",2.61,2.99,0,NA
10,10036,10035,"TEPEHUANES",0.63,1.88,0,NA
10,10037,10036,"TLAHUALILO",1.4,3.47,0,NA
10,10038,10037,"TOPIA",1.04,2.29,0,NA
10,10039,10038,"VICENTE GUERRERO",6.86,6.56,6.01,NA
