"edon","munn","mun","mean","sd","median","note"
11,1,"ABASOLO",9.79,6.9,8.1,""
11,2,"ACAMBARO",8.62,8.52,6.5,""
11,3,"SAN MIGUEL DE ALLENDE",8,8.51,5.91,""
11,4,"APASEO EL ALTO",12.32,8.75,9,""
11,5,"APASEO EL GRANDE",18.17,9.49,16.63,""
11,6,"ATARJEA",0.73,1.45,0,""
11,7,"CELAYA",27.42,17.96,22.26,""
11,8,"MANUEL DOBLADO",4.43,5.64,4.24,""
11,9,"COMONFORT",11.01,9.87,7,""
11,10,"CORONEO",8.77,6.11,7.35,""
11,11,"CORTAZAR",15.54,12.5,11.37,""
11,12,"CUERAMARO",7.41,8.02,5,""
11,13,"DOCTOR MORA",9.15,5.11,7.91,""
11,14,"DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL",6.52,7.13,5,""
11,15,"GUANAJUATO",9.94,13.24,5.19,""
11,16,"HUANIMARO",9.77,3.42,8.57,""
11,17,"IRAPUATO",21.36,16.95,14.98,""
11,18,"JARAL DEL PROGRESO",15.23,8.44,12.38,""
11,19,"JERECUARO",5.26,2.79,5,""
11,20,"LEON",23.68,20.87,14.69,""
11,21,"MOROLEON",12.97,14.47,8,""
11,22,"OCAMPO",1.6,3.12,0,""
11,23,"PENJAMO",7.06,7.5,6.62,""
11,24,"PUEBLO NUEVO",17.95,6.2,16.05,""
11,25,"PURISIMA DEL RINCON",14.87,15.52,8.58,""
11,26,"ROMITA",8.48,6.81,7,""
11,27,"SALAMANCA",18.58,15.36,14.15,""
11,28,"SALVATIERRA",12.46,10.16,9.31,""
11,29,"SAN DIEGO DE LA UNION",4.07,3.49,4.17,""
11,30,"SAN FELIPE",2.87,4.96,1.21,""
11,31,"SAN FRANCISCO DEL RINCON",11.49,11.09,7.99,""
11,32,"SAN JOSE ITURBIDE",11.28,10.83,8.35,""
11,33,"SAN LUIS DE LA PAZ",3.93,7,0,""
11,34,"SANTA CATARINA",2.74,2.86,2.67,""
11,35,"SANTA CRUZ DE JUVENTINO ROSAS",12.66,9.89,10.39,""
11,36,"SANTIAGO MARAVATIO",12.29,8.01,9.87,""
11,37,"SILAO DE LA VICTORIA",22.32,14.04,17.19,""
11,38,"TARANDACUAO",10.21,6.43,7.53,""
11,39,"TARIMORO",10.76,7.34,8.27,""
11,40,"TIERRA BLANCA",1.89,2.94,0,""
11,41,"URIANGATO",20.87,16.14,12.95,""
11,42,"VALLE DE SANTIAGO",11.16,8.3,8.8,""
11,43,"VICTORIA",1,2.07,0,""
11,44,"VILLAGRAN",31.48,13.99,26.1,""
11,45,"XICHU",0.45,1.46,0,""
11,46,"YURIRIA",9.06,7.08,7.45,""
