"edon","ife","inegi","mun","mean","sd","median","note"
11,11001,11001,"ABASOLO",11.63,7.29,10.24,NA
11,11002,11002,"ACAMBARO",9.54,7.99,7.15,NA
11,11003,11003,"SAN MIGUEL DE ALLENDE",9.57,9.02,7.31,NA
11,11004,11004,"APASEO EL ALTO",14.69,9.45,11.43,NA
11,11005,11005,"APASEO EL GRANDE",23.43,12.9,20.62,NA
11,11006,11006,"ATARJEA",1.1,1.84,0,NA
11,11007,11007,"CELAYA",34.56,19.17,31.29,NA
11,11008,11008,"MANUEL DOBLADO",5.32,6.17,5.1,NA
11,11009,11009,"COMONFORT",13.11,10.55,8.71,NA
11,11010,11010,"CORONEO",11.41,8.32,8.65,NA
11,11011,11011,"CORTAZAR",17.11,12.88,13.07,NA
11,11012,11012,"CUERAMARO",9.53,8.77,7,NA
11,11013,11013,"DOCTOR MORA",11.33,6.69,9.7,NA
11,11014,11014,"DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL",7.63,7.72,6,NA
11,11015,11015,"GUANAJUATO",12.19,13.81,7,NA
11,11016,11016,"HUANIMARO",11.97,3.62,10.82,NA
11,11017,11017,"IRAPUATO",27.21,18.15,20.96,NA
11,11018,11018,"JARAL DEL PROGRESO",14.58,7.54,12.4,NA
11,11019,11019,"JERECUARO",5.93,2.71,6,NA
11,11020,11020,"LEON",29.65,21.99,22.82,NA
11,11021,11021,"MOROLEON",14.21,14.36,8.69,NA
11,11022,11022,"OCAMPO",3.5,4.82,1.48,NA
11,11023,11023,"PENJAMO",9.45,8.02,8,NA
11,11024,11024,"PUEBLO NUEVO",21.93,6.82,20.02,NA
11,11025,11025,"PURISIMA DEL RINCON",17.84,17.26,10.59,NA
11,11026,11026,"ROMITA",10.49,7.51,8.24,NA
11,11027,11027,"SALAMANCA",23.69,16.9,18.43,NA
11,11028,11028,"SALVATIERRA",13.11,9.56,10.48,NA
11,11029,11029,"SAN DIEGO DE LA UNION",4.69,3.61,5.2,NA
11,11030,11030,"SAN FELIPE",4.09,5.29,4.42,NA
11,11031,11031,"SAN FRANCISCO DEL RINCON",14.29,12.07,10.2,NA
11,11032,11032,"SAN JOSE ITURBIDE",14.13,13.04,10.54,NA
11,11033,11033,"SAN LUIS DE LA PAZ",4.58,7.24,2.82,NA
11,11034,11034,"SANTA CATARINA",3.57,4.13,2.72,NA
11,11035,11035,"SANTA CRUZ DE JUVENTINO ROSAS",15.86,10.9,12.93,NA
11,11036,11036,"SANTIAGO MARAVATIO",11.09,6.03,9.12,NA
11,11037,11037,"SILAO DE LA VICTORIA",29.44,16.15,23.75,NA
11,11038,11038,"TARANDACUAO",11.07,6.21,8.32,NA
11,11039,11039,"TARIMORO",11.67,7.15,9.74,NA
11,11040,11040,"TIERRA BLANCA",2.93,3.91,0,NA
11,11041,11041,"URIANGATO",23,16.15,15.77,NA
11,11042,11042,"VALLE DE SANTIAGO",13.26,8.64,11.21,NA
11,11043,11043,"VICTORIA",1.41,2.67,0,NA
11,11044,11044,"VILLAGRAN",42.15,13.2,40.38,NA
11,11045,11045,"XICHU",0.76,1.94,0,NA
11,11046,11046,"YURIRIA",10.54,7.44,8.79,NA
