"edon","munn","mun","mean","sd","median","note"
12,1,"ACAPULCO DE JUAREZ",13.61,17.48,6.47,""
12,2,"AHUACUOTZINGO",0.88,1.67,0,""
12,3,"AJUCHITLAN DEL PROGRESO",1.12,2.83,0,""
12,4,"ALCOZAUCA DE GUERRERO",1.53,2.2,0,""
12,5,"ALPOYECA",4.17,3.12,4.18,""
12,6,"APAXTLA",2.15,3.56,0,""
12,7,"ARCELIA",3.63,5.89,2.83,""
12,8,"ATENANGO DEL RIO",0.88,1.78,0,""
12,9,"ATLAMAJALCINGO DEL MONTE",0.77,1.59,0,""
12,10,"ATLIXTAC",0.97,1.86,0,""
12,11,"ATOYAC DE ALVAREZ",2.66,5.51,0,""
12,12,"AYUTLA DE LOS LIBRES",2.95,4.23,1.4,""
12,13,"AZOYU",3.73,2.92,4,""
12,14,"BENITO JUAREZ",6.14,7.5,4,""
12,15,"BUENAVISTA DE CUELLAR",6.84,5.98,5.08,""
12,16,"COAHUAYUTLA DE JOSE MARIA IZAZAGA",0.17,0.85,0,""
12,17,"COCULA",3.41,4.19,2.26,""
12,18,"COPALA",4.6,4.75,4,""
12,19,"COPALILLO",0.63,1.69,0,""
12,20,"COPANATOYAC",2.06,2.35,0.81,""
12,21,"COYUCA DE BENITEZ",4.31,6.8,2.73,""
12,22,"COYUCA DE CATALAN",1.3,3.33,0,""
12,23,"CUAJINICUILAPA",3.51,4.79,2.52,""
12,24,"CUALAC",1.74,2.21,0,""
12,25,"CUAUTEPEC",2.69,2.48,2.89,""
12,26,"CUETZALA DEL PROGRESO",2.39,2.5,1.69,""
12,27,"CUTZAMALA DE PINZON",1.64,2.56,0,""
12,28,"CHILAPA DE ALVAREZ",4.59,6.99,4,""
12,29,"CHILPANCINGO DE LOS BRAVO",3.43,9.25,0,""
12,30,"EDUARDO NERI",2.6,5.13,0,""
12,31,"FLORENCIO VILLARREAL",5.55,6.18,4.33,""
12,32,"GENERAL CANUTO A. NERI",3.02,2.39,3.84,""
12,33,"GENERAL HELIODORO CASTILLO",0.57,1.68,0,""
12,34,"HUAMUXTITLAN",4.93,3.74,4.55,""
12,35,"HUITZUCO DE LOS FIGUEROA",2.85,5.21,0.01,""
12,36,"IGUALA DE LA INDEPENDENCIA",12.04,14.95,7.36,""
12,37,"IGUALAPA",3.53,3.03,4,""
12,38,"IXCATEOPAN DE CUAUHTEMOC",3.98,2.45,4.4,""
12,39,"ZIHUATANEJO DE AZUETA",4.59,11.01,0,""
12,40,"JUAN R. ESCUDERO",4.11,4.52,4.09,""
12,41,"LEONARDO BRAVO",1.71,3.89,0,""
12,42,"MALINALTEPEC",1.35,1.86,0,""
12,43,"MARTIR DE CUILAPAN",1.27,2.25,0,""
12,44,"METLATONOC",0.25,0.83,0,""
12,45,"MOCHITLAN",1.17,2.17,0,""
12,46,"OLINALA",1.23,2.54,0,""
12,47,"OMETEPEC",6.36,7.16,4.92,""
12,48,"PEDRO ASCENCIO ALQUISIRAS",1.41,1.94,0,""
12,49,"PETATLAN",1.81,4.72,0,""
12,50,"PILCAYA",6.61,2.36,5.9,""
12,51,"PUNGARABATO",14.39,14.89,6.92,""
12,52,"QUECHULTENANGO",2.24,2.96,0.23,""
12,53,"SAN LUIS ACATLAN",1.14,2.26,0,""
12,54,"SAN MARCOS",3.67,4.28,4,""
12,55,"SAN MIGUEL TOTOLAPAN",0.35,1.37,0,""
12,56,"TAXCO DE ALARCON",11.05,10.57,7.48,""
12,57,"TECOANAPA",3.09,2.93,3.3,""
12,58,"TECPAN DE GALEANA",1.92,4.69,0,""
12,59,"TELOLOAPAN",4.55,6.05,4,""
12,60,"TEPECOACUILCO DE TRUJANO",3.89,5.11,3.44,""
12,61,"TETIPAC",5.58,4.05,5,""
12,62,"TIXTLA DE GUERRERO",5.68,6.96,4.45,""
12,63,"TLACOACHISTLAHUACA",1.14,2.25,0,""
12,64,"TLACOAPA",0.28,0.92,0,""
12,65,"TLALCHAPA",3.13,3.66,2.67,""
12,66,"TLALIXTAQUILLA DE MALDONADO",3.35,2.99,3.27,""
12,67,"TLAPA DE COMONFORT",5.04,7.81,4,""
12,68,"TLAPEHUALA",6.33,4.99,5,""
12,69,"LA UNION DE ISIDORO MONTES DE OCA",1.95,4.24,0,""
12,70,"XALPATLAHUAC",3.84,2.38,4,""
12,71,"XOCHIHUEHUETLAN",2.13,2.69,1.05,""
12,72,"XOCHISTLAHUACA",1.43,2.69,0,""
12,73,"ZAPOTITLAN TABLAS",1.03,1.98,0,""
12,74,"ZIRANDARO",0.51,1.58,0,""
12,75,"ZITLALA",3.02,3.7,1.17,""
12,76,"ACATEPEC",0.23,0.95,0,""
12,77,"JOSE JOAQUIN DE HERRERA",2.29,2.15,2.52,""
12,78,"ILIATENCO",0.72,1.48,0,""
12,79,"COCHOAPA EL GRANDE",0.8,1.66,0,""
12,80,"MARQUELIA",2.85,3.32,2.54,""
12,81,"JUCHITAN",2.54,2.6,2.52,""
