"edon","ife","inegi","mun","mean","sd","median","note"
12,12001,12001,"ACAPULCO DE JUAREZ",14.58,16,7,NA
12,12002,12002,"AHUACUOTZINGO",5.71,1.53,6,NA
12,12003,12003,"AJUCHITLAN DEL PROGRESO",5.49,2.92,6,NA
12,12004,12004,"ALCOZAUCA DE GUERRERO",6.66,0.59,7,NA
12,12005,12005,"ALPOYECA",7.12,0.83,7,NA
12,12006,12006,"APAXTLA",5.56,1.93,6,NA
12,12007,12007,"ARCELIA",6.9,3.64,6,NA
12,12008,12008,"ATENANGO DEL RIO",5.66,2.47,6,NA
12,12009,12009,"ATLAMAJALCINGO DEL MONTE",6.72,0.48,7,NA
12,12010,12010,"ATLIXTAC",6,1.87,6.05,NA
12,12011,12011,"ATOYAC DE ALVAREZ",3.95,4.1,6,NA
12,12012,12012,"AYUTLA DE LOS LIBRES",7.32,3.05,7,NA
12,12013,12013,"AZOYU",6.6,1,7,NA
12,12014,12014,"BENITO JUAREZ",6.64,3.28,6.92,NA
12,12015,12015,"BUENAVISTA DE CUELLAR",8.09,3.51,7,NA
12,12016,12016,"COAHUAYUTLA DE JOSE MARIA IZAZAGA",2.6,2.89,0,NA
12,12017,12017,"COCULA",5.6,2.67,6.32,NA
12,12018,12018,"COPALA",7.03,1.32,7,NA
12,12019,12019,"COPALILLO",4.57,2.7,6,NA
12,12020,12020,"COPANATOYAC",7.04,0.9,7,NA
12,12021,12021,"COYUCA DE BENITEZ",5.71,4.2,6,NA
12,12022,12022,"COYUCA DE CATALAN",4.68,2.91,6,NA
12,12023,12023,"CUAJINICUILAPA",6.83,2.54,6.62,NA
12,12024,12024,"CUALAC",6.52,0.52,6.51,NA
12,12025,12025,"CUAUTEPEC",6.64,0.83,7,NA
12,12026,12026,"CUETZALA DEL PROGRESO",4.53,2.78,6,NA
12,12027,12027,"CUTZAMALA DE PINZON",4.56,2.66,6,NA
12,12028,12028,"CHILAPA DE ALVAREZ",7.66,3.65,7,NA
12,12029,12029,"CHILPANCINGO DE LOS BRAVO",7.16,9.46,6,NA
12,12030,12075,"EDUARDO NERI",6.21,4.24,6,NA
12,12031,12030,"FLORENCIO VILLARREAL",8.12,3.47,7,NA
12,12032,12031,"GENERAL CANUTO A. NERI",4.71,2.59,6,NA
12,12033,12032,"GENERAL HELIODORO CASTILLO",4.92,2.32,6,NA
12,12034,12033,"HUAMUXTITLAN",6.96,0.68,7,NA
12,12035,12034,"HUITZUCO DE LOS FIGUEROA",5.26,2.64,6,NA
