"edon","munn","mun","mean","sd","median","note"
13,1,"ACATLAN",8.87,5.98,7.52,""
13,2,"ACAXOCHITLAN",9.37,4.11,8.28,""
13,3,"ACTOPAN",12.67,14.44,6.16,""
13,4,"AGUA BLANCA DE ITURBIDE",4.93,2.15,4,""
13,5,"AJACUBA",8.87,4.94,7.4,""
13,6,"ALFAJAYUCAN",4.99,3.07,4,""
13,7,"ALMOLOYA",4.85,3.6,4,""
13,8,"APAN",9.74,8.76,7.33,""
13,9,"ATITALAQUIA",42.64,18.03,51.33,""
13,10,"ATLAPEXCO",4.82,1.19,4.59,""
13,11,"ATOTONILCO EL GRANDE",5.53,4.99,4.62,""
13,12,"ATOTONILCO DE TULA",34.16,15.16,31.35,""
13,13,"CALNALI",4.14,1.16,4,""
13,14,"CARDONAL",3.78,2.99,3.76,""
13,15,"CUAUTEPEC DE HINOJOSA",9.03,9.01,5,""
13,16,"CHAPANTONGO",5.28,1.94,4.78,""
13,17,"CHAPULHUACAN",4.43,1.49,4,""
13,18,"CHILCUAUTLA",9.9,8.63,8.07,""
13,19,"EL ARENAL",14.72,7.6,12.95,""
13,20,"ELOXOCHITLAN",0.89,1.56,0,""
13,21,"EMILIANO ZAPATA",13.14,7.91,11.18,""
13,22,"EPAZOYUCAN",11.46,4.47,10.61,""
13,23,"FRANCISCO I. MADERO",18.78,8.39,17.41,""
13,24,"HUASCA DE OCAMPO",5.7,2.94,5,""
13,25,"HUAUTLA",3.71,1.31,4,""
13,26,"HUAZALINGO",3.74,0.37,4,""
13,27,"HUEHUETLA",3.62,1,4,""
13,28,"HUEJUTLA DE REYES",7.52,6.42,5.47,""
13,29,"HUICHAPAN",7.55,6.62,5.23,""
13,30,"IXMIQUILPAN",12.53,10.59,9.05,""
13,31,"JACALA DE LEDEZMA",1.98,2.4,1.03,""
13,32,"JALTOCAN",8.38,1.39,8.63,""
13,33,"JUAREZ HIDALGO",1.71,1.68,1.13,""
13,34,"LA MISION",3.03,1.61,4,""
13,35,"LOLOTLA",3.76,1.37,4,""
13,36,"METEPEC",7.18,2.38,7.37,""
13,37,"METZTITLAN",2.12,2.5,1.09,""
13,38,"MINERAL DEL CHICO",8.25,4.81,7.37,""
13,39,"MINERAL DEL MONTE",18.38,12.15,12.97,""
13,40,"MINERAL DE LA REFORMA",38.51,17.29,40.88,""
13,41,"MIXQUIAHUALA DE JUAREZ",20.45,9.89,17.81,""
13,42,"MOLANGO DE ESCAMILLA",3.59,2.55,3.6,""
13,43,"NICOLAS FLORES",2.5,1.62,3,""
13,44,"NOPALA DE VILLAGRAN",7.06,2.62,6.58,""
13,45,"OMITLAN DE JUAREZ",10.77,5.7,9.63,""
13,46,"PACULA",1.36,1.71,0,""
13,47,"PACHUCA DE SOTO",45.32,16.57,52.89,""
13,48,"PISAFLORES",4.21,0.86,4,""
13,49,"PROGRESO DE OBREGON",14.04,10.81,10.71,""
13,50,"SAN AGUSTIN METZQUITITLAN",3.27,2.4,3.77,""
13,51,"SAN AGUSTIN TLAXIACA",13.79,9.12,10.93,""
13,52,"SAN BARTOLO TUTOTEPEC",1.75,1.99,1.06,""
13,53,"SAN FELIPE ORIZATLAN",4.03,2.78,4,""
13,54,"SAN SALVADOR",13.15,7.29,11.93,""
13,55,"SANTIAGO DE ANAYA",5.81,3.39,4.46,""
13,56,"SANTIAGO TULANTEPEC DE LUGO GUERRERO",23.45,15.13,19.71,""
13,57,"SINGUILUCAN",6.6,3.74,5,""
13,58,"TASQUILLO",7.54,5.43,6.77,""
13,59,"TECOZAUTLA",6.44,4.65,4.59,""
13,60,"TENANGO DE DORIA",4.74,1.76,4.22,""
13,61,"TEPEAPULCO",10.59,11.99,4.42,""
13,62,"TEPEHUACAN DE GUERRERO",3.18,1.52,3.89,""
13,63,"TEPEJI DEL RIO DE OCAMPO",19.45,11.91,17.16,""
13,64,"TEPETITLAN",8.97,4.49,7.88,""
13,65,"TETEPANGO",21.11,9.67,21.34,""
13,66,"TEZONTEPEC DE ALDAMA",22.92,12.42,21.12,""
13,67,"TIANGUISTENGO",3.21,1.86,3.06,""
13,68,"TIZAYUCA",49.78,9.32,51.56,""
13,69,"TLAHUELILPAN",36.59,9.32,35.72,""
13,70,"TLAHUILTEPA",0.58,1.14,0,""
13,71,"TLANALAPA",13.95,11.78,10.11,""
13,72,"TLANCHINOL",3.68,1.36,4,""
13,73,"TLAXCOAPAN",44.95,8.87,45.26,""
13,74,"TOLCAYUCA",16.62,10.65,14.32,""
13,75,"TULA DE ALLENDE",29.27,20.11,23.49,""
13,76,"TULANCINGO DE BRAVO",25.88,17.5,20.02,""
13,77,"VILLA DE TEZONTEPEC",13.44,7.5,10.15,""
13,78,"XOCHIATIPAN",3.37,1.39,4,""
13,79,"XOCHICOATLAN",3.47,1.79,4,""
13,80,"YAHUALICA",3.92,0.84,4,""
13,81,"ZACUALTIPAN DE ANGELES",5.93,7.26,4.25,""
13,82,"ZAPOTLAN DE JUAREZ",17.71,9.4,15.73,""
13,83,"ZEMPOALA",11.9,7.79,9.63,""
13,84,"ZIMAPAN",5.6,6.93,4,""
