"edon","ife","inegi","mun","mean","sd","median","note"
13,13001,13001,"ACATLAN",8.58,5.92,7.58,NA
13,13002,13002,"ACAXOCHITLAN",9.04,3.74,8.18,NA
13,13003,13003,"ACTOPAN",12.58,14.4,5.11,NA
13,13004,13004,"AGUA BLANCA DE ITURBIDE",3.98,2.79,4,NA
13,13005,13005,"AJACUBA",8.6,4.92,7,NA
13,13006,13006,"ALFAJAYUCAN",4.76,3.26,4.22,NA
13,13007,13007,"ALMOLOYA",4.71,3.95,4,NA
13,13008,13008,"APAN",9.59,8.1,7.49,NA
13,13009,13010,"ATITALAQUIA",42.66,17.66,52.34,NA
13,13010,13011,"ATLAPEXCO",4.67,1.21,4.47,NA
13,13011,13012,"ATOTONILCO EL GRANDE",5.05,4.44,4.27,NA
13,13012,13013,"ATOTONILCO DE TULA",35.16,13.96,33.92,NA
13,13013,13014,"CALNALI",3.58,1.68,4,NA
13,13014,13015,"CARDONAL",3.54,2.9,3.91,NA
13,13015,13016,"CUAUTEPEC DE HINOJOSA",8.82,8.67,5,NA
13,13016,13017,"CHAPANTONGO",5.04,1.98,4.66,NA
13,13017,13018,"CHAPULHUACAN",4.35,1.62,4,NA
13,13018,13019,"CHILCUAUTLA",9.56,8.05,8.05,NA
13,13019,13009,"EL ARENAL",15.19,7.57,13.67,NA
13,13020,13020,"ELOXOCHITLAN",0.77,1.47,0,NA
13,13021,13021,"EMILIANO ZAPATA",12.27,7.24,10.48,NA
13,13022,13022,"EPAZOYUCAN",12.93,5.1,12.19,NA
13,13023,13023,"FRANCISCO I. MADERO",18.28,8.56,16.96,NA
13,13024,13024,"HUASCA DE OCAMPO",5.59,2.98,5.02,NA
13,13025,13025,"HUAUTLA",3.13,1.81,3.84,NA
13,13026,13026,"HUAZALINGO",3.22,1.52,4,NA
13,13027,13027,"HUEHUETLA",3.37,1.31,4,NA
13,13028,13028,"HUEJUTLA DE REYES",7.76,6.75,5.83,NA
13,13029,13029,"HUICHAPAN",7.65,6.39,5.64,NA
13,13030,13030,"IXMIQUILPAN",12.74,10.55,9.32,NA
13,13031,13031,"JACALA DE LEDEZMA",1.31,2.23,0,NA
13,13032,13032,"JALTOCAN",8.19,1.53,8.54,NA
13,13033,13033,"JUAREZ HIDALGO",1.89,1.72,1.89,NA
13,13034,13040,"LA MISION",2.9,1.72,4,NA
13,13035,13034,"LOLOTLA",3.52,1.44,4,NA
13,13036,13035,"METEPEC",6.89,2.18,7,NA
13,13037,13037,"METZTITLAN",1.95,2.4,0.52,NA
13,13038,13038,"MINERAL DEL CHICO",8.41,5.14,7.78,NA
13,13039,13039,"MINERAL DEL MONTE",18.47,11.89,13.79,NA
13,13040,13051,"MINERAL DE LA REFORMA",40.59,16.23,44.17,NA
13,13041,13041,"MIXQUIAHUALA DE JUAREZ",20.13,9.48,18.07,NA
13,13042,13042,"MOLANGO DE ESCAMILLA",2.91,2.86,3.01,NA
13,13043,13043,"NICOLAS FLORES",1.52,1.73,0.47,NA
13,13044,13044,"NOPALA DE VILLAGRAN",7.06,2.43,6.9,NA
13,13045,13045,"OMITLAN DE JUAREZ",10.92,5.41,9.83,NA
13,13046,13047,"PACULA",1.08,1.57,0,NA
13,13047,13048,"PACHUCA DE SOTO",45.1,15.77,52.45,NA
13,13048,13049,"PISAFLORES",4.22,0.79,4,NA
13,13049,13050,"PROGRESO DE OBREGON",14.07,10.71,10.42,NA
13,13050,13036,"SAN AGUSTIN METZQUITITLAN",2.9,2.37,3.73,NA
13,13051,13052,"SAN AGUSTIN TLAXIACA",13.61,9.16,10.5,NA
13,13052,13053,"SAN BARTOLO TUTOTEPEC",1.17,1.86,0,NA
13,13053,13046,"SAN FELIPE ORIZATLAN",3.93,2.83,4,NA
13,13054,13054,"SAN SALVADOR",13.48,7.28,11.62,NA
13,13055,13055,"SANTIAGO DE ANAYA",5.93,3.84,4.82,NA
13,13056,13056,"SANTIAGO TULANTEPEC DE LUGO GUERRERO",21.54,13.95,17.51,NA
13,13057,13057,"SINGUILUCAN",6.27,3.26,5,NA
13,13058,13058,"TASQUILLO",7.3,5.19,6,NA
13,13059,13059,"TECOZAUTLA",6.09,4.52,4.32,NA
13,13060,13060,"TENANGO DE DORIA",4.5,1.44,4,NA
13,13061,13061,"TEPEAPULCO",11.09,11.85,5,NA
13,13062,13062,"TEPEHUACAN DE GUERRERO",3.08,1.51,3.91,NA
13,13063,13063,"TEPEJI DEL RIO DE OCAMPO",19.24,11.96,16.82,NA
13,13064,13064,"TEPETITLAN",8.46,4.38,7.05,NA
13,13065,13065,"TETEPANGO",20.22,9.01,20.21,NA
13,13066,13067,"TEZONTEPEC DE ALDAMA",21.63,11.52,19.8,NA
13,13067,13068,"TIANGUISTENGO",2.61,2.15,2.63,NA
13,13068,13069,"TIZAYUCA",51.72,8.11,55.24,NA
13,13069,13070,"TLAHUELILPAN",35.07,9.95,34.22,NA
13,13070,13071,"TLAHUILTEPA",0.51,1.12,0,NA
13,13071,13072,"TLANALAPA",13.73,10.46,10.76,NA
13,13072,13073,"TLANCHINOL",3.76,1.25,4,NA
13,13073,13074,"TLAXCOAPAN",43.2,9.14,44.2,NA
13,13074,13075,"TOLCAYUCA",17.69,11.07,15.66,NA
13,13075,13076,"TULA DE ALLENDE",29.03,19.94,22.8,NA
13,13076,13077,"TULANCINGO DE BRAVO",24.98,16.37,19.19,NA
13,13077,13066,"VILLA DE TEZONTEPEC",14.35,7.36,10.78,NA
13,13078,13078,"XOCHIATIPAN",2.77,1.68,3.85,NA
13,13079,13079,"XOCHICOATLAN",3.2,2.03,4,NA
13,13080,13080,"YAHUALICA",3.65,1.54,4,NA
13,13081,13081,"ZACUALTIPAN DE ANGELES",5.21,6.44,4,NA
13,13082,13082,"ZAPOTLAN DE JUAREZ",19.24,9.94,17.46,NA
13,13083,13083,"ZEMPOALA",12.79,8.17,10.26,NA
13,13084,13084,"ZIMAPAN",5.21,6.67,4,NA
