"edon","ife","inegi","mun","mean","sd","median","note"
14,14001,14001,"ACATIC",8.59,5.08,7.12,NA
14,14002,14002,"ACATLAN DE JUAREZ",13.72,8,11.13,NA
14,14003,14003,"AHUALULCO DE MERCADO",6.26,8.15,4.14,NA
14,14004,14004,"AMACUECA",4.85,2.94,4.85,NA
14,14005,14005,"AMATITAN",8.66,6.49,6.36,NA
14,14006,14006,"AMECA",5.17,8.32,4,NA
14,14007,14007,"SAN JUANITO DE ESCOBEDO",7.93,5.54,6.96,NA
14,14008,14008,"ARANDAS",4.71,7.86,4,NA
14,14009,14009,"EL ARENAL",13.62,6.3,13.11,NA
14,14010,14010,"ATEMAJAC DE BRIZUELA",1.07,2.55,0,NA
14,14011,14011,"ATENGO",0.56,1.48,0,NA
14,14012,14012,"ATENGUILLO",0.46,1.36,0,NA
14,14013,14013,"ATOTONILCO EL ALTO",9.33,8.26,6.6,NA
14,14014,14014,"ATOYAC",2.47,3.19,0.7,NA
14,14015,14015,"AUTLAN DE NAVARRO",4.56,8.99,0.4,NA
14,14016,14016,"AYOTLAN",7.33,5.91,5.39,NA
14,14017,14017,"AYUTLA",0.74,2.65,0,NA
14,14018,14018,"LA BARCA",11.53,10.24,8.9,NA
14,14019,14019,"BOLAÑOS",0.39,1.5,0,NA
14,14020,14020,"CABO CORRIENTES",0.37,1.31,0,NA
14,14021,14021,"CASIMIRO CASTILLO",3.27,3.81,1.45,NA
14,14022,14022,"CIHUATLAN",5.51,8.97,2.42,NA
14,14023,14023,"ZAPOTLAN EL GRANDE",12.63,16.25,5,NA
14,14024,14113,"SAN GABRIEL",1.8,2.58,0,NA
14,14025,14024,"COCULA",7.5,6.84,6.3,NA
14,14026,14025,"COLOTLAN",1.65,5.07,0,NA
14,14027,14026,"CONCEPCION DE BUENOS AIRES",1.93,3.39,0,NA
14,14028,14027,"CUAUTITLAN DE GARCIA BARRAGAN",0.94,1.99,0,NA
14,14029,14028,"CUAUTLA",0.52,1.58,0,NA
14,14030,14029,"CUQUIO",4.02,2.91,4.17,NA
14,14031,14030,"CHAPALA",23.25,13.16,20.82,NA
14,14032,14031,"CHIMALTITAN",0.22,1.07,0,NA
14,14033,14032,"CHIQUILISTLAN",0.87,2.12,0,NA
14,14034,14033,"DEGOLLADO",5.94,4.83,5,NA
14,14035,14034,"EJUTLA",0.47,1.27,0,NA
14,14036,14035,"ENCARNACION DE DIAZ",5.6,6.18,4.42,NA
14,14037,14036,"ETZATLAN",4.05,6.61,0.32,NA
14,14038,14079,"GOMEZ FARIAS",3,5.16,0,NA
14,14039,14037,"EL GRULLO",4.98,6.62,3.6,NA
14,14040,14038,"GUACHINANGO",0.39,1.49,0,NA
14,14041,14039,"GUADALAJARA",60.87,0.61,61,NA
14,14042,14040,"HOSTOTIPAQUILLO",1.75,2.78,0,NA
14,14043,14041,"HUEJUCAR",1.91,4.07,0,NA
