"edon","munn","mun","mean","sd","median","note"
14,1,"ACATIC",8.71,5.9,7,""
14,2,"ACATLAN DE JUAREZ",14.89,10.31,10.62,""
14,3,"AHUALULCO DE MERCADO",6.51,8.39,4.41,""
14,4,"AMACUECA",5.03,3.88,4.95,""
14,5,"AMATITAN",8.92,8.3,5.97,""
14,6,"AMECA",5.28,8.68,3.27,""
14,7,"SAN JUANITO DE ESCOBEDO",6.59,4.73,6.07,""
14,8,"ARANDAS",5.98,8.53,4.79,""
14,9,"EL ARENAL",16.87,9.19,16.94,""
14,10,"ATEMAJAC DE BRIZUELA",1.44,3.13,0,""
14,11,"ATENGO",0.57,1.6,0,""
14,12,"ATENGUILLO",0.5,1.56,0,""
14,13,"ATOTONILCO EL ALTO",10.34,8.63,7.16,""
14,14,"ATOYAC",2.85,3.33,1.33,""
14,15,"AUTLAN DE NAVARRO",5.37,9.7,2.68,""
14,16,"AYOTLAN",7.06,5.21,6,""
14,17,"AYUTLA",0.85,2.86,0,""
14,18,"LA BARCA",11.62,10.02,8.37,""
14,19,"BOLA?OS",0.65,2.07,0,""
14,20,"CABO CORRIENTES",0.88,2.1,0,""
14,21,"CASIMIRO CASTILLO",2.56,4.05,0.19,""
14,22,"CIHUATLAN",5,8.74,0.42,""
14,23,"ZAPOTLAN EL GRANDE",12.51,16.57,5.89,""
14,24,"SAN GABRIEL",2.44,3.41,0.42,""
14,25,"COCULA",8.53,7.87,6.97,""
14,26,"COLOTLAN",2.41,6.31,0,""
14,27,"CONCEPCION DE BUENOS AIRES",2.07,3.58,0,""
14,28,"CUAUTITLAN DE GARCIA BARRAGAN",0.63,1.83,0,""
14,29,"CUAUTLA",0.57,1.76,0,""
14,30,"CUQUIO",5.48,3.44,5.04,""
14,31,"CHAPALA",23.63,14.35,20.36,""
14,32,"CHIMALTITAN",0.36,1.25,0,""
14,33,"CHIQUILISTLAN",0.59,1.66,0,""
14,34,"DEGOLLADO",6.45,5.52,5.37,""
14,35,"EJUTLA",0.49,1.45,0,""
14,36,"ENCARNACION DE DIAZ",6.07,6.34,5,""
14,37,"ETZATLAN",4.03,7.24,0.21,""
14,38,"GOMEZ FARIAS",3.29,5.99,0,""
14,39,"EL GRULLO",7.53,9.64,5.25,""
14,40,"GUACHINANGO",0.38,1.43,0,""
14,41,"GUADALAJARA",62.73,1.46,63,""
14,42,"HOSTOTIPAQUILLO",2,5.28,0,""
14,43,"HUEJUCAR",2.82,4.11,0.36,""
14,44,"HUEJUQUILLA EL ALTO",0.91,2.87,0,""
14,45,"LA HUERTA",1.05,2.41,0,""
14,46,"IXTLAHUACAN DE LOS MEMBRILLOS",24.8,15.43,22.39,""
14,47,"IXTLAHUACAN DEL RIO",7.42,6.65,6,""
14,48,"JALOSTOTITLAN",6.57,7.53,5,""
14,49,"JAMAY",11.17,8.81,7.75,""
14,50,"JESUS MARIA",4.61,4.67,4.73,""
14,51,"JILOTLAN DE LOS DOLORES",0.33,1.57,0,""
14,52,"JOCOTEPEC",9.64,6.97,7.24,""
14,53,"JUANACATLAN",20.07,14.07,13.85,""
14,54,"JUCHITLAN",1.05,2.35,0,""
14,55,"LAGOS DE MORENO",5.32,8.55,4.11,""
14,56,"EL LIMON",3.06,4.32,0.86,""
14,57,"MAGDALENA",4.9,6.62,4.31,""
14,58,"SANTA MARIA DEL ORO",0.13,0.74,0,""
14,59,"LA MANZANILLA DE LA PAZ",3.21,2.98,3.42,""
14,60,"MASCOTA",0.65,2.44,0,""
14,61,"MAZAMITLA",3.33,5.6,0,""
14,62,"MEXTICACAN",4.51,4.26,4.11,""
14,63,"MEZQUITIC",0.25,1.22,0,""
14,64,"MIXTLAN",0.52,1.62,0,""
14,65,"OCOTLAN",15.89,15.49,8.95,""
14,66,"OJUELOS DE JALISCO",2.73,4.6,0.44,""
14,67,"PIHUAMO",1.12,2.76,0,""
14,68,"PONCITLAN",11.76,8.8,9.66,""
14,69,"PUERTO VALLARTA",14.93,19.42,5.87,""
14,70,"VILLA PURIFICACION",0.2,1.26,0,""
14,71,"QUITUPAN",1.19,2.33,0,""
14,72,"EL SALTO",58.56,6.19,61.74,""
14,73,"SAN CRISTOBAL DE LA BARRANCA",1.45,2.14,0,""
14,74,"SAN DIEGO DE ALEJANDRIA",5.14,4.21,4.38,""
14,75,"SAN JUAN DE LOS LAGOS",7.61,9.3,5.39,""
14,76,"SAN JULIAN",5.85,7.96,4,""
14,77,"SAN MARCOS",1.1,3.26,0,""
14,78,"SAN MARTIN DE BOLA?OS",0.41,1.62,0,""
14,79,"SAN MARTIN HIDALGO",6.91,5.5,6,""
14,80,"SAN MIGUEL EL ALTO",4.39,6.65,3.57,""
14,81,"SAN SEBASTIAN DEL OESTE",0.26,0.98,0,""
14,82,"SANTA MARIA DE LOS ANGELES",2.18,2.72,0.69,""
14,83,"SAYULA",7.9,11.6,3.8,""
14,84,"TALA",14.12,10.94,11,""
14,85,"TALPA DE ALLENDE",0.33,1.92,0,""
14,86,"TAMAZULA DE GORDIANO",2.93,6.22,0,""
14,87,"TAPALPA",2.43,4.38,0,""
14,88,"TECALITLAN",0.92,3.85,0,""
14,89,"TECOLOTLAN",1.7,3.33,0,""
14,90,"TECHALUTA DE MONTENEGRO",3.79,4.43,2.37,""
14,91,"TENAMAXTLAN",1.23,2.52,0,""
14,92,"TEOCALTICHE",5.16,6.98,4.41,""
14,93,"TEOCUITATLAN DE CORONA",3.67,3.29,3.96,""
14,94,"TEPATITLAN DE MORELOS",8.91,10.68,5.84,""
14,95,"TEQUILA",1.87,5.44,0,""
14,96,"TEUCHITLAN",7.47,4.37,6.73,""
14,97,"TIZAPAN EL ALTO",5.45,6.58,4.48,""
14,98,"TLAJOMULCO DE ZU?IGA",34.24,21.43,30.97,""
14,99,"SAN PEDRO TLAQUEPAQUE",62.58,1.44,63,""
14,100,"TOLIMAN",1.76,2.77,0,""
14,101,"TOMATLAN",0.91,2.44,0,""
