"edon","ife","inegi","mun","mean","sd","median","note"
15,15001,15001,"ACAMBAY DE RUIZ CASTAÑEDA",5.37,3.16,4.7,NA
15,15002,15002,"ACOLMAN",48.4,11.69,51.16,NA
15,15003,15003,"ACULCO",5.09,2.04,4.48,NA
15,15004,15004,"ALMOLOYA DE ALQUISIRAS",4.74,2.63,5,NA
15,15005,15005,"ALMOLOYA DE JUAREZ",12.67,10.04,8.32,NA
15,15006,15006,"ALMOLOYA DEL RIO",28.55,15.29,21.3,NA
15,15007,15007,"AMANALCO",5.22,2.99,4.99,NA
15,15008,15008,"AMATEPEC",1.65,2,0.26,NA
15,15009,15009,"AMECAMECA",12.88,11.8,6.18,NA
15,15010,15010,"APAXCO",17.63,13.25,13.65,NA
15,15011,15011,"ATENCO",50.9,9.42,53.29,NA
15,15012,15012,"ATIZAPAN",53.24,8.91,57.46,NA
15,15013,15013,"ATIZAPAN DE ZARAGOZA",62.15,2.12,63,NA
15,15014,15014,"ATLACOMULCO",11.56,10.28,8.2,NA
15,15015,15015,"ATLAUTLA",9.37,7.55,5.64,NA
15,15016,15016,"AXAPUSCO",10.98,5.41,9.39,NA
15,15017,15017,"AYAPANGO",19.02,8.35,16.41,NA
15,15018,15018,"CALIMAYA",23.09,12.18,24.73,NA
15,15019,15019,"CAPULHUAC",32.94,14.39,31.17,NA
15,15020,15020,"COACALCO DE BERRIOZABAL",62.07,1.49,63,NA
15,15021,15021,"COATEPEC HARINAS",11.26,10.76,7,NA
15,15022,15022,"COCOTITLAN",44.75,6.03,45.24,NA
15,15023,15023,"COYOTEPEC",34.96,16.2,37.01,NA
15,15024,15024,"CUAUTITLAN",59.09,7.15,63,NA
15,15025,15121,"CUAUTITLAN IZCALLI",61.31,3.98,63,NA
15,15026,15025,"CHALCO",31.33,21.31,30.43,NA
15,15027,15026,"CHAPA DE MOTA",5.59,1.59,5,NA
15,15028,15027,"CHAPULTEPEC",34.05,6.7,31.95,NA
15,15029,15028,"CHIAUTLA",56.12,7.57,58.98,NA
15,15030,15029,"CHICOLOAPAN",41.52,13.88,34.94,NA
15,15031,15030,"CHICONCUAC",61.92,0.2,62,NA
15,15032,15031,"CHIMALHUACAN",60,5.58,62.24,NA
15,15033,15032,"DONATO GUERRA",5.97,3.01,5.97,NA
15,15034,15033,"ECATEPEC DE MORELOS",62.32,1.73,63,NA
15,15035,15034,"ECATZINGO",5.77,2.85,4.63,NA
15,15036,15035,"HUEHUETOCA",21,13.91,16.19,NA
15,15037,15036,"HUEYPOXTLA",10.37,5.39,9.23,NA
15,15038,15037,"HUIXQUILUCAN",48.81,15.48,56.38,NA
15,15039,15038,"ISIDRO FABELA",16.29,10.41,16.9,NA
15,15040,15039,"IXTAPALUCA",19.92,18.71,11.2,NA
15,15041,15040,"IXTAPAN DE LA SAL",17.71,10.92,14.08,NA
15,15042,15041,"IXTAPAN DEL ORO",4.37,1.38,4.39,NA
15,15043,15042,"IXTLAHUACA",13.95,8.4,11.37,NA
15,15044,15043,"XALATLACO",11.94,11.9,6.4,NA
15,15045,15044,"JALTENCO",55.92,1.95,55.49,NA
15,15046,15045,"JILOTEPEC",7.51,5.56,5.55,NA
15,15047,15046,"JILOTZINGO",17.56,10.13,15.91,NA
15,15048,15047,"JIQUIPILCO",9.34,3.94,8.45,NA
15,15049,15048,"JOCOTITLAN",13.11,8.12,10.15,NA
15,15050,15049,"JOQUICINGO",8.92,4.3,7.08,NA
15,15051,15050,"JUCHITEPEC",10.49,5.14,8.74,NA
