"edon","munn","mun","mean","sd","median","note"
15,1,"ACAMBAY DE RUIZ CASTAÑEDA",7.82,3.77,7,""
15,2,"ACOLMAN",53.77,10.03,58.32,""
15,3,"ACULCO",7.9,3.31,7.21,""
15,4,"ALMOLOYA DE ALQUISIRAS",7.59,3.83,7.28,""
15,5,"ALMOLOYA DE JUAREZ",15.43,11.32,11,""
15,6,"ALMOLOYA DEL RIO",31.98,13.65,28.77,""
15,7,"AMANALCO",5.75,4.35,4.99,""
15,8,"AMATEPEC",3.38,3.15,3.78,""
15,9,"AMECAMECA",17.63,16.69,8.27,""
15,10,"APAXCO",25.46,14.85,22.29,""
15,11,"ATENCO",51.81,7.88,52.6,""
15,12,"ATIZAPAN",53.69,7.35,55.87,""
15,13,"ATIZAPAN DE ZARAGOZA",60.93,2.5,62,""
15,14,"ATLACOMULCO",18.44,12.64,14.49,""
15,15,"ATLAUTLA",11.06,12.27,6.25,""
15,16,"AXAPUSCO",14.91,8.25,12.06,""
15,17,"AYAPANGO",26.4,10.8,24.15,""
15,18,"CALIMAYA",24.17,13.32,25.5,""
15,19,"CAPULHUAC",39.35,14.45,39.67,""
15,20,"COACALCO DE BERRIOZABAL",60.91,1.57,62,""
15,21,"COATEPEC HARINAS",12.47,10.54,9.84,""
15,22,"COCOTITLAN",48.17,5.77,47.47,""
15,23,"COYOTEPEC",47.87,13.47,52.8,""
15,24,"CUAUTITLAN",61.1,2.13,62,""
15,25,"CUAUTITLAN IZCALLI",61.74,0.95,62,""
15,26,"CHALCO",35.6,21.84,38.78,""
15,27,"CHAPA DE MOTA",7.72,2.62,7,""
15,28,"CHAPULTEPEC",32.99,5.98,32.69,""
15,29,"CHIAUTLA",60.18,2.89,61.41,""
15,30,"CHICOLOAPAN",48.78,9.86,46.51,""
15,31,"CHICONCUAC",62,0,62,""
15,32,"CHIMALHUACAN",59.59,5.76,62,""
15,33,"DONATO GUERRA",8.11,4.34,7.83,""
15,34,"ECATEPEC DE MORELOS",61.58,1.66,62,""
15,35,"ECATZINGO",7.82,5.83,6.16,""
15,36,"HUEHUETOCA",34.75,14.64,33.95,""
15,37,"HUEYPOXTLA",18.38,9.35,16.65,""
15,38,"HUIXQUILUCAN",49.37,13.75,56.57,""
15,39,"ISIDRO FABELA",19.47,11.17,19.91,""
15,40,"IXTAPALUCA",24.34,20.97,13.91,""
15,41,"IXTAPAN DE LA SAL",19.18,11.9,15.27,""
15,42,"IXTAPAN DEL ORO",5.45,2.87,5,""
15,43,"IXTLAHUACA",20.06,10.01,17,""
15,44,"XALATLACO",12.95,12.8,7,""
15,45,"JALTENCO",60.65,0.51,60.81,""
15,46,"JILOTEPEC",11.09,7.75,8.53,""
15,47,"JILOTZINGO",21.24,10.79,19.43,""
15,48,"JIQUIPILCO",13.49,6.08,12.34,""
15,49,"JOCOTITLAN",19.98,8,17.5,""
15,50,"JOQUICINGO",12.97,5.39,10.91,""
15,51,"JUCHITEPEC",14.3,8.98,10.47,""
15,52,"LERMA",33.95,15.47,31.11,""
15,53,"MALINALCO",11.41,6.07,9.66,""
15,54,"MELCHOR OCAMPO",61.7,0.53,62,""
15,55,"METEPEC",56.5,7.13,59.31,""
15,56,"MEXICALTZINGO",46.71,6.89,47.95,""
15,57,"MORELOS",8.17,2.92,7.67,""
15,58,"NAUCALPAN DE JUAREZ",55.52,9.29,61.34,""
15,59,"NEXTLALPAN",52.02,6.73,53.81,""
15,60,"NEZAHUALCOYOTL",61.99,0.04,62,""
15,61,"NICOLAS ROMERO",32.41,19.81,28.17,""
15,62,"NOPALTEPEC",14.52,6.79,12.22,""
15,63,"OCOYOACAC",24.74,15.76,19.32,""
15,64,"OCUILAN",10.06,4.38,9,""
15,65,"EL ORO",10.77,5.53,9.07,""
15,66,"OTUMBA",14.77,11.52,9.6,""
15,67,"OTZOLOAPAN",2.8,2.67,2.34,""
15,68,"OTZOLOTEPEC",30.92,15.67,30.6,""
15,69,"OZUMBA",35.16,14.85,28.71,""
15,70,"PAPALOTLA",61.27,0.62,61.43,""
15,71,"LA PAZ",59.67,4.45,62,""
15,72,"POLOTITLAN",10.45,4,9,""
15,73,"RAYON",34.06,9.16,32,""
15,74,"SAN ANTONIO LA ISLA",31.02,11.39,32.83,""
15,75,"SAN FELIPE DEL PROGRESO",10.56,5.28,8.85,""
15,76,"SAN MARTIN DE LAS PIRAMIDES",31.93,11.85,29.89,""
15,77,"SAN MATEO ATENCO",56.46,8.25,60.6,""
15,78,"SAN SIMON DE GUERRERO",4.2,2.39,4.2,""
15,79,"SANTO TOMAS",6.35,5.93,4.44,""
15,80,"SOYANIQUILPAN DE JUAREZ",11.36,3.95,10.24,""
15,81,"SULTEPEC",3.14,2.98,4,""
15,82,"TECAMAC",54.33,8.97,58.86,""
15,83,"TEJUPILCO",5.99,6.8,4.3,""
15,84,"TEMAMATLA",32.64,13.09,34.17,""
15,85,"TEMASCALAPA",19.14,7.2,17.8,""
