"edon","munn","mun","mean","sd","median","note"
16,1,"ACUITZIO",3.6,4.69,1.2,""
16,2,"AGUILILLA",0.51,1.93,0,""
16,3,"ALVARO OBREGON",9.24,4.35,7.7,""
16,4,"ANGAMACUTIRO",3.97,2.89,4,""
16,5,"ANGANGUEO",6.87,4.09,7.05,""
16,6,"APATZINGAN",3.32,8.13,0,""
16,7,"APORO",3.98,1.98,4,""
16,8,"AQUILA",0.24,0.94,0,""
16,9,"ARIO",1.63,3.78,0,""
16,10,"ARTEAGA",0.39,2.2,0,""
16,11,"BRISEÑAS",7.13,6.89,5,""
16,12,"BUENAVISTA",3.06,4.11,1.58,""
16,13,"CARACUARO",0.22,1.13,0,""
16,14,"COAHUAYANA",2.22,3.72,0,""
16,15,"COALCOMAN DE VAZQUEZ PALLARES",0.31,1.75,0,""
16,16,"COENEO",4.9,2.31,4.77,""
16,17,"CONTEPEC",4.79,2.66,5,""
16,18,"COPANDARO",5.45,1.86,4.84,""
16,19,"COTIJA",2.36,4.1,0,""
16,20,"CUITZEO",7.4,4.35,6.48,""
16,21,"CHARAPAN",3.29,2.81,4,""
16,22,"CHARO",5.27,5.84,4,""
16,23,"CHAVINDA",6.98,4.27,5.04,""
16,24,"CHERAN",4.39,5.54,3.23,""
16,25,"CHILCHOTA",7.55,5.61,7.39,""
16,26,"CHINICUILA",0.17,0.8,0,""
16,27,"CHUCANDIRO",3.39,2.7,4,""
16,28,"CHURINTZIO",4.29,2.43,4.21,""
16,29,"CHURUMUCO",0.26,1.19,0,""
16,30,"ECUANDUREO",5.27,2.36,4.31,""
16,31,"EPITACIO HUERTA",3.81,2.01,4,""
16,32,"ERONGARICUARO",3.72,3.36,3.65,""
16,33,"GABRIEL ZAMORA",3.16,4.03,3.01,""
16,34,"HIDALGO",3.66,7.35,0,""
16,35,"LA HUACANA",0.55,1.83,0,""
16,36,"HUANDACAREO",6.31,4.14,5,""
16,37,"HUANIQUEO",5.27,2.33,5.26,""
16,38,"HUETAMO",1.45,4.45,0,""
16,39,"HUIRAMBA",4.6,2.89,4.03,""
16,40,"INDAPARAPEO",3.78,4.14,4,""
16,41,"IRIMBO",7.2,2.45,7.02,""
16,42,"IXTLAN",6.58,2.41,6.26,""
16,43,"JACONA",19.35,16.98,12.08,""
16,44,"JIMENEZ",4.88,3.17,4.69,""
16,45,"JIQUILPAN",8.12,10.43,4,""
16,46,"JOSE SIXTO VERDUZCO",6.41,3.19,5.8,""
16,47,"JUAREZ",4.15,3.17,4.28,""
16,48,"JUNGAPEO",2.91,3.91,0.57,""
16,49,"LAGUNILLAS",6.88,2.81,6.31,""
16,50,"LAZARO CARDENAS",7.69,14.42,0,""
16,51,"MADERO",0.41,1.53,0,""
16,52,"MARAVATIO",5.25,5.39,4.47,""
16,53,"MARCOS CASTELLANOS",2.94,4.34,0.71,""
16,54,"MORELIA",11.66,16.68,5,""
16,55,"MORELOS",1.92,2.18,0.9,""
16,56,"MUGICA",5.83,8.17,4,""
16,57,"NAHUATZEN",3.57,3.59,3.64,""
16,58,"NOCUPETARO",0.43,1.73,0,""
16,59,"NUEVO PARANGARICUTIRO",3.15,4.92,0.25,""
16,60,"NUEVO URECHO",1.19,1.8,0,""
16,61,"NUMARAN",7.32,3.18,5.5,""
16,62,"OCAMPO",4.17,2.93,4.29,""
16,63,"PAJACUARAN",5.97,2.88,5.01,""
16,64,"PANINDICUARO",4.47,3.27,4.32,""
16,65,"PARACUARO",3.6,3.61,4,""
16,66,"PARACHO",7.53,6.28,5.73,""
16,67,"PATZCUARO",7.7,10.34,4.87,""
16,68,"PENJAMILLO",3.6,2.56,4,""
16,69,"PERIBAN",3.15,4.72,0,""
16,70,"LA PIEDAD",11.9,13.77,5.64,""
16,71,"PUREPERO",5.78,6.02,4.35,""
16,72,"PURUANDIRO",4.86,5.36,4.14,""
16,73,"QUERENDARO",2.73,4.04,0,""
16,74,"QUIROGA",5.56,5.2,5,""
16,75,"COJUMATLAN DE REGULES",2.92,2.82,3.26,""
16,76,"LOS REYES",4.65,7.58,3.68,""
16,77,"SAHUAYO",13.39,16.95,4.05,""
16,78,"SAN LUCAS",4.35,6.86,4,""
16,79,"SANTA ANA MAYA",6.79,3.04,5.41,""
