"edon","ife","inegi","mun","mean","sd","median","note"
16,16001,16001,"ACUITZIO",3.79,4.9,1.92,NA
16,16002,16002,"AGUILILLA",0.59,2.36,0,NA
16,16003,16003,"ALVARO OBREGON",9.17,4.57,8.14,NA
16,16004,16004,"ANGAMACUTIRO",4.71,3.43,4.22,NA
16,16005,16005,"ANGANGUEO",6.72,4.9,7.11,NA
16,16006,16006,"APATZINGAN",3.39,8.41,0,NA
16,16007,16007,"APORO",3.02,2.6,2.92,NA
16,16008,16008,"AQUILA",0.23,0.97,0,NA
16,16009,16009,"ARIO",1.85,4.5,0,NA
16,16010,16010,"ARTEAGA",0.43,2.27,0,NA
16,16011,16011,"BRISEÑAS",6.88,6.34,5,NA
16,16012,16012,"BUENAVISTA",3.23,4.63,0.78,NA
16,16013,16013,"CARACUARO",0.28,1.22,0,NA
16,16014,16014,"COAHUAYANA",2.03,4.07,0,NA
16,16015,16015,"COALCOMAN DE VAZQUEZ PALLARES",0.31,1.93,0,NA
16,16016,16016,"COENEO",4.72,2.51,4.74,NA
16,16017,16017,"CONTEPEC",5.92,2.97,5.76,NA
16,16018,16018,"COPANDARO",5.9,2.28,5.5,NA
16,16019,16019,"COTIJA",2.59,4.7,0,NA
16,16020,16020,"CUITZEO",7.19,4.7,5.72,NA
16,16021,16021,"CHARAPAN",2.99,3.24,1.85,NA
16,16022,16022,"CHARO",5.47,6.02,4,NA
16,16023,16023,"CHAVINDA",7.19,4.56,5.6,NA
16,16024,16024,"CHERAN",4.25,6.54,0.74,NA
16,16025,16025,"CHILCHOTA",5.64,6.66,3.51,NA
16,16026,16026,"CHINICUILA",0.15,0.86,0,NA
16,16027,16027,"CHUCANDIRO",4.15,2.7,4,NA
16,16028,16028,"CHURINTZIO",4.75,2.86,4.31,NA
16,16029,16029,"CHURUMUCO",0.41,1.45,0,NA
16,16030,16030,"ECUANDUREO",4.92,2.92,4.47,NA
16,16031,16031,"EPITACIO HUERTA",4.31,2,4.04,NA
16,16032,16032,"ERONGARICUARO",3.96,3.51,4,NA
16,16033,16033,"GABRIEL ZAMORA",3.33,4.55,2.25,NA
16,16034,16034,"HIDALGO",3.93,7.69,0.71,NA
16,16035,16035,"LA HUACANA",0.87,2.2,0,NA
16,16036,16036,"HUANDACAREO",6.57,3.98,5.43,NA
16,16037,16037,"HUANIQUEO",4.53,2.23,4.87,NA
16,16038,16038,"HUETAMO",1.75,5.09,0,NA
16,16039,16039,"HUIRAMBA",4.51,3.09,4.32,NA
16,16040,16040,"INDAPARAPEO",4.53,3.92,4.02,NA
16,16041,16041,"IRIMBO",8.01,2.84,7.38,NA
16,16042,16042,"IXTLAN",7.04,2.72,7.08,NA
16,16043,16043,"JACONA",20.35,17.54,13.82,NA
16,16044,16044,"JIMENEZ",4.86,3.69,4.26,NA
16,16045,16045,"JIQUILPAN",8.52,10.39,4.19,NA
16,16046,16113,"JOSE SIXTO VERDUZCO",6.87,3.59,6.91,NA
16,16047,16046,"JUAREZ",4.88,3.27,4.79,NA
16,16048,16047,"JUNGAPEO",3.38,4.01,1.96,NA
16,16049,16048,"LAGUNILLAS",6.92,3.66,6.33,NA
16,16050,16052,"LAZARO CARDENAS",8.15,15.11,0,NA
16,16051,16049,"MADERO",0.42,1.59,0,NA
16,16052,16050,"MARAVATIO",5.84,6.29,4.83,NA
16,16053,16051,"MARCOS CASTELLANOS",3.08,4.79,0.68,NA
16,16054,16053,"MORELIA",11.67,16.89,5,NA
16,16055,16054,"MORELOS",2.12,2.25,0.98,NA
16,16056,16055,"MUGICA",6.16,8.95,4,NA
16,16057,16056,"NAHUATZEN",3.4,3.99,2.82,NA
16,16058,16057,"NOCUPETARO",0.75,2.22,0,NA
16,16059,16058,"NUEVO PARANGARICUTIRO",3.2,5.37,0,NA
16,16060,16059,"NUEVO URECHO",1.63,2.06,0,NA
16,16061,16060,"NUMARAN",8.78,4.11,7.49,NA
16,16062,16061,"OCAMPO",3.78,3.26,4,NA
16,16063,16062,"PAJACUARAN",6.89,3.37,6.32,NA
16,16064,16063,"PANINDICUARO",4.71,3.43,4.17,NA
16,16065,16064,"PARACUARO",3.81,4.05,4,NA
16,16066,16065,"PARACHO",7.18,7.43,5.58,NA
16,16067,16066,"PATZCUARO",7.87,11.36,4.81,NA
16,16068,16067,"PENJAMILLO",3.96,2.94,4.42,NA
16,16069,16068,"PERIBAN",3.32,5.96,0,NA
16,16070,16069,"LA PIEDAD",13.06,14.34,6.98,NA
16,16071,16070,"PUREPERO",4.46,6.54,2.09,NA
16,16072,16071,"PURUANDIRO",5.43,6.04,4.6,NA
16,16073,16072,"QUERENDARO",2.98,4.44,0,NA
16,16074,16073,"QUIROGA",5.3,5.48,4.5,NA
16,16075,16074,"COJUMATLAN DE REGULES",3.5,3.1,4,NA
16,16076,16075,"LOS REYES",4.88,8.42,3.28,NA
16,16077,16076,"SAHUAYO",14.36,18.04,4,NA
16,16078,16077,"SAN LUCAS",4.71,7.06,4,NA
16,16079,16078,"SANTA ANA MAYA",6.86,2.72,6.17,NA
16,16080,16079,"SALVADOR ESCALANTE",2.97,4.05,1.55,NA
16,16081,16080,"SENGUIO",3.2,2.37,4,NA
16,16082,16081,"SUSUPUATO",1.81,2.08,0.57,NA
16,16083,16082,"TACAMBARO",3.37,4.71,2.92,NA
16,16084,16083,"TANCITARO",1.75,2.27,0,NA
16,16085,16084,"TANGAMANDAPIO",4.34,4.1,4,NA
16,16086,16085,"TANGANCICUARO",6.32,5.68,4.79,NA
16,16087,16086,"TANHUATO",6.49,5.55,4.71,NA
16,16088,16087,"TARETAN",4,3.83,4,NA
16,16089,16088,"TARIMBARO",13.61,9.39,11.69,NA
16,16090,16089,"TEPALCATEPEC",2.03,5.05,0,NA
16,16091,16090,"TINGAMBATO",3.48,3.25,3.85,NA
16,16092,16091,"TINGÜINDIN",5.19,4.24,4.25,NA
16,16093,16092,"TIQUICHEO DE NICOLAS ROMERO",0.35,1.4,0,NA
16,16094,16093,"TLALPUJAHUA",8.45,5.31,7.04,NA
16,16095,16094,"TLAZAZALCA",3.42,2.2,4,NA
16,16096,16095,"TOCUMBO",2.92,4.91,0,NA
16,16097,16096,"TUMBISCATIO",0.26,1.16,0,NA
16,16098,16097,"TURICATO",0.71,2.16,0,NA
16,16099,16098,"TUXPAN",5.6,5.9,4.54,NA
16,16100,16099,"TUZANTLA",0.72,1.71,0,NA
16,16101,16100,"TZINTZUNTZAN",6.36,3.69,5,NA
16,16102,16101,"TZITZIO",0.24,0.9,0,NA
16,16103,16102,"URUAPAN",7.7,14.12,3.9,NA
16,16104,16103,"VENUSTIANO CARRANZA",7.01,5.14,5.56,NA
16,16105,16104,"VILLAMAR",5.07,2.14,4.67,NA
16,16106,16105,"VISTA HERMOSA",9.86,6.61,7.8,NA
16,16107,16106,"YURECUARO",7.57,7.82,5.21,NA
16,16108,16107,"ZACAPU",7.11,10.71,4,NA
16,16109,16108,"ZAMORA",14.9,14.94,8.65,NA
16,16110,16109,"ZINAPARO",5.56,2.41,5,NA
16,16111,16110,"ZINAPECUARO",6.57,5.94,5.33,NA
16,16112,16111,"ZIRACUARETIRO",5.5,3.57,5.25,NA
16,16113,16112,"ZITACUARO",9.52,11.37,5,NA
