"edon","munn","mun","mean","sd","median","note"
17,1,"AMACUZAC",11.36,6.27,9.62,""
17,2,"ATLATLAHUCAN",24.52,10.92,23.05,""
17,3,"AXOCHIAPAN",13.48,7.02,11.67,""
17,4,"AYALA",15.8,11.06,11.28,""
17,5,"COATLAN DEL RIO",15.15,8.58,11.5,""
17,6,"CUAUTLA",42.85,16.22,46.29,""
17,7,"CUERNAVACA",46.09,19.37,57.85,""
17,8,"EMILIANO ZAPATA",37.59,16.55,35.63,""
17,9,"HUITZILAC",15.37,9.24,12.1,""
17,10,"JANTETELCO",11.79,7.54,8.35,""
17,11,"JIUTEPEC",56.47,9.34,61.13,""
17,12,"JOJUTLA",23.06,15.17,18.83,""
17,13,"JONACATEPEC",12.78,6,11.55,""
17,14,"MAZATEPEC",17,10.07,12.87,""
17,15,"MIACATLAN",14.57,8.95,11.75,""
17,16,"OCUITUCO",14.25,6.23,14.12,""
17,17,"PUENTE DE IXTLA",15.34,12.73,10.9,""
17,18,"TEMIXCO",34.67,20.03,30.39,""
17,19,"TEPALCINGO",7.33,6.42,5,""
17,20,"TEPOZTLAN",22.63,12.77,19.16,""
17,21,"TETECALA",11.73,7.59,8.34,""
17,22,"TETELA DEL VOLCAN",8.79,5.4,7.16,""
17,23,"TLALNEPANTLA",11.06,4.92,8.98,""
17,24,"TLALTIZAPAN DE ZAPATA",14.6,8.82,12.67,""
17,25,"TLAQUILTENANGO",4.67,7.08,4,""
17,26,"TLAYACAPAN",27.95,8,26.15,""
17,27,"TOTOLAPAN",18.86,7.95,18.85,""
17,28,"XOCHITEPEC",40.2,14.49,41.94,""
17,29,"YAUTEPEC",32.6,14.09,32.53,""
17,30,"YECAPIXTLA",19.62,12.32,14.01,""
17,31,"ZACATEPEC",50.57,7.93,53.44,""
17,32,"ZACUALPAN DE AMILPAS",12.79,4.83,11.67,""
17,33,"TEMOAC",17.11,5.74,17.36,""
