"edon","ife","inegi","mun","mean","sd","median","note"
17,17001,17001,"AMACUZAC",11.57,5.67,9.02,NA
17,17002,17002,"ATLATLAHUCAN",30.99,12.27,30.98,NA
17,17003,17003,"AXOCHIAPAN",11.4,5.14,9,NA
17,17004,17004,"AYALA",16.7,11.98,9.89,NA
17,17005,17005,"COATLAN DEL RIO",27.32,14.1,27.84,NA
17,17006,17006,"CUAUTLA",44.47,16.57,52.53,NA
17,17007,17007,"CUERNAVACA",40.74,20.48,49.85,NA
17,17008,17008,"EMILIANO ZAPATA",45.5,13.17,48.83,NA
17,17009,17009,"HUITZILAC",12.25,6.98,8.73,NA
17,17010,17010,"JANTETELCO",16.13,9.92,9.98,NA
17,17011,17011,"JIUTEPEC",56.55,6.54,59.55,NA
17,17012,17012,"JOJUTLA",24.64,13.86,21.85,NA
17,17013,17013,"JONACATEPEC",11.25,4.76,9.34,NA
17,17014,17014,"MAZATEPEC",18.35,8.65,13.95,NA
17,17015,17015,"MIACATLAN",11.02,6.5,8,NA
17,17016,17016,"OCUITUCO",15.08,4.7,15.95,NA
17,17017,17017,"PUENTE DE IXTLA",11.38,8.39,7.43,NA
17,17018,17018,"TEMIXCO",32.25,20.38,28.09,NA
17,17019,17019,"TEPALCINGO",7.48,3.66,7,NA
17,17020,17020,"TEPOZTLAN",20.61,12.78,18,NA
17,17021,17021,"TETECALA",30,13.61,30.22,NA
17,17022,17022,"TETELA DEL VOLCAN",11.46,6.26,9.94,NA
17,17023,17023,"TLALNEPANTLA",9.34,3.55,8,NA
17,17024,17024,"TLALTIZAPAN DE ZAPATA",16.75,9.67,13.7,NA
17,17025,17025,"TLAQUILTENANGO",7.88,7.07,6.71,NA
17,17026,17026,"TLAYACAPAN",30.14,8.61,27.8,NA
17,17027,17027,"TOTOLAPAN",17.78,7.17,17.92,NA
17,17028,17028,"XOCHITEPEC",46.33,10.01,50,NA
17,17029,17029,"YAUTEPEC",38.97,13.55,43.37,NA
17,17030,17030,"YECAPIXTLA",27.04,14.27,25.06,NA
17,17031,17031,"ZACATEPEC",47.74,5.41,49.16,NA
17,17032,17032,"ZACUALPAN DE AMILPAS",15.64,5.08,14.8,NA
17,17033,17033,"TEMOAC",22.61,6.91,22.07,NA
17,17034,17034,"COATETELCO",19.37,5.78,17.47,NA
17,17035,17035,"XOXOCOTLA",30.76,5.95,32.07,NA
