"edon","munn","mun","mean","sd","median","note"
18,1,"ACAPONETA",2.06,5.55,0,""
18,2,"AHUACATLAN",2.69,4.54,0,""
18,3,"AMATLAN DE CAÑAS",1.89,2.79,0,""
18,4,"BAHIA DE BANDERAS",5.85,9.31,1.23,""
18,5,"COMPOSTELA",2.17,4.36,0,""
18,6,"HUAJICORI",0.12,0.83,0,""
18,7,"IXTLAN DEL RIO",3.19,7.08,0,""
18,8,"JALA",2.23,4.68,0,""
18,9,"DEL NAYAR",0.14,1.32,0,""
18,10,"ROSAMORADA",2.07,3.88,0,""
18,11,"RUIZ",3.26,6.05,0.01,""
18,12,"SAN BLAS",3.24,3.99,3.26,""
18,13,"SAN PEDRO LAGUNILLAS",1.67,2.94,0,""
18,14,"SANTA MARIA DEL ORO",2.09,2.91,0,""
18,15,"SANTIAGO IXCUINTLA",3.75,5.58,1.67,""
18,16,"TECUALA",2.89,5.76,0,""
18,17,"TEPIC",7.01,12.54,4,""
18,18,"TUXPAN",8.46,9.16,5.21,""
18,19,"XALISCO",7.46,9.36,5.02,""
18,20,"LA YESCA",0.12,0.78,0,""
