"edon","ife","inegi","mun","mean","sd","median","note"
18,18001,18001,"ACAPONETA",6.94,3.55,6.77,NA
18,18002,18002,"AHUACATLAN",6.5,2.17,6,NA
18,18003,18003,"AMATLAN DE CAÑAS",5.51,2.12,6,NA
18,18004,18020,"BAHIA DE BANDERAS",13.84,13.92,7.14,NA
18,18005,18004,"COMPOSTELA",6.04,3.53,6.68,NA
18,18006,18005,"HUAJICORI",4.27,2.72,6,NA
18,18007,18006,"IXTLAN DEL RIO",7.8,7.01,6.69,NA
18,18008,18007,"JALA",6.02,3.92,6,NA
18,18009,18009,"DEL NAYAR",5.48,2.2,6,NA
18,18010,18010,"ROSAMORADA",5.51,2.92,6.09,NA
18,18011,18011,"RUIZ",7.07,3.73,7,NA
18,18012,18012,"SAN BLAS",6.35,2.72,7,NA
18,18013,18013,"SAN PEDRO LAGUNILLAS",6.4,1.58,6.74,NA
18,18014,18014,"SANTA MARIA DEL ORO",6.75,1.39,7,NA
18,18015,18015,"SANTIAGO IXCUINTLA",6.29,4.41,6.59,NA
18,18016,18016,"TECUALA",6.81,3.79,7,NA
18,18017,18017,"TEPIC",10.8,12.3,7,NA
18,18018,18018,"TUXPAN",9.61,5.75,7.24,NA
18,18019,18008,"XALISCO",11.08,10.64,7,NA
18,18020,18019,"LA YESCA",3.31,3.05,4.21,NA
