"edon","ife","inegi","mun","mean","sd","median","note"
19,19001,19001,"ABASOLO",11.07,5.58,10.01,NA
19,19002,19002,"AGUALEGUAS",0.62,2.68,0,NA
19,19003,19003,"LOS ALDAMAS",0.77,2.23,0,NA
19,19004,19004,"ALLENDE",11.48,10.42,8,NA
19,19005,19005,"ANAHUAC",0.52,3.68,0,NA
19,19006,19006,"APODACA",41.03,17.4,44.22,NA
19,19007,19007,"ARAMBERRI",0.27,1.2,0,NA
19,19008,19008,"BUSTAMANTE",0.85,2.76,0,NA
19,19009,19009,"CADEREYTA JIMENEZ",8.95,11.44,6.37,NA
19,19010,19010,"CARMEN",16.05,6.34,16,NA
19,19011,19011,"CERRALVO",1.57,5.06,0,NA
19,19012,19012,"CIENEGA DE FLORES",11.03,9.77,7.59,NA
19,19013,19013,"CHINA",0.38,2.73,0,NA
19,19014,19014,"DR. ARROYO",0.34,1.91,0,NA
19,19015,19015,"DR. COSS",0.67,1.85,0,NA
19,19016,19016,"DR. GONZALEZ",1.88,2.51,0,NA
19,19017,19017,"GALEANA",0.38,1.79,0,NA
19,19018,19018,"GARCIA",6.31,9.99,3.01,NA
19,19019,19019,"SAN PEDRO GARZA GARCIA",53.62,11.99,59.92,NA
19,19020,19020,"GRAL. BRAVO",0.54,2.55,0,NA
19,19021,19021,"GRAL. ESCOBEDO",38.03,20.69,41.87,NA
19,19022,19022,"GRAL. TERAN",0.65,2.36,0,NA
19,19023,19023,"GRAL. TREVIÑO",1.54,4.47,0,NA
19,19024,19024,"GRAL. ZARAGOZA",0.11,0.79,0,NA
19,19025,19025,"GRAL. ZUAZUA",11.02,8.34,8.24,NA
19,19026,19026,"GUADALUPE",58.66,6.1,61,NA
19,19027,19027,"LOS HERRERAS",1.03,2.73,0,NA
19,19028,19047,"HIDALGO",9.36,8.68,4.85,NA
19,19029,19028,"HIGUERAS",1.04,2.59,0,NA
19,19030,19029,"HUALAHUISES",4.7,4.63,4.09,NA
19,19031,19030,"ITURBIDE",0.26,1.14,0,NA
19,19032,19031,"JUAREZ",22.45,15.2,16.05,NA
19,19033,19032,"LAMPAZOS DE NARANJO",0.26,2.01,0,NA
19,19034,19033,"LINARES",1.46,5.95,0,NA
19,19035,19034,"MARIN",8.17,6.82,5,NA
19,19036,19035,"MELCHOR OCAMPO",2.06,3.83,0,NA
19,19037,19036,"MIER Y NORIEGA",0.34,1.14,0,NA
19,19038,19037,"MINA",0.21,1.36,0,NA
19,19039,19038,"MONTEMORELOS",2.42,6.13,0,NA
19,19040,19039,"MONTERREY",46.74,19.85,59.66,NA
19,19041,19040,"PARAS",0.25,1.33,0,NA
19,19042,19041,"PESQUERIA",10.56,7.78,7.34,NA
19,19043,19042,"LOS RAMONES",1.47,2.48,0,NA
19,19044,19043,"RAYONES",0.1,0.58,0,NA
19,19045,19044,"SABINAS HIDALGO",1.89,6.79,0,NA
19,19046,19045,"SALINAS VICTORIA",1.95,5.28,0,NA
19,19047,19046,"SAN NICOLAS DE LOS GARZA",61.99,0.07,62,NA
19,19048,19048,"SANTA CATARINA",8.44,15.26,3.19,NA
19,19049,19049,"SANTIAGO",5.69,9.05,0.96,NA
19,19050,19050,"VALLECILLO",0.33,1.23,0,NA
19,19051,19051,"VILLALDAMA",0.93,3.21,0,NA
