"edon","munn","mun","mean","sd","median","note"
20,1,"ABEJONES",0.66,1.42,0,""
20,2,"ACATLAN DE PEREZ FIGUEROA",5.47,3.53,5.27,""
20,3,"ANIMAS TRUJANO",30.32,1.54,30.87,""
20,4,"ASUNCION CACALOTEPEC",2.92,1.9,3.01,""
20,5,"ASUNCION CUYOTEPEJI",3.11,2.73,3.31,""
20,6,"ASUNCION IXTALTEPEC",3.81,5.9,2.68,""
20,7,"ASUNCION NOCHIXTLAN",3.08,7.42,0,""
20,8,"ASUNCION OCOTLAN",13.21,0.72,13.01,""
20,9,"ASUNCION TLACOLULITA",0.33,0.97,0,""
20,10,"AYOQUEZCO DE ALDAMA",2.5,3.31,0,""
20,11,"AYOTZINTEPEC",1.23,1.89,0,""
20,12,"EL BARRIO DE LA SOLEDAD",5.77,7.29,4.48,""
20,13,"CALIHUALA",0.37,0.9,0,""
20,14,"CANDELARIA LOXICHA",1.29,2.13,0,""
20,15,"CHAHUITES",11.45,8.71,10.22,""
20,16,"CHALCATONGO DE HIDALGO",3.85,4.72,2.55,""
20,17,"CIENEGA DE ZIMATLAN",16,4.57,14.72,""
20,18,"COATECAS ALTAS",1.53,2.13,0,""
20,19,"COICOYAN DE LAS FLORES",0.22,0.88,0,""
20,20,"LA COMPAÑIA",2.81,2.21,4,""
20,21,"CONCEPCION BUENAVISTA",0.23,0.95,0,""
20,22,"CONCEPCION PAPALO",0.84,1.62,0,""
20,23,"CONSTANCIA DEL ROSARIO",4.09,6.96,0,""
20,24,"COSOLAPA",6.92,3.05,6.51,""
20,25,"COSOLTEPEC",1,1.66,0,""
20,26,"CUILAPAM DE GUERRERO",17.04,9.21,15.51,""
20,27,"CUYAMECALCO VILLA DE ZARAGOZA",3.13,2.48,3.51,""
20,28,"HEROICA CIUDAD DE EJUTLA DE CRESPO",4.06,4.34,4.28,""
20,29,"ELOXOCHITLAN DE FLORES MAGON",6.36,2.89,5.22,""
20,30,"EL ESPINAL",19.64,14.47,15.28,""
20,31,"FRESNILLO DE TRUJANO",0.43,1.26,0,""
20,32,"GUADALUPE DE RAMIREZ",4.99,1.84,5,""
20,33,"GUADALUPE ETLA",33.25,4.05,34.72,""
20,34,"GUELATAO DE JUAREZ",8.99,1.39,8.87,""
20,35,"GUEVEA DE HUMBOLDT",1.27,2.1,0,""
20,36,"MESONES HIDALGO",1.19,1.82,0,""
20,37,"HEROICA CIUDAD DE HUAJUAPAN DE LEON",9.51,13.89,4.49,""
20,38,"HUAUTEPEC",4.75,2.3,4.55,""
20,39,"HUAUTLA DE JIMENEZ",6.77,4.66,5,""
20,40,"IXPANTEPEC NIEVES",0.86,1.58,0,""
20,41,"CIUDAD IXTEPEC",9.81,13.17,4.02,""
20,42,"IXTLAN DE JUAREZ",0.77,2.35,0,""
20,43,"HEROICA CIUDAD DE JUCHITAN DE ZARAGOZA",4,8.84,0,""
20,44,"LOMA BONITA",5.41,7.23,4,""
20,45,"MAGDALENA APASCO",17.1,7.58,16.47,""
20,46,"MAGDALENA JALTEPEC",0.98,1.8,0,""
20,47,"MAGDALENA MIXTEPEC",0.04,0.24,0,""
20,48,"MAGDALENA OCOTLAN",7.54,1.04,7.76,""
20,49,"MAGDALENA PEÑASCO",0.43,1.15,0,""
20,50,"MAGDALENA TEITIPAC",3.47,3.04,3.46,""
20,51,"MAGDALENA TEQUISISTLAN",0.6,2.09,0,""
20,52,"MAGDALENA TLACOTEPEC",3.91,3.97,4,""
20,53,"MAGDALENA YODOCONO DE PORFIRIO DIAZ",2.87,2.85,2.3,""
20,54,"MAGDALENA ZAHUATLAN",3.81,1.33,4.46,""
20,55,"MARISCALA DE JUAREZ",2.15,2.91,0,""
20,56,"MARTIRES DE TACUBAYA",1.69,1.88,0.9,""
20,57,"MATIAS ROMERO AVENDAÑO",1.2,3.34,0,""
20,58,"MAZATLAN VILLA DE FLORES",3.25,1.91,4,""
20,59,"MIAHUATLAN DE PORFIRIO DIAZ",4.16,7.05,3.83,""
20,60,"MIXISTLAN DE LA REFORMA",1.5,2.01,0,""
20,61,"MONJAS",7.98,5.15,7.2,""
20,62,"NATIVIDAD",6.79,1.04,6.79,""
20,63,"NAZARENO ETLA",31.05,3.37,31.71,""
20,64,"NEJAPA DE MADERO",0.74,1.8,0,""
20,65,"NUEVO ZOQUIAPAM",0.82,1.5,0,""
20,66,"OAXACA DE JUAREZ",52.81,15.42,61,""
20,67,"OCOTLAN DE MORELOS",8.04,6.73,5,""
20,68,"LA PE",4.82,0.5,5,""
20,69,"PINOTEPA DE DON LUIS",4.13,3.98,3.14,""
20,70,"PLUMA HIDALGO",1.7,2.09,0.48,""
20,71,"PUTLA VILLA DE GUERRERO",2.47,3.98,0.11,""
20,72,"REFORMA DE PINEDA",3.99,4.33,2.36,""
20,73,"LA REFORMA",0.42,1.24,0,""
20,74,"REYES ETLA",31.15,5.06,32.42,""
20,75,"ROJAS DE CUAUHTEMOC",9.66,3.56,8.46,""
20,76,"SALINA CRUZ",42.12,20.24,51.4,""
20,77,"SAN AGUSTIN AMATENGO",3.12,2.93,2.39,""
20,78,"SAN AGUSTIN ATENANGO",1.41,2.1,0,""
20,79,"SAN AGUSTIN CHAYUCO",1.63,2.22,0,""
20,80,"SAN AGUSTIN DE LAS JUNTAS",14.14,10.26,9.55,""
20,81,"SAN AGUSTIN ETLA",6.75,6.5,4.77,""
20,82,"SAN AGUSTIN LOXICHA",0.64,1.45,0,""
20,83,"SAN AGUSTIN TLACOTEPEC",2.04,2.37,0.81,""
20,84,"SAN AGUSTIN YATARENI",54.08,6.59,56.79,""
20,85,"SAN ANDRES CABECERA NUEVA",0.28,0.98,0,""
20,86,"SAN ANDRES DINICUITI",0.49,1.32,0,""
20,87,"SAN ANDRES HUAXPALTEPEC",5.39,4.18,4.6,""
20,88,"SAN ANDRES HUAYAPAM",20.87,17.78,11.46,""
20,89,"SAN ANDRES IXTLAHUACA",7.83,5.27,5.49,""
20,90,"SAN ANDRES LAGUNAS",0.09,0.47,0,""
20,91,"SAN ANDRES NUXIÑO",0,0,0,""
20,92,"SAN ANDRES PAXTLAN",1.66,1.86,0.79,""
20,93,"SAN ANDRES SINAXTLA",6.35,2.63,5.29,""
20,94,"SAN ANDRES SOLAGA",3.86,1.56,4.04,""
20,95,"SAN ANDRES TEOTILALPAM",0.29,0.85,0,""
20,96,"SAN ANDRES TEPETLAPA",3.15,1.36,3.93,""
20,97,"SAN ANDRES YAA",1.39,1.91,0,""
20,98,"SAN ANDRES ZABACHE",5.81,1.61,5.91,""
20,99,"SAN ANDRES ZAUTLA",6.95,6.95,5.95,""
20,100,"SAN ANTONINO CASTILLO VELASCO",19.22,12.71,16.73,""
20,101,"SAN ANTONINO EL ALTO",0.82,1.39,0,""
20,102,"SAN ANTONINO MONTE VERDE",0.88,2.08,0,""
20,103,"SAN ANTONIO ACUTLA",1.42,1.6,1.02,""
20,104,"SAN ANTONIO DE LA CAL",32.33,18.36,30.79,""
20,105,"SAN ANTONIO HUITEPEC",0.25,0.88,0,""
20,106,"SAN ANTONIO NANAHUATIPAM",1.1,1.96,0,""
20,107,"SAN ANTONIO SINICAHUA",1.58,2.16,0,""
20,108,"SAN ANTONIO TEPETLAPA",1,1.58,0,""
20,109,"SAN BALTAZAR CHICHICAPAM",1.99,2.74,0,""
20,110,"SAN BALTAZAR LOXICHA",1.08,1.94,0,""
20,111,"SAN BALTAZAR YATZACHI EL BAJO",4.36,1.19,4.31,""
20,112,"SAN BARTOLO COYOTEPEC",9.98,6.41,7.05,""
20,113,"SAN BARTOLO SOYALTEPEC",0.4,1.03,0,""
20,114,"SAN BARTOLO YAUTEPEC",0.55,1.23,0,""
20,115,"SAN BARTOLOME AYAUTLA",2.19,1.78,2.18,""
20,116,"SAN BARTOLOME LOXICHA",0.43,1.16,0,""
20,117,"SAN BARTOLOME QUIALANA",6.18,2.85,6.95,""
20,118,"SAN BARTOLOME YUCUAÑE",0.17,0.7,0,""
20,119,"SAN BARTOLOME ZOOGOCHO",6.98,0.57,7.12,""
20,120,"SAN BERNARDO MIXTEPEC",2.29,2.51,1.77,""
20,121,"SAN BLAS ATEMPA",7.33,4.95,5.55,""
20,122,"SAN CARLOS YAUTEPEC",0.13,0.76,0,""
20,123,"SAN CRISTOBAL AMATLAN",0.61,1.39,0,""
20,124,"SAN CRISTOBAL AMOLTEPEC",0,0,0,""
20,125,"SAN CRISTOBAL LACHIRIOAG",6.15,1.6,6.49,""
20,126,"SAN CRISTOBAL SUCHIXTLAHUACA",2.19,2.35,1.69,""
20,127,"SAN DIONISIO DEL MAR",0.84,1.92,0,""
20,128,"SAN DIONISIO OCOTEPEC",0.85,2.04,0,""
20,129,"SAN DIONISIO OCOTLAN",6.74,2.16,6.09,""
20,130,"SAN ESTEBAN ATATLAHUCA",1.08,1.76,0,""
20,131,"SAN FELIPE JALAPA DE DIAZ",3.9,2.5,4.18,""
20,132,"SAN FELIPE TEJALAPAM",6.07,4.69,5.71,""
20,133,"SAN FELIPE USILA",0.35,1.1,0,""
20,134,"SAN FRANCISCO CAHUACUA",0,0,0,""
20,135,"SAN FRANCISCO CAJONOS",4.44,2.48,5,""
20,136,"SAN FRANCISCO CHAPULAPA",0.06,0.31,0,""
20,137,"SAN FRANCISCO CHINDUA",4.28,1.71,4.83,""
20,138,"SAN FRANCISCO DEL MAR",0.55,1.91,0,""
20,139,"SAN FRANCISCO HUEHUETLAN",5.47,0.64,5.15,""
20,140,"SAN FRANCISCO IXHUATAN",2.77,4.23,0,""
20,141,"SAN FRANCISCO JALTEPETONGO",1.88,2.22,0.89,""
20,142,"SAN FRANCISCO LACHIGOLO",18.06,3.21,18.25,""
20,143,"SAN FRANCISCO LOGUECHE",1.81,1.58,1.73,""
20,144,"SAN FRANCISCO NUXAÑO",0.57,1.22,0,""
20,145,"SAN FRANCISCO OZOLOTEPEC",0,0,0,""
20,146,"SAN FRANCISCO SOLA",0.24,1,0,""
20,147,"SAN FRANCISCO TELIXTLAHUACA",2.48,6.3,0,""
20,148,"SAN FRANCISCO TEOPAN",0,0,0,""
20,149,"SAN FRANCISCO TLAPANCINGO",0.21,0.75,0,""
20,150,"SAN GABRIEL MIXTEPEC",0.93,2.02,0,""
20,151,"SAN ILDEFONSO AMATLAN",0.34,1.03,0,""
20,152,"SAN ILDEFONSO SOLA",1.2,2.52,0,""
20,153,"SAN ILDEFONSO VILLA ALTA",1.78,2.24,0,""
20,154,"SAN JACINTO AMILPAS",62,0,62,""
20,155,"SAN JACINTO TLACOTEPEC",0,0,0,""
20,156,"SAN JERONIMO COATLAN",0.05,0.32,0,""
20,157,"SAN JERONIMO SILACAYOAPILLA",3.04,3,1.95,""
20,158,"SAN JERONIMO SOSOLA",0.06,0.41,0,""
20,159,"SAN JERONIMO TAVICHE",0.89,1.8,0,""
20,160,"SAN JERONIMO TECOATL",6.1,1.17,6.63,""
20,161,"SAN JERONIMO TLACOCHAHUAYA",10.48,3.33,9.53,""
20,162,"SAN JORGE NUCHITA",2.48,3.19,0,""
20,163,"SAN JOSE AYUQUILA",3.49,2.38,4.4,""
20,164,"SAN JOSE CHILTEPEC",4.05,3.32,4,""
20,165,"SAN JOSE DEL PEÑASCO",2.09,2.13,1.95,""
20,166,"SAN JOSE ESTANCIA GRANDE",1.87,2.06,0.83,""
20,167,"SAN JOSE INDEPENDENCIA",0.72,1.32,0,""
20,168,"SAN JOSE LACHIGUIRI",1.49,1.88,0,""
20,169,"SAN JOSE DEL PROGRESO",2.81,3.01,1.97,""
20,170,"SAN JOSE TENANGO",0.63,1.43,0,""
20,171,"SAN JUAN ACHIUTLA",1.62,1.64,1.49,""
20,172,"SAN JUAN ATEPEC",1.48,2.04,0,""
20,173,"SAN JUAN BAUTISTA ATATLAHUCA",0.09,0.53,0,""
20,174,"SAN JUAN BAUTISTA COIXTLAHUACA",1.03,2.56,0,""
20,175,"SAN JUAN BAUTISTA CUICATLAN",0.86,2.4,0,""
20,176,"SAN JUAN BAUTISTA GUELACHE",6.99,8.46,4,""
20,177,"SAN JUAN BAUTISTA JAYACATLAN",0.67,1.46,0,""
20,178,"SAN JUAN BAUTISTA LO DE SOTO",3.92,2.71,4.57,""
20,179,"SAN JUAN BAUTISTA SUCHITEPEC",0.63,1.39,0,""
20,180,"SAN JUAN BAUTISTA TLACHICHILCO",0.97,1.6,0,""
20,181,"SAN JUAN BAUTISTA TLACOATZINTEPEC",0.61,1.18,0,""
20,182,"SAN JUAN BAUTISTA TUXTEPEC",9.66,9.87,7.11,""
20,183,"SAN JUAN BAUTISTA VALLE NACIONAL",2.21,2.66,0.83,""
20,184,"SAN JUAN CACAHUATEPEC",2.74,3.24,1.55,""
20,185,"SAN JUAN CHICOMEZUCHIL",2.73,2.61,1.88,""
20,186,"SAN JUAN CHILATECA",12.69,5.58,12.95,""
20,187,"CHIQUIHUITLAN DE BENITO JUAREZ",2.37,1.77,2.58,""
20,188,"SAN JUAN CIENEGUILLA",0.78,1.62,0,""
20,189,"SAN JUAN COATZOSPAM",1.09,1.71,0,""
20,190,"SAN JUAN COLORADO",3.64,3.2,4.37,""
20,191,"SAN JUAN COMALTEPEC",0,0,0,""
20,192,"SAN JUAN COTZOCON",0.63,1.43,0,""
20,193,"SAN JUAN DE LOS CUES",1.16,1.78,0,""
20,194,"SAN JUAN DEL ESTADO",1.18,2.47,0,""
20,195,"SAN JUAN DEL RIO",1.89,2.22,0.58,""
20,196,"SAN JUAN DIUXI",0.65,1.47,0,""
20,197,"SAN JUAN EVANGELISTA ANALCO",2.9,1.79,3.56,""
20,198,"SAN JUAN GUELAVIA",8.54,1.55,8.12,""
20,199,"SAN JUAN GUICHICOVI",2.06,2.92,0,""
20,200,"SAN JUAN IHUALTEPEC",0.56,1.09,0,""
20,201,"SAN JUAN JUQUILA MIXES",0.72,1.88,0,""
20,202,"SAN JUAN JUQUILA VIJANOS",1.86,2.02,0.67,""
20,203,"SAN JUAN LACHAO",0.6,1.4,0,""
20,204,"SAN JUAN LACHIGALLA",0.22,0.63,0,""
20,205,"SAN JUAN LAJARCIA",0.15,0.57,0,""
20,206,"SAN JUAN LALANA",0.12,0.6,0,""
20,207,"SAN JUAN MAZATLAN",0.17,0.72,0,""
20,208,"SAN JUAN MIXTEPEC",1.96,2.82,0,""
20,209,"SAN JUAN MIXTEPEC",0.76,1.6,0,""
20,210,"SAN JUAN ÑUMI",0.41,1.05,0,""
20,211,"SAN JUAN OZOLOTEPEC",0,0.05,0,""
20,212,"SAN JUAN PETLAPA",0,0,0,""
20,213,"SAN JUAN QUIAHIJE",0.27,1.18,0,""
20,214,"SAN JUAN QUIOTEPEC",0.55,1.36,0,""
20,215,"SAN JUAN SAYULTEPEC",6.54,1.1,6.83,""
20,216,"SAN JUAN TABAA",4.17,1.21,4.51,""
20,217,"SAN JUAN TAMAZOLA",0,0,0,""
