"edon","ife","inegi","mun","mean","sd","median","note"
20,20001,20001,"ABEJONES",2.49,3.13,0,NA
20,20002,20002,"ACATLAN DE PEREZ FIGUEROA",6.39,1.78,6.12,NA
20,20003,20174,"ANIMAS TRUJANO",40.98,2.64,40.04,NA
20,20004,20003,"ASUNCION CACALOTEPEC",6.42,0.44,6.24,NA
20,20005,20004,"ASUNCION CUYOTEPEJI",5.94,1.58,6.5,NA
20,20006,20005,"ASUNCION IXTALTEPEC",5.9,2.82,6,NA
20,20007,20006,"ASUNCION NOCHIXTLAN",5.52,3.79,6,NA
20,20008,20007,"ASUNCION OCOTLAN",8.4,0.82,8.31,NA
20,20009,20008,"ASUNCION TLACOLULITA",2.39,2.71,0,NA
20,20010,20398,"AYOQUEZCO DE ALDAMA",4.09,3.11,6,NA
20,20011,20009,"AYOTZINTEPEC",5.79,1.36,6,NA
20,20012,20010,"EL BARRIO DE LA SOLEDAD",8.48,7.6,6.92,NA
20,20013,20011,"CALIHUALA",4.36,2.52,6,NA
20,20014,20012,"CANDELARIA LOXICHA",4.23,2.64,6,NA
20,20015,20025,"CHAHUITES",10.68,3.88,9.85,NA
20,20016,20026,"CHALCATONGO DE HIDALGO",6.65,1.69,6.99,NA
20,20017,20013,"CIENEGA DE ZIMATLAN",15.8,1.82,15.24,NA
20,20018,20015,"COATECAS ALTAS",4.41,2.85,6,NA
20,20019,20016,"COICOYAN DE LAS FLORES",5.09,2.26,6,NA
20,20020,20017,"LA COMPAÑIA",5.25,2.26,6,NA
20,20021,20018,"CONCEPCION BUENAVISTA",1.57,2.56,0,NA
20,20022,20019,"CONCEPCION PAPALO",3.95,2.69,6,NA
20,20023,20020,"CONSTANCIA DEL ROSARIO",3.75,3.28,4.1,NA
20,20024,20021,"COSOLAPA",7.99,2.77,7,NA
20,20025,20022,"COSOLTEPEC",5.26,1.91,6,NA
20,20026,20023,"CUILAPAM DE GUERRERO",19.84,12.65,15.13,NA
20,20027,20024,"CUYAMECALCO VILLA DE ZARAGOZA",5.65,1.71,6,NA
20,20028,20028,"HEROICA CIUDAD DE EJUTLA DE CRESPO",5.69,3.14,6.7,NA
20,20029,20029,"ELOXOCHITLAN DE FLORES MAGON",6.77,0.54,7,NA
20,20030,20030,"EL ESPINAL",16.03,10.09,13.34,NA
20,20031,20032,"FRESNILLO DE TRUJANO",5.82,0.79,6,NA
20,20032,20034,"GUADALUPE DE RAMIREZ",6.75,0.39,7,NA
20,20033,20033,"GUADALUPE ETLA",30.9,1.38,30.82,NA
20,20034,20035,"GUELATAO DE JUAREZ",7.59,0.41,7.46,NA
20,20035,20036,"GUEVEA DE HUMBOLDT",3.35,2.82,4.26,NA
20,20036,20037,"MESONES HIDALGO",5.24,1.98,6,NA
20,20037,20039,"HEROICA CIUDAD DE HUAJUAPAN DE LEON",13.03,13.65,7,NA
20,20038,20040,"HUAUTEPEC",7.14,0.46,7,NA
20,20039,20041,"HUAUTLA DE JIMENEZ",7.96,2.74,7,NA
20,20040,20065,"IXPANTEPEC NIEVES",6.17,0.33,6,NA
20,20041,20014,"CIUDAD IXTEPEC",10.23,10.21,7.14,NA
20,20042,20042,"IXTLAN DE JUAREZ",2.1,2.84,0,NA
