"edon","ife","inegi","mun","mean","sd","median","note"
21,21001,21001,"ACAJETE",22.91,12.39,24.72,NA
21,21002,21002,"ACATENO",2.08,2.25,1.29,NA
21,21003,21003,"ACATLAN",3.73,6.51,0,NA
21,21004,21004,"ACATZINGO",17.12,14.18,11.57,NA
21,21005,21005,"ACTEOPAN",5.08,3.81,4.66,NA
21,21006,21006,"AHUACATLAN",4.5,1.79,5,NA
21,21007,21007,"AHUATLAN",1.16,1.79,0,NA
21,21008,21008,"AHUAZOTEPEC",10.4,2.75,9.99,NA
21,21009,21009,"AHUEHUETITLA",3.86,3.92,2.85,NA
21,21010,21010,"AJALPAN",5.99,8.77,4.31,NA
21,21011,21011,"ALBINO ZERTUCHE",1.9,2.57,0,NA
21,21012,21012,"ALJOJUCA",8.73,4.71,8,NA
21,21013,21013,"ALTEPEXI",20.74,11.68,19.64,NA
21,21014,21014,"AMIXTLAN",1.73,1.82,1.22,NA
21,21015,21015,"AMOZOC",28.82,16.38,26.65,NA
21,21016,21016,"AQUIXTLA",4.83,2.64,5,NA
21,21017,21017,"ATEMPAN",16.1,8.71,15.16,NA
21,21018,21018,"ATEXCAL",1.85,2.78,0,NA
21,21019,21019,"ATLIXCO",23.44,16.91,15.85,NA
21,21020,21020,"ATOYATEMPAN",19.53,6.18,20.99,NA
21,21021,21021,"ATZALA",9.49,1.68,9.1,NA
21,21022,21022,"ATZITZIHUACAN",8.71,3.01,8.47,NA
21,21023,21023,"ATZITZINTLA",3.51,3.27,2.87,NA
21,21024,21024,"AXUTLA",0.74,1.55,0,NA
21,21025,21025,"AYOTOXCO DE GUERRERO",3.45,2.09,3.71,NA
21,21026,21026,"CALPAN",15.08,7.78,14.3,NA
21,21027,21027,"CALTEPEC",0.15,0.64,0,NA
21,21028,21028,"CAMOCUAUTLA",0,0,0,NA
21,21029,21099,"CAÑADA MORELOS",5.7,3.94,6.15,NA
21,21030,21029,"CAXHUACAN",5.68,0.74,5.6,NA
21,21031,21030,"COATEPEC",0.33,0.93,0,NA
21,21032,21031,"COATZINGO",1.98,3.09,0,NA
21,21033,21032,"COHETZALA",0.92,1.89,0,NA
