"edon","munn","mun","mean","sd","median","note"
21,1,"ACAJETE",25.29,10.94,28.46,""
21,2,"ACATENO",7.12,0.29,7,""
21,3,"ACATLAN",8.69,6.33,7,""
21,4,"ACATZINGO",19.55,13.51,13.11,""
21,5,"ACTEOPAN",9.5,2.47,8.25,""
21,6,"AHUACATLAN",9.21,1.17,9,""
21,7,"AHUATLAN",6.85,0.32,7,""
21,8,"AHUAZOTEPEC",14.81,3.77,14.99,""
21,9,"AHUEHUETITLA",7.25,0.8,7,""
21,10,"AJALPAN",10.81,7.28,8,""
21,11,"ALBINO ZERTUCHE",6.58,1.15,7,""
21,12,"ALJOJUCA",12.06,3.95,10.82,""
21,13,"ALTEPEXI",19.73,7.54,18.4,""
21,14,"AMIXTLAN",8.34,0.54,8,""
21,15,"AMOZOC",37.73,17.04,41.32,""
21,16,"AQUIXTLA",7.82,0.98,7.62,""
21,17,"ATEMPAN",17.34,6.51,16.55,""
21,18,"ATEXCAL",6.39,1.82,7,""
21,19,"ATLIXCO",25.58,17.36,16.24,""
21,20,"ATOYATEMPAN",18.6,6,20.26,""
21,21,"ATZALA",10.41,0.71,10.19,""
21,22,"ATZITZIHUACAN",9.32,1.12,9,""
21,23,"ATZITZINTLA",8.05,2.39,7,""
21,24,"AXUTLA",5.83,1.77,6,""
21,25,"AYOTOXCO DE GUERRERO",7.58,0.45,7.63,""
21,26,"CALPAN",16.84,6.63,15.39,""
21,27,"CALTEPEC",4.15,3.05,6,""
21,28,"CAMOCUAUTLA",8.03,0.1,8,""
21,29,"CAÑADA MORELOS",8.45,1.61,8,""
21,30,"CAXHUACAN",8.5,0.45,8.4,""
21,31,"COATEPEC",7.72,0.37,8,""
21,32,"COATZINGO",6.57,0.87,6.64,""
21,33,"COHETZALA",5.5,1.92,6,""
21,34,"COHUECAN",11.36,3.61,9.73,""
21,35,"CORONANGO",54.84,5.14,55.21,""
21,36,"COXCATLAN",8.29,2.63,7.15,""
21,37,"COYOMEAPAN",6.48,1.7,7,""
21,38,"COYOTEPEC",7.88,2.2,7.67,""
21,39,"CUAPIAXTLA DE MADERO",34.81,2.3,34.74,""
21,40,"CUAUTEMPAN",8.82,0.98,8.77,""
21,41,"CUAUTINCHAN",19.07,6.84,17.88,""
21,42,"CUAUTLANCINGO",61.79,1.14,62,""
21,43,"CUAYUCA DE ANDRADE",6.57,0.45,6.87,""
21,44,"CUETZALAN DEL PROGRESO",9.52,2.23,9,""
21,45,"CUYOACO",7.63,1.04,7,""
21,46,"CHALCHICOMULA DE SESMA",9.84,5.53,8,""
21,47,"CHAPULCO",9.71,3.45,7.67,""
21,48,"CHIAUTLA",5.46,2.98,6,""
21,49,"CHIAUTZINGO",16.97,8.66,16.52,""
21,50,"CHICONCUAUTLA",9.34,1.38,9.42,""
21,51,"CHICHIQUILA",9.31,1.06,9.38,""
21,52,"CHIETLA",11.13,5.7,8.72,""
21,53,"CHIGMECATITLAN",9.12,1.6,9.12,""
21,54,"CHIGNAHUAPAN",8.76,4.57,7,""
