"edon","ife","inegi","mun","mean","sd","median","note"
22,22001,22001,"AMEALCO DE BONFIL",5.32,4.34,4.37,NA
22,22002,22003,"ARROYO SECO",0.92,1.85,0,NA
22,22003,22004,"CADEREYTA DE MONTES",4.25,5.76,4,NA
22,22004,22005,"COLON",5.72,4.86,4.65,NA
22,22005,22006,"CORREGIDORA",22.18,18.22,11.77,NA
22,22006,22007,"EZEQUIEL MONTES",11.12,8.2,8.24,NA
22,22007,22008,"HUIMILPAN",7.24,3.43,6.96,NA
22,22008,22009,"JALPAN DE SERRA",0.96,3.01,0,NA
22,22009,22010,"LANDA DE MATAMOROS",1.28,1.97,0,NA
22,22010,22011,"EL MARQUES",13.01,11.12,10.64,NA
22,22011,22012,"PEDRO ESCOBEDO",13.17,9.06,11.65,NA
22,22012,22013,"PEÑAMILLER",1.01,1.78,0,NA
22,22013,22002,"PINAL DE AMOLES",1.08,1.82,0,NA
22,22014,22014,"QUERETARO",26.96,21.19,17.18,NA
22,22015,22015,"SAN JOAQUIN",2.92,4.22,0.18,NA
22,22016,22016,"SAN JUAN DEL RIO",15.15,14.57,8.62,NA
22,22017,22017,"TEQUISQUIAPAN",13.59,10.19,10.09,NA
22,22018,22018,"TOLIMAN",2.18,3.25,0,NA
