"edon","ife","inegi","mun","mean","sd","median","note"
23,23001,23005,"BENITO JUAREZ",22.26,23.03,7.94,NA
23,23002,23001,"COZUMEL",9.12,13.68,6,NA
23,23003,23002,"FELIPE CARRILLO PUERTO",1.81,3.09,0,NA
23,23004,23003,"ISLA MUJERES",2.8,8.01,0,NA
23,23005,23006,"JOSE MARIA MORELOS",1.88,2.84,0,NA
23,23006,23007,"LAZARO CARDENAS",2.22,3,0,NA
23,23007,23004,"OTHON P. BLANCO",2.34,5.38,0,NA
23,23008,23008,"SOLIDARIDAD",6.02,13.05,0,NA
23,23009,23009,"TULUM",2.99,5.37,0,NA
23,23010,23010,"BACALAR",2.96,3.26,1.05,NA
23,23011,23011,"PUERTO MORELOS",4.4,7.15,1.4,NA
