"edon","ife","inegi","mun","mean","sd","median","note"
24,24001,24001,"AHUALULCO",3.18,4.66,0.82,NA
24,24002,24002,"ALAQUINES",1.4,1.93,0,NA
24,24003,24003,"AQUISMON",2.63,2.28,3.36,NA
24,24004,24004,"ARMADILLO DE LOS INFANTE",2.34,2.16,2.87,NA
24,24005,24005,"CARDENAS",4.28,7.18,2.7,NA
24,24006,24006,"CATORCE",0.71,1.78,0,NA
24,24007,24007,"CEDRAL",2.31,4.68,0,NA
24,24008,24008,"CERRITOS",2.14,4.42,0,NA
24,24009,24009,"CERRO DE SAN PEDRO",7.3,5.7,5,NA
24,24010,24010,"CIUDAD DEL MAIZ",0.89,2.44,0,NA
24,24011,24011,"CIUDAD FERNANDEZ",5.23,9.19,3.47,NA
24,24012,24012,"TANCANHUITZ",6.51,2.39,6.13,NA
24,24013,24013,"CIUDAD VALLES",4.07,7.35,3.35,NA
24,24014,24014,"COXCATLAN",7,2.19,7,NA
24,24015,24015,"CHARCAS",0.96,4.24,0,NA
24,24016,24016,"EBANO",3.36,6.56,0.4,NA
24,24017,24017,"GUADALCAZAR",0.69,1.66,0,NA
24,24018,24018,"HUEHUETLAN",7.63,1.2,7.36,NA
24,24019,24019,"LAGUNILLAS",1.21,1.87,0,NA
24,24020,24020,"MATEHUALA",5.13,9.12,4,NA
24,24021,24021,"MEXQUITIC DE CARMONA",7.81,7.27,5.24,NA
24,24022,24022,"MOCTEZUMA",2.37,2.99,1.06,NA
24,24023,24023,"RAYON",2.2,3.01,0.9,NA
24,24024,24024,"RIOVERDE",1.56,4.64,0,NA
24,24025,24025,"SALINAS",1.89,4.55,0,NA
24,24026,24026,"SAN ANTONIO",3.84,1.37,4,NA
24,24027,24027,"SAN CIRO DE ACOSTA",1,2.49,0,NA
24,24028,24028,"SAN LUIS POTOSI",14.02,18.14,5.56,NA
24,24029,24029,"SAN MARTIN CHALCHICUAUTLA",3.15,2.47,4,NA
24,24030,24030,"SAN NICOLAS TOLENTINO",1.51,2.05,0,NA
24,24031,24034,"SAN VICENTE TANCUAYALAB",2.25,3.9,0,NA
24,24032,24031,"SANTA CATARINA",0.34,0.99,0,NA
24,24033,24032,"SANTA MARIA DEL RIO",1.79,4.41,0,NA
24,24034,24033,"SANTO DOMINGO",0.47,1.37,0,NA
24,24035,24035,"SOLEDAD DE GRACIANO SANCHEZ",18.2,19.59,7.96,NA
24,24036,24036,"TAMASOPO",1.76,2.59,0,NA
24,24037,24037,"TAMAZUNCHALE",7.95,4.79,7,NA
24,24038,24038,"TAMPACAN",4.34,2.32,4.35,NA
24,24039,24039,"TAMPAMOLON CORONA",2.78,2.35,4,NA
24,24040,24040,"TAMUIN",1.6,3.64,0,NA
24,24041,24041,"TANLAJAS",2.64,1.99,4,NA
24,24042,24042,"TANQUIAN DE ESCOBEDO",4.76,4.39,4,NA
24,24043,24043,"TIERRA NUEVA",1.2,3.51,0,NA
24,24044,24044,"VANEGAS",0.29,1.7,0,NA
24,24045,24045,"VENADO",1.08,3,0,NA
24,24046,24056,"VILLA DE ARISTA",2.18,3.73,0,NA
24,24047,24046,"VILLA DE ARRIAGA",2.17,2.79,0.94,NA
24,24048,24047,"VILLA DE GUADALUPE",0.88,1.87,0,NA
24,24049,24048,"VILLA DE LA PAZ",7.28,9.03,4.35,NA
24,24050,24049,"VILLA DE RAMOS",1.53,3.01,0,NA
24,24051,24050,"VILLA DE REYES",4.82,5.59,4.04,NA
24,24052,24051,"VILLA HIDALGO",1.85,2.75,0,NA
24,24053,24052,"VILLA JUAREZ",2.55,3.5,1.14,NA
24,24054,24053,"AXTLA DE TERRAZAS",6.7,2.73,5.91,NA
24,24055,24054,"XILITLA",4.34,3.8,4.27,NA
24,24056,24055,"ZARAGOZA",3.79,3.36,4,NA
24,24057,24058,"EL NARANJO",2.04,3.44,0,NA
24,24058,24057,"MATLAPA",8.19,3.16,8,NA
