"edon","munn","mun","mean","sd","median","note"
24,1,"AHUALULCO",7.52,2.56,7,""
24,2,"ALAQUINES",5.91,1.8,6.41,""
24,3,"AQUISMON",7.05,0.81,7,""
24,4,"ARMADILLO DE LOS INFANTE",7.03,0.81,7,""
24,5,"CARDENAS",6.06,4.2,6.77,""
24,6,"CATORCE",4.65,2.81,6,""
24,7,"CEDRAL",6.58,4.63,6.46,""
24,8,"CERRITOS",7.04,4.24,7,""
24,9,"CERRO DE SAN PEDRO",13.97,10.51,8.98,""
24,10,"CIUDAD DEL MAIZ",4.57,2.75,6,""
24,11,"CIUDAD FERNANDEZ",8.66,7.5,7,""
24,12,"TANCANHUITZ",8.51,1.16,8.24,""
24,13,"CIUDAD VALLES",8.15,7.34,7,""
24,14,"COXCATLAN",8.74,0.9,8.7,""
24,15,"CHARCAS",4.72,3.69,6,""
24,16,"EBANO",7.38,4.74,7,""
24,17,"GUADALCAZAR",5.14,2.53,6,""
24,18,"HUEHUETLAN",8.91,0.91,8.73,""
24,19,"LAGUNILLAS",6.55,0.71,7,""
24,20,"MATEHUALA",10.19,10.93,7,""
24,21,"MEXQUITIC DE CARMONA",9.72,5.91,8,""
24,22,"MOCTEZUMA",6.29,1.68,6.93,""
24,23,"RAYON",6.74,1.34,7,""
24,24,"RIOVERDE",5.85,6.14,6,""
24,25,"SALINAS",5.64,4.84,6.58,""
24,26,"SAN ANTONIO",7.79,0.67,8,""
24,27,"SAN CIRO DE ACOSTA",3.84,3.24,6,""
24,28,"SAN LUIS POTOSI",20.68,20.63,8.04,""
24,29,"SAN MARTIN CHALCHICUAUTLA",7.58,1.11,7,""
24,30,"SAN NICOLAS TOLENTINO",5.52,2.24,6.17,""
24,31,"SAN VICENTE TANCUAYALAB",7.27,1.56,7,""
24,32,"SANTA CATARINA",6.22,1.15,6.13,""
24,33,"SANTA MARIA DEL RIO",5.6,3.66,6.45,""
24,34,"SANTO DOMINGO",2.95,2.98,2.14,""
24,35,"SOLEDAD DE GRACIANO SANCHEZ",23.59,20.63,10.52,""
24,36,"TAMASOPO",5.82,2.19,6.47,""
24,37,"TAMAZUNCHALE",12.23,5.38,10.31,""
24,38,"TAMPACAN",7.86,2.02,7,""
24,39,"TAMPAMOLON CORONA",7.44,0.73,7,""
24,40,"TAMUIN",6.11,3.51,6.75,""
24,41,"TANLAJAS",7.14,0.51,7,""
24,42,"TANQUIAN DE ESCOBEDO",9.03,2.99,7.66,""
24,43,"TIERRA NUEVA",4.9,3.49,6,""
24,44,"VANEGAS",3.22,3.03,3.28,""
24,45,"VENADO",5.21,3.27,6,""
24,46,"VILLA DE ARISTA",6.58,3,7,""
24,47,"VILLA DE ARRIAGA",6.87,1.64,7,""
24,48,"VILLA DE GUADALUPE",4.88,2.68,6,""
24,49,"VILLA DE LA PAZ",9.33,5.24,7,""
24,50,"VILLA DE RAMOS",5.52,3.37,6.58,""
24,51,"VILLA DE REYES",10.68,9.15,7.57,""
24,52,"VILLA HIDALGO",5.47,3.24,6.29,""
24,53,"VILLA JUAREZ",6.5,1.72,7,""
24,54,"AXTLA DE TERRAZAS",9.31,1.63,9,""
24,55,"XILITLA",8.76,3.18,8,""
24,56,"ZARAGOZA",9.01,4.54,8,""
24,57,"EL NARANJO",6.59,2.14,6.44,""
24,58,"MATLAPA",12.27,3.72,11.51,""
