"edon","ife","inegi","mun","mean","sd","median","note"
25,25001,25001,"AHOME",6.64,10.68,4,NA
25,25002,25002,"ANGOSTURA",2.27,3.92,0,NA
25,25003,25003,"BADIRAGUATO",0.29,1.37,0,NA
25,25004,25004,"CONCORDIA",1.42,3.29,0,NA
25,25005,25005,"COSALA",0.67,2.68,0,NA
25,25006,25006,"CULIACAN",6.25,11.08,4,NA
25,25007,25007,"CHOIX",0.61,2.6,0,NA
25,25008,25008,"ELOTA",2.5,4.94,0,NA
25,25009,25009,"ESCUINAPA",2.45,6.23,0,NA
25,25010,25010,"EL FUERTE",2.23,4.71,0,NA
25,25011,25011,"GUASAVE",6.35,8.54,4.45,NA
25,25012,25012,"MAZATLAN",6.24,11.89,4,NA
25,25013,25013,"MOCORITO",2.03,3.37,0,NA
25,25014,25014,"ROSARIO",1.56,3.99,0,NA
25,25015,25015,"SALVADOR ALVARADO",5.93,10.86,4,NA
25,25016,25016,"SAN IGNACIO",0.47,1.71,0,NA
25,25017,25017,"SINALOA",0.94,2.32,0,NA
25,25018,25018,"NAVOLATO",6.79,8.55,4.84,NA
