"edon","munn","mun","mean","sd","median","note"
25,1,"AHOME",6.42,11.31,2.47,""
25,2,"ANGOSTURA",2.18,4.21,0,""
25,3,"BADIRAGUATO",0.42,1.76,0,""
25,4,"CONCORDIA",1.97,3.87,0,""
25,5,"COSALA",0.73,2.78,0,""
25,6,"CULIACAN",6.87,12.16,4.12,""
25,7,"CHOIX",0.66,2.82,0,""
25,8,"ELOTA",2.47,5.05,0,""
25,9,"ESCUINAPA",2.8,6.39,0,""
25,10,"EL FUERTE",1.86,4.38,0,""
25,11,"GUASAVE",6.72,8.92,5.05,""
25,12,"MAZATLAN",7.01,13.3,2.71,""
25,13,"MOCORITO",1.99,3.94,0,""
25,14,"ROSARIO",1.62,4.15,0,""
25,15,"SALVADOR ALVARADO",6.21,11.28,4,""
25,16,"SAN IGNACIO",0.39,1.7,0,""
25,17,"SINALOA",1.04,2.76,0,""
25,18,"NAVOLATO",6.2,8.02,4.97,""
