"edon","ife","inegi","mun","mean","sd","median","note"
26,26001,26001,"ACONCHI",0.43,1.29,0,NA
26,26002,26002,"AGUA PRIETA",0.5,3.72,0,NA
26,26003,26004,"ALTAR",0.15,1.56,0,NA
26,26004,26005,"ARIVECHI",0.09,0.55,0,NA
26,26005,26006,"ARIZPE",0.05,0.54,0,NA
26,26006,26007,"ATIL",0.51,2.19,0,NA
26,26007,26008,"BACADEHUACHI",0.03,0.28,0,NA
26,26008,26009,"BACANORA",0.14,0.78,0,NA
26,26009,26010,"BACERAC",0.06,0.52,0,NA
26,26010,26011,"BACOACHI",0.08,0.55,0,NA
26,26011,26013,"BANAMICHI",0.18,0.91,0,NA
26,26012,26014,"BAVIACORA",0.24,1.17,0,NA
26,26013,26015,"BAVISPE",0.05,0.46,0,NA
26,26014,26016,"BENJAMIN HILL",0.48,2.69,0,NA
26,26015,26019,"CANANEA",1.11,5.59,0,NA
26,26016,26022,"CUCURPE",0,0,0,NA
26,26017,26023,"CUMPAS",0.14,0.96,0,NA
26,26018,26024,"DIVISADEROS",0.12,0.61,0,NA
26,26019,26027,"FRONTERAS",0.18,1.34,0,NA
26,26020,26028,"GRANADOS",0.03,0.31,0,NA
26,26021,26031,"HUACHINERA",0.02,0.28,0,NA
26,26022,26032,"HUASABAS",0.12,0.69,0,NA
26,26023,26034,"HUEPAC",0.31,1.07,0,NA
26,26024,26035,"IMURIS",0.39,2.14,0,NA
26,26025,26036,"MAGDALENA",1.16,4.61,0,NA
26,26026,26038,"MOCTEZUMA",0.16,1.3,0,NA
26,26027,26039,"NACO",0.27,2.17,0,NA
26,26028,26040,"NACORI CHICO",0.02,0.26,0,NA
26,26029,26041,"NACOZARI DE GARCIA",1.15,4.44,0,NA
26,26030,26043,"NOGALES",3.11,10.03,0,NA
26,26031,26046,"OQUITOA",0.22,1.09,0,NA
26,26032,26052,"SAHUARIPA",0.08,0.71,0,NA
26,26033,26053,"SAN FELIPE DE JESUS",0.5,1.3,0,NA
26,26034,26054,"SAN JAVIER",0.06,0.43,0,NA
26,26035,26057,"SAN PEDRO DE LA CUEVA",0.03,0.37,0,NA
26,26036,26058,"SANTA ANA",0.78,4.09,0,NA
26,26037,26059,"SANTA CRUZ",0.1,0.69,0,NA
26,26038,26060,"SARIC",0.07,0.53,0,NA
26,26039,26061,"SOYOPA",0.04,0.37,0,NA
26,26040,26062,"SUAQUI GRANDE",0.05,0.4,0,NA
26,26041,26063,"TEPACHE",0.12,0.8,0,NA
26,26042,26064,"TRINCHERAS",0.07,0.84,0,NA
26,26043,26065,"TUBUTAMA",0.07,0.47,0,NA
26,26044,26067,"VILLA HIDALGO",0.08,0.6,0,NA
26,26045,26068,"VILLA PESQUEIRA",0.06,0.47,0,NA
26,26046,26017,"CABORCA",0.34,2.95,0,NA
26,26047,26020,"CARBO",0.09,0.89,0,NA
26,26048,26021,"LA COLORADA",0.07,0.63,0,NA
26,26049,26030,"HERMOSILLO",1.44,6.38,0,NA
26,26050,26037,"MAZATAN",0.24,1.25,0,NA
26,26051,26045,"OPODEPE",0.06,0.51,0,NA
26,26052,26047,"PITIQUITO",0.12,1.59,0,NA
26,26053,26048,"PUERTO PEÑASCO",0.28,3.05,0,NA
26,26054,26050,"RAYON",0.15,0.85,0,NA
26,26055,26055,"SAN LUIS RIO COLORADO",0.8,4.8,0,NA
26,26056,26056,"SAN MIGUEL DE HORCASITAS",0.41,1.3,0,NA
26,26057,26066,"URES",0.18,1.13,0,NA
26,26058,26012,"BACUM",1.7,3.21,0,NA
26,26059,26018,"CAJEME",3.46,9.3,0,NA
26,26060,26025,"EMPALME",4.33,8.79,2.12,NA
26,26061,26029,"GUAYMAS",0.82,4.82,0,NA
26,26062,26003,"ALAMOS",0.14,1.28,0,NA
26,26063,26026,"ETCHOJOA",3.18,4,3.11,NA
26,26064,26033,"HUATABAMPO",2.05,5.15,0,NA
26,26065,26042,"NAVOJOA",3.39,8.25,0.06,NA
26,26066,26044,"ONAVAS",0.02,0.21,0,NA
26,26067,26049,"QUIRIEGO",0.06,0.45,0,NA
26,26068,26051,"ROSARIO",0.06,0.56,0,NA
26,26069,26069,"YECORA",0.06,0.56,0,NA
26,26070,26070,"GENERAL PLUTARCO ELIAS CALLES",0.18,2.05,0,NA
26,26071,26071,"BENITO JUAREZ",3.54,5.92,1.51,NA
26,26072,26072,"SAN IGNACIO RIO MUERTO",0.52,1.71,0,NA
