"edon","munn","mun","mean","sd","median","note"
26,1,"ACONCHI",2.83,3.33,0,""
26,2,"AGUA PRIETA",3.49,7.98,0,""
26,3,"ALTAR",2.06,4.2,0,""
26,4,"ARIVECHI",1.36,2.6,0,""
26,5,"ARIZPE",1.67,2.71,0,""
26,6,"ATIL",2.16,2.99,0,""
26,7,"BACADEHUACHI",1.27,2.45,0,""
26,8,"BACANORA",0.89,2.1,0,""
26,9,"BACERAC",1.15,2.37,0,""
26,10,"BACOACHI",2.48,3.08,0,""
26,11,"BANAMICHI",2.23,3.66,0,""
26,12,"BAVIACORA",2.53,3.23,0,""
26,13,"BAVISPE",0.98,2.25,0,""
26,14,"BENJAMIN HILL",2.35,4.27,0,""
26,15,"CANANEA",6.88,10.13,6,""
26,16,"CUCURPE",2.94,3.85,0,""
26,17,"CUMPAS",2.07,3.43,0,""
26,18,"DIVISADEROS",2.08,2.99,0,""
26,19,"FRONTERAS",2.13,3.8,0,""
26,20,"GRANADOS",1.43,2.67,0,""
26,21,"HUACHINERA",1.96,2.82,0,""
26,22,"HUASABAS",1.36,2.62,0,""
26,23,"HUEPAC",2.23,3.06,0,""
26,24,"IMURIS",3.11,4.1,0,""
26,25,"MAGDALENA",5.39,8.36,6,""
26,26,"MOCTEZUMA",1.24,3,0,""
26,27,"NACO",4.25,4.89,6,""
26,28,"NACORI CHICO",0.59,1.79,0,""
26,29,"NACOZARI DE GARCIA",4.49,7.89,0,""
26,30,"NOGALES",9.2,13.97,7,""
26,31,"OQUITOA",3.63,3.24,5.96,""
26,32,"SAHUARIPA",1.31,3.16,0,""
26,33,"SAN FELIPE DE JESUS",1.97,3.15,0,""
26,34,"SAN JAVIER",2.17,2.95,0,""
26,35,"SAN PEDRO DE LA CUEVA",1.45,2.58,0,""
26,36,"SANTA ANA",4.63,5.96,6,""
26,37,"SANTA CRUZ",3.02,3.24,0.17,""
26,38,"SARIC",1,2.37,0,""
26,39,"SOYOPA",1.91,2.84,0,""
26,40,"SUAQUI GRANDE",1.22,2.41,0,""
26,41,"TEPACHE",0.81,2.08,0,""
26,42,"TRINCHERAS",2.01,2.96,0,""
26,43,"TUBUTAMA",1.4,2.6,0,""
26,44,"VILLA HIDALGO",2.28,2.99,0,""
26,45,"VILLA PESQUEIRA",1.82,2.79,0,""
26,46,"CABORCA",3.3,5.48,0,""
26,47,"CARBO",2.06,3.08,0,""
26,48,"LA COLORADA",1.99,3.1,0,""
26,49,"HERMOSILLO",5.72,9.27,6,""
26,50,"MAZATAN",1.71,2.74,0,""
26,51,"OPODEPE",2.19,3.07,0,""
26,52,"PITIQUITO",0.61,2.65,0,""
26,53,"PUERTO PEÑASCO",2.79,6.21,0,""
26,54,"RAYON",1.86,2.84,0,""
26,55,"SAN LUIS RIO COLORADO",5.45,7.85,6,""
26,56,"SAN MIGUEL DE HORCASITAS",4.2,3.73,6,""
26,57,"URES",1.96,3.05,0,""
26,58,"BACUM",4.14,4.76,0,""
26,59,"CAJEME",5.77,10.96,0,""
26,60,"EMPALME",11.53,11.13,8,""
26,61,"GUAYMAS",3.24,6.7,0,""
26,62,"ALAMOS",3.75,3.5,6,""
26,63,"ETCHOJOA",8.38,4.28,7,""
26,64,"HUATABAMPO",7.18,5.34,7,""
26,65,"NAVOJOA",8.69,9.59,7,""
26,66,"ONAVAS",1.92,2.86,0,""
26,67,"QUIRIEGO",1.7,2.78,0,""
26,68,"ROSARIO",1.74,2.86,0,""
26,69,"YECORA",2.3,2.97,0,""
26,70,"GENERAL PLUTARCO ELIAS CALLES",2.36,4.41,0,""
26,71,"BENITO JUAREZ",9,5.75,7.06,""
26,72,"SAN IGNACIO RIO MUERTO",4.65,3.5,6,""
