"edon","munn","mun","mean","sd","median","note"
27,1,"BALANCAN",0.54,2.55,0,""
27,2,"CARDENAS",7.19,9.3,4.82,""
27,3,"CENTLA",2.39,5.63,0,""
27,4,"CENTRO",15.36,15.72,8.56,""
27,5,"COMALCALCO",12.09,9.69,10.09,""
27,6,"CUNDUACAN",22.04,14.92,15.27,""
27,7,"EMILIANO ZAPATA",2.81,7,0,""
27,8,"HUIMANGUILLO",5.56,8.99,2.37,""
27,9,"JALAPA",5.95,3.39,5,""
27,10,"JALPA DE MENDEZ",16.05,10.52,15.31,""
27,11,"JONUTA",0.74,2.36,0,""
27,12,"MACUSPANA",6.07,9.62,3.9,""
27,13,"NACAJUCA",11.49,10.48,8.51,""
27,14,"PARAISO",13.68,13.36,8.22,""
27,15,"TACOTALPA",1.88,3.08,0,""
27,16,"TEAPA",8.38,8.27,6.52,""
27,17,"TENOSIQUE",1.88,5.33,0,""
