"edon","ife","inegi","mun","mean","sd","median","note"
27,27001,27001,"BALANCAN",6.7,2.54,6.88,NA
27,27002,27002,"CARDENAS",15.41,14.42,8.77,NA
27,27003,27003,"CENTLA",7.96,6.56,7,NA
27,27004,27004,"CENTRO",23.68,17.28,16.98,NA
27,27005,27005,"COMALCALCO",21.08,13.05,17.22,NA
27,27006,27006,"CUNDUACAN",31.03,15.77,24.86,NA
27,27007,27007,"EMILIANO ZAPATA",8.25,6.06,7,NA
27,27008,27008,"HUIMANGUILLO",16.79,16.07,9,NA
27,27009,27009,"JALAPA",10.44,4.9,9,NA
27,27010,27010,"JALPA DE MENDEZ",19.88,10.6,17.97,NA
27,27011,27011,"JONUTA",6.37,2.01,7,NA
27,27012,27012,"MACUSPANA",12.23,11.46,8,NA
27,27013,27013,"NACAJUCA",18.88,13.27,15.65,NA
27,27014,27014,"PARAISO",26.93,17.77,18.86,NA
27,27015,27015,"TACOTALPA",8.61,2.19,8,NA
27,27016,27016,"TEAPA",10.81,6,8.8,NA
27,27017,27017,"TENOSIQUE",7.86,5.88,7,NA
