"edon","munn","mun","mean","sd","median","note"
28,1,"ABASOLO",0.12,1.03,0,""
28,2,"ALDAMA",0.14,1.41,0,""
28,3,"ALTAMIRA",5.94,12.12,0,""
28,4,"ANTIGUO MORELOS",0.32,1.26,0,""
28,5,"BURGOS",0,0,0,""
28,6,"BUSTAMANTE",0.02,0.23,0,""
28,7,"CAMARGO",1.66,4.28,0,""
28,8,"CASAS",0,0,0,""
28,9,"CIUDAD MADERO",58.4,8.1,62.69,""
28,10,"CRUILLAS",0,0,0,""
28,11,"GOMEZ FARIAS",0.88,2.27,0,""
28,12,"GONZALEZ",0.35,2.02,0,""
28,13,"GÜEMEZ",0.3,1.2,0,""
28,14,"GUERRERO",0.22,1.44,0,""
28,15,"GUSTAVO DIAZ ORDAZ",2.1,5.08,0,""
28,16,"HIDALGO",0.19,1.18,0,""
28,17,"JAUMAVE",0.07,0.63,0,""
28,18,"JIMENEZ",0.14,1.32,0,""
28,19,"LLERA",0.08,0.62,0,""
28,20,"MAINERO",0.09,0.58,0,""
28,21,"EL MANTE",2.34,7,0,""
28,22,"MATAMOROS",2.85,8.86,0,""
28,23,"MENDEZ",0.02,0.27,0,""
28,24,"MIER",0.63,2.8,0,""
28,25,"MIGUEL ALEMAN",1.8,6.38,0,""
28,26,"MIQUIHUANA",0.04,0.4,0,""
28,27,"NUEVO LAREDO",9.22,16.32,3.35,""
28,28,"NUEVO MORELOS",0.52,1.81,0,""
28,29,"OCAMPO",0.14,0.89,0,""
28,30,"PADILLA",0.25,1.24,0,""
28,31,"PALMILLAS",0.05,0.37,0,""
28,32,"REYNOSA",4.05,11.36,0,""
28,33,"RIO BRAVO",2.4,6.34,0,""
28,34,"SAN CARLOS",0,0,0,""
28,35,"SAN FERNANDO",0.24,2.16,0,""
28,36,"SAN NICOLAS",0,0,0,""
28,37,"SOTO LA MARINA",0.07,0.78,0,""
28,38,"TAMPICO",50.22,16.64,59,""
28,39,"TULA",0.11,1.08,0,""
28,40,"VALLE HERMOSO",2.87,6.78,0,""
28,41,"VICTORIA",4.53,11.44,0,""
28,42,"VILLAGRAN",0.04,0.37,0,""
28,43,"XICOTENCATL",0.97,2.84,0,""
