"edon","ife","inegi","mun","mean","sd","median","note"
28,28001,28001,"ABASOLO",0.43,1.61,0,NA
28,28002,28002,"ALDAMA",0.46,2.04,0,NA
28,28003,28003,"ALTAMIRA",9.48,15.32,4,NA
28,28004,28004,"ANTIGUO MORELOS",1.73,2.82,0,NA
28,28005,28005,"BURGOS",0.12,0.72,0,NA
28,28006,28006,"BUSTAMANTE",0.04,0.35,0,NA
28,28007,28007,"CAMARGO",3.04,6.84,0,NA
28,28008,28008,"CASAS",0.04,0.4,0,NA
28,28009,28009,"CIUDAD MADERO",59.99,4.2,61.9,NA
28,28010,28010,"CRUILLAS",0.16,0.71,0,NA
28,28011,28011,"GOMEZ FARIAS",2.31,3.22,0,NA
28,28012,28012,"GONZALEZ",0.82,2.62,0,NA
28,28013,28013,"GÜEMEZ",1.46,2.23,0,NA
28,28014,28014,"GUERRERO",0.5,2.74,0,NA
28,28015,28015,"GUSTAVO DIAZ ORDAZ",3.62,7.28,0,NA
28,28016,28016,"HIDALGO",0.61,1.79,0,NA
28,28017,28017,"JAUMAVE",0.24,1.33,0,NA
28,28018,28018,"JIMENEZ",0.32,1.65,0,NA
28,28019,28019,"LLERA",0.53,1.64,0,NA
28,28020,28020,"MAINERO",0.56,1.29,0,NA
28,28021,28021,"EL MANTE",3.84,8.28,0,NA
28,28022,28022,"MATAMOROS",4.2,9.64,0,NA
28,28023,28023,"MENDEZ",0.15,0.75,0,NA
28,28024,28024,"MIER",1.83,5.65,0,NA
28,28025,28025,"MIGUEL ALEMAN",3.94,9.08,0,NA
28,28026,28026,"MIQUIHUANA",0.21,0.96,0,NA
28,28027,28027,"NUEVO LAREDO",10.92,17.21,4.91,NA
28,28028,28028,"NUEVO MORELOS",2.08,3.07,0,NA
28,28029,28029,"OCAMPO",0.62,1.88,0,NA
28,28030,28030,"PADILLA",0.93,2.65,0,NA
28,28031,28031,"PALMILLAS",0.24,0.95,0,NA
28,28032,28032,"REYNOSA",5.54,13.14,0,NA
28,28033,28033,"RIO BRAVO",4.95,9.27,3.19,NA
28,28034,28034,"SAN CARLOS",0.05,0.45,0,NA
28,28035,28035,"SAN FERNANDO",0.74,3.13,0,NA
28,28036,28036,"SAN NICOLAS",0,0,0,NA
28,28037,28037,"SOTO LA MARINA",0.23,1.38,0,NA
28,28038,28038,"TAMPICO",49.96,16.51,59.37,NA
28,28039,28039,"TULA",0.33,1.85,0,NA
28,28040,28040,"VALLE HERMOSO",6.83,9.64,4,NA
28,28041,28041,"VICTORIA",6.52,12.87,3.83,NA
28,28042,28042,"VILLAGRAN",0.23,1.02,0,NA
28,28043,28043,"XICOTENCATL",2.65,4.46,0,NA
