"edon","munn","mun","mean","sd","median","note"
29,1,"AMAXAC DE GUERRERO",50.58,7.51,52.31,""
29,2,"APETATITLAN DE ANTONIO CARVAJAL",56.77,4.82,58.69,""
29,3,"APIZACO",47.59,13.44,55.1,""
29,4,"ATLANGATEPEC",8.07,0.76,8,""
29,5,"ATLTZAYANCA",10.73,3.41,10.33,""
29,6,"CALPULALPAN",14.32,10.44,9.49,""
29,7,"EL CARMEN TEQUEXQUITLA",13.86,6.06,12.57,""
29,8,"CUAPIAXTLA",13.31,6.63,10.88,""
29,9,"CUAXOMULCO",31.08,6.79,30.25,""
29,10,"CHIAUTEMPAN",35.49,21.14,39.52,""
29,11,"MUÑOZ DE DOMINGO ARENAS",11.95,5.95,10.01,""
29,12,"ESPAÑITA",8.65,1.32,8.35,""
29,13,"HUAMANTLA",14.39,11.01,10.69,""
29,14,"HUEYOTLIPAN",8.32,1.94,7.41,""
29,15,"IXTACUIXTLA DE MARIANO MATAMOROS",19.53,12.02,13.59,""
29,16,"IXTENCO",15.74,6.35,16.69,""
29,17,"MAZATECOCHCO DE JOSE MARIA MORELOS",32.93,13.19,34.69,""
29,18,"CONTLA DE JUAN CUAMATZI",32.53,20.16,33.66,""
29,19,"TEPETITLA DE LARDIZABAL",44.12,6.38,44.14,""
29,20,"SANCTORUM DE LAZARO CARDENAS",9.01,2.23,8.42,""
29,21,"NANACAMILPA DE MARIANO ARISTA",10.91,4.34,9.36,""
29,22,"ACUAMANALA DE MIGUEL HIDALGO",42.5,12.77,47.3,""
29,23,"NATIVITAS",41.83,5.02,41.92,""
29,24,"PANOTLA",30.12,13.04,26.48,""
29,25,"SAN PABLO DEL MONTE",32.96,17.94,35.22,""
29,26,"SANTA CRUZ TLAXCALA",42.23,11.71,46.5,""
29,27,"TENANCINGO",49.28,8.42,50.49,""
29,28,"TEOLOCHOLCO",18.88,17.02,8.54,""
29,29,"TEPEYANCO",54.64,1.88,54.25,""
29,30,"TERRENATE",10.2,3.61,8.8,""
29,31,"TETLA DE LA SOLIDARIDAD",19.7,13.47,15.29,""
29,32,"TETLATLAHUCA",40.75,4.99,42.03,""
29,33,"TLAXCALA",54.23,8.44,57.06,""
29,34,"TLAXCO",9.74,5.54,8,""
29,35,"TOCATLAN",18.57,6.59,16.74,""
29,36,"TOTOLAC",54.03,5.7,55.36,""
29,37,"ZITLALTEPEC DE TRINIDAD SANCHEZ SANTOS",13.79,6.75,12.49,""
29,38,"TZOMPANTEPEC",40.6,11.57,42.9,""
29,39,"XALOZTOC",24.3,12.19,24.53,""
29,40,"XALTOCAN",18.23,10.27,14.61,""
29,41,"PAPALOTLA DE XICOHTENCATL",49.43,11.61,53.9,""
29,42,"XICOHTZINCO",56.34,1.52,56.86,""
29,43,"YAUHQUEMEHCAN",51.04,4.74,51.09,""
29,44,"ZACATELCO",47.26,10.21,50.18,""
29,45,"SANTA APOLONIA TEACALCO",46.36,1.08,46.72,""
29,46,"SANTA CRUZ QUILEHTLA",26.79,17.7,21.17,""
29,47,"SAN JUAN HUACTZINCO",55.14,1.89,55.72,""
29,48,"SANTA CATARINA AYOMETLA",56.08,2.55,57.14,""
29,49,"SANTA ISABEL XILOXOXTLA",54.94,0.59,54.96,""
29,50,"SAN JOSE TEACALCO",14.14,4.16,13.49,""
29,51,"SAN FRANCISCO TETLANOHCAN",19.81,18.19,8.55,""
29,52,"LA MAGDALENA TLALTELULCO",32.2,22.42,34.76,""
29,53,"SAN DAMIAN TEXOLOC",38.34,1.14,37.94,""
29,54,"EMILIANO ZAPATA",7.32,0.58,7,""
29,55,"LAZARO CARDENAS",7.66,1.15,7.04,""
29,56,"SAN JERONIMO ZACUALPAN",48.26,2.18,48.13,""
29,57,"SAN LUCAS TECOPILCO",11.1,0.87,11.05,""
29,58,"SANTA ANA NOPALUCAN",40.53,3.27,41.34,""
29,59,"SAN LORENZO AXOCOMANITLA",57.2,1.26,57.2,""
29,60,"BENITO JUAREZ",10.13,2.14,10.27,""
