"edon","ife","inegi","mun","mean","sd","median","note"
29,29001,29001,"AMAXAC DE GUERRERO",49.13,9.91,52.73,NA
29,29002,29002,"APETATITLAN DE ANTONIO CARVAJAL",55.14,7.18,58.26,NA
29,29003,29005,"APIZACO",49.21,13.29,56.4,NA
29,29004,29003,"ATLANGATEPEC",9.34,1.18,9,NA
29,29005,29004,"ATLTZAYANCA",12.17,3.55,11.82,NA
29,29006,29006,"CALPULALPAN",15.72,10.69,10.87,NA
29,29007,29007,"EL CARMEN TEQUEXQUITLA",17.25,7.5,15.11,NA
29,29008,29008,"CUAPIAXTLA",14.35,5.87,12.32,NA
29,29009,29009,"CUAXOMULCO",30.03,3.95,29.29,NA
29,29010,29010,"CHIAUTEMPAN",35.52,20.14,41.22,NA
29,29011,29011,"MUÑOZ DE DOMINGO ARENAS",12.3,4.64,10.91,NA
29,29012,29012,"ESPAÑITA",9.78,1.72,9.32,NA
29,29013,29013,"HUAMANTLA",17.15,12.52,12.42,NA
29,29014,29014,"HUEYOTLIPAN",9.33,1.72,8.58,NA
29,29015,29015,"IXTACUIXTLA DE MARIANO MATAMOROS",19.78,11.52,14.12,NA
29,29016,29016,"IXTENCO",16.59,6.4,16.78,NA
29,29017,29017,"MAZATECOCHCO DE JOSE MARIA MORELOS",32.05,13.14,35.72,NA
29,29018,29018,"CONTLA DE JUAN CUAMATZI",32.1,18.65,33.57,NA
29,29019,29019,"TEPETITLA DE LARDIZABAL",42.75,6.9,42.87,NA
29,29020,29020,"SANCTORUM DE LAZARO CARDENAS",10.81,3.19,9.78,NA
29,29021,29021,"NANACAMILPA DE MARIANO ARISTA",12.92,5.29,10.98,NA
29,29022,29022,"ACUAMANALA DE MIGUEL HIDALGO",37.89,15.67,44.73,NA
29,29023,29023,"NATIVITAS",40.28,4.98,40.77,NA
29,29024,29024,"PANOTLA",29.78,12.63,26.05,NA
29,29025,29025,"SAN PABLO DEL MONTE",34.87,17.3,36.62,NA
29,29026,29026,"SANTA CRUZ TLAXCALA",42.53,11.06,44.34,NA
29,29027,29027,"TENANCINGO",49.6,8.63,51.2,NA
29,29028,29028,"TEOLOCHOLCO",19.52,16.1,10,NA
29,29029,29029,"TEPEYANCO",53.03,1.4,52.99,NA
29,29030,29030,"TERRENATE",10.42,2.45,9.47,NA
29,29031,29031,"TETLA DE LA SOLIDARIDAD",24.48,14.14,22.01,NA
29,29032,29032,"TETLATLAHUCA",40.65,4.64,42.06,NA
29,29033,29033,"TLAXCALA",54.08,8.81,57.28,NA
29,29034,29034,"TLAXCO",9.54,4.04,8.36,NA
29,29035,29035,"TOCATLAN",22.92,8.07,20.99,NA
29,29036,29036,"TOTOLAC",53.02,5.67,54.6,NA
29,29037,29037,"ZITLALTEPEC DE TRINIDAD SANCHEZ SANTOS",15.88,7.43,14.26,NA
29,29038,29038,"TZOMPANTEPEC",42.58,11,44.87,NA
29,29039,29039,"XALOZTOC",28.78,14.49,29.01,NA
29,29040,29040,"XALTOCAN",17.85,9.1,14.62,NA
29,29041,29041,"PAPALOTLA DE XICOHTENCATL",49.16,10.97,52.86,NA
29,29042,29042,"XICOHTZINCO",56.35,1.24,56.21,NA
29,29043,29043,"YAUHQUEMEHCAN",51.86,5.06,52.23,NA
29,29044,29044,"ZACATELCO",45.72,9.23,46.6,NA
29,29045,29057,"SANTA APOLONIA TEACALCO",46.06,1.12,46.38,NA
29,29046,29059,"SANTA CRUZ QUILEHTLA",31.19,16.71,29.51,NA
29,29047,29053,"SAN JUAN HUACTZINCO",52.55,1.51,52.51,NA
29,29048,29058,"SANTA CATARINA AYOMETLA",55.28,1.59,55.85,NA
29,29049,29060,"SANTA ISABEL XILOXOXTLA",53.5,0.43,53.6,NA
29,29050,29052,"SAN JOSE TEACALCO",18.42,4.65,18.5,NA
29,29051,29050,"SAN FRANCISCO TETLANOHCAN",19.56,16.98,9,NA
29,29052,29048,"LA MAGDALENA TLALTELULCO",34.12,21.31,39.72,NA
29,29053,29049,"SAN DAMIAN TEXOLOC",39.58,1.77,39.38,NA
29,29054,29046,"EMILIANO ZAPATA",9.82,1.54,9.42,NA
29,29055,29047,"LAZARO CARDENAS",10.22,1.63,10.14,NA
29,29056,29051,"SAN JERONIMO ZACUALPAN",47.1,1.71,47.12,NA
29,29057,29055,"SAN LUCAS TECOPILCO",14.34,1.35,14.28,NA
29,29058,29056,"SANTA ANA NOPALUCAN",39.13,4.03,40.6,NA
29,29059,29054,"SAN LORENZO AXOCOMANITLA",54.85,1.01,54.85,NA
29,29060,29045,"BENITO JUAREZ",11.59,2.36,11.87,NA
