"edon","ife","inegi","mun","mean","sd","median","note"
30,30001,30001,"ACAJETE",4.38,3.82,4.43,NA
30,30002,30002,"ACATLAN",5.91,0.91,5.64,NA
30,30003,30003,"ACAYUCAN",5.46,9.08,4,NA
30,30004,30004,"ACTOPAN",4.87,3.17,4.82,NA
30,30005,30005,"ACULA",2.5,3.27,0,NA
30,30006,30006,"ACULTZINGO",4.92,3.66,5.18,NA
30,30007,30007,"CAMARON DE TEJEDA",3.34,2.11,4,NA
30,30008,30160,"ALAMO TEMAPACHE",6.7,5.87,5,NA
30,30009,30008,"ALPATLAHUAC",4.5,3.28,4.54,NA
30,30010,30009,"ALTO LUCERO DE GUTIERREZ BARRIOS",3.52,5.12,2.15,NA
30,30011,30010,"ALTOTONGA",2.69,5.35,0,NA
30,30012,30011,"ALVARADO",4.21,6.19,3.47,NA
30,30013,30012,"AMATITLAN",4.5,3.71,4.8,NA
30,30014,30014,"AMATLAN DE LOS REYES",14.07,7.46,12.76,NA
30,30015,30013,"NARANJOS AMATLAN",10.79,9.21,7.46,NA
30,30016,30015,"ANGEL R. CABADA",4.58,4.6,4.74,NA
30,30017,30016,"LA ANTIGUA",12.65,9.21,9.02,NA
30,30018,30017,"APAZAPAN",5.18,2.03,4.82,NA
30,30019,30018,"AQUILA",5.76,1.2,5.43,NA
30,30020,30019,"ASTACINGA",1.17,1.81,0,NA
30,30021,30020,"ATLAHUILCO",3.39,2.14,4.2,NA
30,30022,30021,"ATOYAC",9.72,6.22,6.85,NA
30,30023,30022,"ATZACAN",14.45,12.64,9.04,NA
30,30024,30023,"ATZALAN",4.01,4,4,NA
30,30025,30024,"TLALTETELA",2.62,2.17,2.86,NA
30,30026,30025,"AYAHUALULCO",2.56,2.29,2.63,NA
30,30027,30026,"BANDERILLA",42.95,9.3,44.11,NA
30,30028,30027,"BENITO JUAREZ",2.65,1.82,3.76,NA
30,30029,30028,"BOCA DEL RIO",52.34,13.44,59.64,NA
30,30030,30029,"CALCAHUALCO",1.98,2.78,0,NA
30,30031,30030,"CAMERINO Z. MENDOZA",22.42,15.78,14.99,NA
30,30032,30031,"CARRILLO PUERTO",3.18,2.81,3.66,NA
30,30033,30157,"CASTILLO DE TEAYO",6.2,4.07,5,NA
30,30034,30032,"CATEMACO",3.11,5.99,0,NA
30,30035,30033,"CAZONES DE HERRERA",4.89,1.76,4.57,NA
30,30036,30034,"CERRO AZUL",18.35,14.63,12.51,NA
30,30037,30035,"CITLALTEPETL",3.35,2.57,4,NA
30,30038,30036,"COACOATZINTLA",5.48,2.92,5.77,NA
30,30039,30037,"COAHUITLAN",4.52,0.45,4.54,NA
30,30040,30038,"COATEPEC",12.27,9.55,8.21,NA
30,30041,30039,"COATZACOALCOS",36.63,23.75,39.94,NA
30,30042,30040,"COATZINTLA",13.35,13.52,7.34,NA
30,30043,30041,"COETZALA",7.4,0.89,7.33,NA
30,30044,30042,"COLIPA",2.7,2.32,3.02,NA
30,30045,30043,"COMAPA",0.79,1.77,0,NA
30,30046,30044,"CORDOBA",22.01,18.29,12.74,NA
30,30047,30045,"COSAMALOAPAN",8.58,8.89,6.46,NA
30,30048,30046,"COSAUTLAN DE CARVAJAL",5.42,0.63,5.16,NA
30,30049,30047,"COSCOMATEPEC",8.24,6.86,5,NA
30,30050,30048,"COSOLEACAQUE",27.76,16.97,21.42,NA
30,30051,30049,"COTAXTLA",8.36,8.28,5.66,NA
30,30052,30050,"COXQUIHUI",4.26,1.48,4.18,NA
30,30053,30051,"COYUTLA",4.68,1.4,4.17,NA
30,30054,30052,"CUICHAPA",9.25,3.5,8.46,NA
30,30055,30053,"CUITLAHUAC",9.29,5.93,8.44,NA
30,30056,30054,"CHACALTIANGUIS",5.56,3.26,5.39,NA
30,30057,30055,"CHALMA",4.59,4.1,4.38,NA
30,30058,30056,"CHICONAMEL",2.46,2.77,1.5,NA
30,30059,30057,"CHICONQUIACO",3.12,1.97,4,NA
30,30060,30058,"CHICONTEPEC",3.58,3.63,4,NA
30,30061,30059,"CHINAMECA",12.18,8.5,8.71,NA
30,30062,30060,"CHINAMPA DE GOROSTIZA",8.99,7.96,5,NA
30,30063,30061,"LAS CHOAPAS",1.13,5.1,0,NA
30,30064,30062,"CHOCAMAN",9.32,2.68,9.62,NA
30,30065,30063,"CHONTLA",1.3,1.88,0,NA
30,30066,30064,"CHUMATLAN",4.46,0.46,4.5,NA
30,30067,30065,"EMILIANO ZAPATA",7.45,4.35,5.99,NA
30,30068,30066,"ESPINAL",4.44,0.75,4.35,NA
30,30069,30067,"FILOMENO MATA",5.15,1.06,5.06,NA
30,30070,30068,"FORTIN",24.62,14.26,18.33,NA
30,30071,30069,"GUTIERREZ ZAMORA",9.09,7.35,7,NA
30,30072,30070,"HIDALGOTITLAN",0.56,1.5,0,NA
30,30073,30071,"HUATUSCO",7.71,6.14,5.45,NA
30,30074,30072,"HUAYACOCOTLA",1.12,2.31,0,NA
30,30075,30073,"HUEYAPAN DE OCAMPO",3.79,4.72,3.02,NA
30,30076,30074,"HUILOAPAN DE CUAUHTEMOC",35.44,12.31,40.16,NA
30,30077,30075,"IGNACIO DE LA LLAVE",2.45,4.05,0,NA
30,30078,30076,"ILAMATLAN",1.13,1.58,0,NA
30,30079,30077,"ISLA",2.79,5.53,0,NA
30,30080,30078,"IXCATEPEC",2.56,2.21,3.02,NA
30,30081,30079,"IXHUACAN DE LOS REYES",2.31,1.9,2.63,NA
30,30082,30083,"IXHUATLAN DE MADERO",2.22,1.97,2.41,NA
30,30083,30080,"IXHUATLAN DEL CAFE",5.59,2.59,5.14,NA
30,30084,30082,"IXHUATLAN DEL SURESTE",18.51,13.33,12.41,NA
30,30085,30081,"IXHUATLANCILLO",15.33,13.56,10.03,NA
30,30086,30084,"IXMATLAHUACAN",3,4.93,0,NA
30,30087,30085,"IXTACZOQUITLAN",22.24,13.24,17.96,NA
30,30088,30086,"JALACINGO",5.26,4.31,4.61,NA
30,30089,30087,"XALAPA",38.81,21.09,45.27,NA
30,30090,30088,"JALCOMULCO",3.82,0.98,4,NA
30,30091,30089,"JALTIPAN",9.36,11.21,5.19,NA
30,30092,30090,"JAMAPA",6.84,2.57,5.88,NA
30,30093,30091,"JESUS CARRANZA",1.2,2.31,0,NA
30,30094,30093,"JILOTEPEC",16.09,7.88,13.09,NA
30,30095,30094,"JUAN RODRIGUEZ CLARA",2.5,3.83,1.02,NA
30,30096,30095,"JUCHIQUE DE FERRER",3.66,2.75,4.44,NA
30,30097,30096,"LANDERO Y COSS",5.25,1.37,5.05,NA
30,30098,30097,"LERDO DE TEJADA",13.12,13.88,7.44,NA
30,30099,30098,"MAGDALENA",7.25,0.68,7.2,NA
30,30100,30099,"MALTRATA",9.86,4.27,8.84,NA
30,30101,30100,"MANLIO FABIO ALTAMIRANO",7.89,2.01,7.47,NA
30,30102,30101,"MARIANO ESCOBEDO",10.25,11.12,5,NA
30,30103,30102,"MARTINEZ DE LA TORRE",8.78,9.14,5.56,NA
30,30104,30103,"MECATLAN",5.19,0.61,5,NA
30,30105,30104,"MECAYAPAN",2.52,2.58,2.15,NA
30,30106,30105,"MEDELLIN DE BRAVO",11.59,10.76,8.52,NA
30,30107,30106,"MIAHUATLAN",6.51,2.04,7.12,NA
30,30108,30107,"LAS MINAS",2.7,2.22,2.93,NA
30,30109,30108,"MINATITLAN",3.4,9.91,0,NA
30,30110,30109,"MISANTLA",5.8,4.73,4.8,NA
30,30111,30110,"MIXTLA DE ALTAMIRANO",0.67,1.21,0,NA
30,30112,30111,"MOLOACAN",13.16,9.02,10.05,NA
30,30113,30112,"NAOLINCO",8.7,3.86,7,NA
