"edon","munn","mun","mean","sd","median","note"
31,1,"ABALA",2.69,2.25,3.24,""
31,2,"ACANCEH",8.89,5.71,7.03,""
31,3,"AKIL",6.51,7.34,4.18,""
31,4,"BACA",8.92,4.64,7.65,""
31,5,"BOKOBA",6.56,2.49,6.26,""
31,6,"BUCTZOTZ",0.81,2.86,0,""
31,7,"CACALCHEN",7.75,5.41,4.83,""
31,8,"CALOTMUL",1.4,2.66,0,""
31,9,"CANSAHCAB",4.24,4.34,3.45,""
31,10,"CANTAMAYEC",0.8,1.53,0,""
31,11,"CELESTUN",0.47,2.64,0,""
31,12,"CENOTILLO",0.72,2.12,0,""
31,13,"CONKAL",15.16,5.91,13.6,""
31,14,"CUNCUNUL",1.65,2.16,0.01,""
31,15,"CUZAMA",3.92,3.48,4,""
31,16,"CHACSINKIN",1.39,2.14,0,""
31,17,"CHANKOM",1.26,1.66,0,""
31,18,"CHAPAB",2.71,2.83,2.22,""
31,19,"CHEMAX",0.62,1.94,0,""
31,20,"CHICXULUB PUEBLO",7.33,3.68,5.47,""
31,21,"CHICHIMILA",0.38,1.63,0,""
31,22,"CHIKINDZONOT",0.46,1.24,0,""
31,23,"CHOCHOLA",2.73,3.59,1.37,""
31,24,"CHUMAYEL",3.13,3.59,1.63,""
31,25,"DZAN",6.91,3.39,5.89,""
31,26,"DZEMUL",4.11,5.36,1.63,""
31,27,"DZIDZANTUN",2.9,5.72,0,""
31,28,"DZILAM DE BRAVO",0.3,1.37,0,""
31,29,"DZILAM GONZALEZ",1.08,2.94,0,""
31,30,"DZITAS",1.42,2.45,0,""
31,31,"DZONCAUICH",0.97,2.28,0,""
31,32,"ESPITA",1.14,3.27,0,""
31,33,"HALACHO",3.41,5.08,0.81,""
31,34,"HOCABA",5.2,2.68,5,""
31,35,"HOCTUN",5.64,4.32,4,""
31,36,"HOMUN",1.57,3.3,0,""
31,37,"HUHI",1.53,2.93,0,""
31,38,"HUNUCMA",3.03,6.16,0,""
31,39,"IXIL",2.9,3.77,1.67,""
31,40,"IZAMAL",4.92,8.18,3.46,""
31,41,"KANASIN",25.32,18.46,17.17,""
31,42,"KANTUNIL",2.05,2.9,0,""
31,43,"KAUA",3.44,2.39,3.46,""
31,44,"KINCHIL",1.37,2.86,0,""
31,45,"KOPOMA",2.51,3.02,0.99,""
31,46,"MAMA",3.2,2.84,2.87,""
31,47,"MANI",4.93,3.1,4.17,""
31,48,"MAXCANU",1.93,3.55,0,""
31,49,"MAYAPAN",2.35,2.64,0.95,""
31,50,"MERIDA",25.94,21.65,16.15,""
31,51,"MOCOCHA",7.7,1.56,7.94,""
31,52,"MOTUL",7.5,8.02,4.63,""
31,53,"MUNA",2.91,4.6,1.51,""
31,54,"MUXUPIP",7.85,2.67,7.12,""
31,55,"OPICHEN",1.38,2.43,0,""
31,56,"OXKUTZCAB",1.25,5.01,0,""
31,57,"PANABA",0.93,2.93,0,""
31,58,"PETO",1.12,3.85,0,""
31,59,"PROGRESO",8.43,10.46,4,""
31,60,"QUINTANA ROO",1,1.87,0,""
31,61,"RIO LAGARTOS",0.84,2.23,0,""
31,62,"SACALUM",3.63,2.68,3.85,""
31,63,"SAMAHIL",2.29,3.13,0,""
31,64,"SANAHCAT",1.71,2.26,0.23,""
31,65,"SAN FELIPE",0.22,1.17,0,""
31,66,"SANTA ELENA",0.87,2.23,0,""
31,67,"SEYE",4.72,3.81,4,""
31,68,"SINANCHE",2.4,3.05,1.06,""
31,69,"SOTUTA",1.34,2.43,0,""
31,70,"SUCILA",0.91,2.58,0,""
31,71,"SUDZAL",0.47,1.2,0,""
31,72,"SUMA",5.05,3.24,4.32,""
31,73,"TAHDZIU",0.79,1.66,0,""
31,74,"TAHMEK",5.01,2.92,4,""
31,75,"TEABO",1.36,2.72,0,""
31,76,"TECOH",2.96,4.25,2.09,""
31,77,"TEKAL DE VENEGAS",1.08,2.35,0,""
31,78,"TEKANTO",6.83,4.52,4.99,""
31,79,"TEKAX",0.69,3.26,0,""
31,80,"TEKIT",1.28,3.53,0,""
31,81,"TEKOM",0.71,1.9,0,""
31,82,"TELCHAC PUEBLO",6.55,5.48,4.81,""
31,83,"TELCHAC PUERTO",1.94,3.13,0,""
31,84,"TEMAX",2.37,3.68,0.47,""
31,85,"TEMOZON",1.39,2.69,0,""
31,86,"TEPAKAN",2.94,3.77,1.34,""
31,87,"TETIZ",2.48,4.55,0,""
31,88,"TEYA",5.94,4.08,5.76,""
31,89,"TICUL",6.25,10.68,1.51,""
31,90,"TIMUCUY",6.63,1.86,6.86,""
31,91,"TINUM",3,5.12,0.36,""
31,92,"TIXCACALCUPUL",0.59,1.54,0,""
31,93,"TIXKOKOB",8.86,6.53,6.39,""
31,94,"TIXMEHUAC",0.91,1.76,0,""
31,95,"TIXPEHUAL",8.31,3.18,7.75,""
31,96,"TIZIMIN",0.83,4.03,0,""
31,97,"TUNKAS",0.66,1.78,0,""
31,98,"TZUCACAB",1,2.76,0,""
31,99,"UAYMA",1.62,3.25,0,""
31,100,"UCU",4.71,3.69,4,""
31,101,"UMAN",9.17,11.55,5,""
31,102,"VALLADOLID",4.13,9.01,0,""
31,103,"XOCCHEL",3.55,3.65,2.01,""
31,104,"YAXCABA",0.49,1.39,0,""
31,105,"YAXKUKUL",7.36,2.68,6.81,""
31,106,"YOBAIN",3.07,2.77,3.3,""
