"edon","ife","inegi","mun","mean","sd","median","note"
31,31001,31001,"ABALA",2.27,2.01,2.5,NA
31,31002,31002,"ACANCEH",9.47,6.2,7.2,NA
31,31003,31003,"AKIL",7.58,7.49,4.77,NA
31,31004,31004,"BACA",10.09,5.58,9.16,NA
31,31005,31005,"BOKOBA",6.19,2.64,5.49,NA
31,31006,31006,"BUCTZOTZ",0.85,2.93,0,NA
31,31007,31007,"CACALCHEN",7.76,5.81,4.78,NA
31,31008,31008,"CALOTMUL",1.76,2.64,0.17,NA
31,31009,31009,"CANSAHCAB",4.34,4.78,3.22,NA
31,31010,31010,"CANTAMAYEC",0.26,0.87,0,NA
31,31011,31011,"CELESTUN",0.34,2.12,0,NA
31,31012,31012,"CENOTILLO",0.75,2.14,0,NA
31,31013,31013,"CONKAL",18.53,7.34,17.83,NA
31,31014,31014,"CUNCUNUL",2.19,2.53,0.75,NA
31,31015,31015,"CUZAMA",4.06,3.73,3.5,NA
31,31016,31016,"CHACSINKIN",1.7,2.22,0.42,NA
31,31017,31017,"CHANKOM",0.84,1.36,0,NA
31,31018,31018,"CHAPAB",2.64,2.57,2.52,NA
31,31019,31019,"CHEMAX",1.09,2.68,0,NA
31,31020,31020,"CHICXULUB PUEBLO",8.34,4.74,6.59,NA
31,31021,31021,"CHICHIMILA",0.41,1.63,0,NA
31,31022,31022,"CHIKINDZONOT",0.35,1.01,0,NA
31,31023,31023,"CHOCHOLA",2.77,4.34,0,NA
31,31024,31024,"CHUMAYEL",3.76,4.64,1.65,NA
31,31025,31025,"DZAN",8.29,4.59,6.93,NA
31,31026,31026,"DZEMUL",4.71,5.9,2.64,NA
31,31027,31027,"DZIDZANTUN",3.36,6.51,0,NA
31,31028,31028,"DZILAM DE BRAVO",0.27,1.35,0,NA
31,31029,31029,"DZILAM GONZALEZ",1.08,3.05,0,NA
31,31030,31030,"DZITAS",1.42,2.48,0,NA
31,31031,31031,"DZONCAUICH",0.84,2.19,0,NA
31,31032,31032,"ESPITA",1.69,4.2,0,NA
31,31033,31033,"HALACHO",4.41,5.71,3.23,NA
31,31034,31034,"HOCABA",6.04,3.07,5.72,NA
31,31035,31035,"HOCTUN",5.5,5.24,3.67,NA
31,31036,31036,"HOMUN",1.53,3.34,0,NA
31,31037,31037,"HUHI",1.64,3.15,0,NA
31,31038,31038,"HUNUCMA",3.17,6.96,0,NA
31,31039,31039,"IXIL",3.28,4.64,1.89,NA
31,31040,31040,"IZAMAL",5.37,8.26,3.11,NA
31,31041,31041,"KANASIN",29.73,18.06,25.67,NA
31,31042,31042,"KANTUNIL",1.7,2.43,0,NA
31,31043,31043,"KAUA",4.06,3.42,3.43,NA
31,31044,31044,"KINCHIL",1.37,2.89,0,NA
31,31045,31045,"KOPOMA",2.17,2.92,0,NA
31,31046,31046,"MAMA",2.96,3.08,2.61,NA
31,31047,31047,"MANI",4.54,3.9,4,NA
31,31048,31048,"MAXCANU",2.14,3.83,0,NA
31,31049,31049,"MAYAPAN",2.33,2.84,0.71,NA
31,31050,31050,"MERIDA",29.05,22.13,21.88,NA
31,31051,31051,"MOCOCHA",10.02,2.39,10.19,NA
31,31052,31052,"MOTUL",8.94,9.81,4.83,NA
31,31053,31053,"MUNA",2.7,4.91,0.48,NA
31,31054,31054,"MUXUPIP",8.51,3.04,8.77,NA
31,31055,31055,"OPICHEN",1.38,2.59,0,NA
31,31056,31056,"OXKUTZCAB",1.73,5.56,0,NA
31,31057,31057,"PANABA",1.05,3.2,0,NA
31,31058,31058,"PETO",1.16,4.12,0,NA
31,31059,31059,"PROGRESO",7.55,9.79,3.76,NA
31,31060,31060,"QUINTANA ROO",1.01,1.83,0,NA
31,31061,31061,"RIO LAGARTOS",1.2,3.07,0,NA
31,31062,31062,"SACALUM",3.02,2.75,3,NA
31,31063,31063,"SAMAHIL",2.18,3.12,0,NA
31,31064,31064,"SANAHCAT",1.65,2.57,0,NA
31,31065,31065,"SAN FELIPE",0.25,1.26,0,NA
31,31066,31066,"SANTA ELENA",0.81,1.93,0,NA
31,31067,31067,"SEYE",4.43,3.56,3.8,NA
31,31068,31068,"SINANCHE",2.91,3.32,2.64,NA
31,31069,31069,"SOTUTA",1.01,2.4,0,NA
31,31070,31070,"SUCILA",1.23,3.07,0,NA
31,31071,31071,"SUDZAL",0.3,1.02,0,NA
31,31072,31072,"SUMA",5.05,2.41,4.16,NA
31,31073,31073,"TAHDZIU",1,1.99,0,NA
31,31074,31074,"TAHMEK",4.53,3.36,3.31,NA
31,31075,31075,"TEABO",1.83,3.72,0,NA
31,31076,31076,"TECOH",2.75,3.96,1.82,NA
31,31077,31077,"TEKAL DE VENEGAS",0.72,1.76,0,NA
31,31078,31078,"TEKANTO",6.62,3.5,5,NA
31,31079,31079,"TEKAX",0.74,3.6,0,NA
31,31080,31080,"TEKIT",1.49,4.26,0,NA
31,31081,31081,"TEKOM",0.53,1.39,0,NA
31,31082,31082,"TELCHAC PUEBLO",7.2,5.69,4.85,NA
31,31083,31083,"TELCHAC PUERTO",1.47,3,0,NA
31,31084,31084,"TEMAX",2.44,3.99,0.03,NA
31,31085,31085,"TEMOZON",1.88,3.65,0,NA
31,31086,31086,"TEPAKAN",2.25,2.8,1.12,NA
31,31087,31087,"TETIZ",2.9,4.96,0,NA
31,31088,31088,"TEYA",5.09,3.13,4.88,NA
31,31089,31089,"TICUL",7.31,11,3,NA
31,31090,31090,"TIMUCUY",7.32,2.45,7.05,NA
31,31091,31091,"TINUM",2.59,4.38,0.23,NA
31,31092,31092,"TIXCACALCUPUL",0.4,1.29,0,NA
31,31093,31093,"TIXKOKOB",10.86,8.75,7.61,NA
31,31094,31094,"TIXMEHUAC",1.32,2.11,0,NA
31,31095,31095,"TIXPEHUAL",9.61,4.57,8.89,NA
31,31096,31096,"TIZIMIN",1.32,4.65,0,NA
31,31097,31097,"TUNKAS",0.7,1.96,0,NA
31,31098,31098,"TZUCACAB",1.04,3.1,0,NA
31,31099,31099,"UAYMA",1.65,3.29,0,NA
31,31100,31100,"UCU",5.05,5.22,3.45,NA
31,31101,31101,"UMAN",10.47,12.47,6.34,NA
31,31102,31102,"VALLADOLID",4.76,9.59,0.37,NA
31,31103,31103,"XOCCHEL",4.6,4.42,3,NA
31,31104,31104,"YAXCABA",0.38,1.1,0,NA
31,31105,31105,"YAXKUKUL",9,3.43,8.47,NA
31,31106,31106,"YOBAIN",2.97,2.85,3,NA
