"edon","munn","mun","mean","sd","median","note"
32,1,"APOZOL",3.72,4.97,2.47,""
32,2,"APULCO",4.03,1.46,4,""
32,3,"ATOLINGA",1.37,1.76,0,""
32,4,"BENITO JUAREZ",1.2,2.47,0,""
32,5,"CALERA",8.19,12.61,4,""
32,6,"CA?ITAS DE FELIPE PESCADOR",1.93,4.61,0,""
32,7,"CONCEPCION DEL ORO",0.42,2.06,0,""
32,8,"CUAUHTEMOC",4.26,5.87,3.21,""
32,9,"CHALCHIHUITES",1.54,2.46,0,""
32,10,"FRESNILLO",3.32,6.52,1.58,""
32,11,"TRINIDAD GARCIA DE LA CADENA",1,1.94,0,""
32,12,"GENARO CODINA",1.29,2.48,0,""
32,13,"GENERAL ENRIQUE ESTRADA",6.48,5.65,4.24,""
32,14,"GENERAL FRANCISCO R. MURGUIA",0.49,1.86,0,""
32,15,"EL PLATEADO DE JOAQUIN AMARO",2.05,1.78,2.61,""
32,16,"GENERAL PANFILO NATERA",4.63,3.99,4,""
32,17,"GUADALUPE",9.27,13.44,4,""
32,18,"HUANUSCO",2.55,2.17,3.14,""
32,19,"JALPA",3.42,6.43,1.56,""
32,20,"JEREZ",3.49,6.4,2.72,""
32,21,"JIMENEZ DEL TEUL",0.35,1.19,0,""
32,22,"JUAN ALDAMA",2.03,6.21,0,""
32,23,"JUCHIPILA",3.61,7.14,0,""
32,24,"LORETO",9.38,10.08,5.81,""
32,25,"LUIS MOYA",8.63,6.27,6.41,""
32,26,"MAZAPIL",0.37,2.38,0,""
32,27,"MELCHOR OCAMPO",0.11,0.57,0,""
32,28,"MEZQUITAL DEL ORO",0.51,1.48,0,""
32,29,"MIGUEL AUZA",1.92,5.22,0,""
32,30,"MOMAX",2.36,2.49,2.5,""
32,31,"MONTE ESCOBEDO",0.6,1.63,0,""
32,32,"MORELOS",10.51,8.75,6.92,""
32,33,"MOYAHUA DE ESTRADA",1.73,2.56,0,""
32,34,"NOCHISTLAN DE MEJIA",3.52,6.21,2.78,""
32,35,"NORIA DE ANGELES",3.6,2.48,3.95,""
32,36,"OJOCALIENTE",5.53,6.46,4,""
32,37,"PANUCO",3.39,3.04,3.33,""
32,38,"PINOS",1.58,2.2,0.02,""
32,39,"RIO GRANDE",2.7,7.23,0,""
32,40,"SAIN ALTO",1.64,3.18,0,""
32,41,"EL SALVADOR",0.43,1.26,0,""
32,42,"SOMBRERETE",1.49,3.51,0,""
32,43,"SUSTICACAN",1.5,2.05,0,""
32,44,"TABASCO",3.47,4.36,3.18,""
32,45,"TEPECHITLAN",0.99,2.65,0,""
32,46,"TEPETONGO",1.94,2.39,0.83,""
32,47,"TEUL DE GONZALEZ ORTEGA",0.65,1.94,0,""
32,48,"TLALTENANGO DE SANCHEZ ROMAN",2.74,6.46,0,""
32,49,"VALPARAISO",0.54,2.37,0,""
32,50,"VETAGRANDE",10.3,7.16,8.97,""
32,51,"VILLA DE COS",0.49,1.96,0,""
32,52,"VILLA GARCIA",4.87,4.74,4,""
32,53,"VILLA GONZALEZ ORTEGA",3.82,4.8,2.79,""
32,54,"VILLA HIDALGO",3.91,3.22,3.99,""
32,55,"VILLANUEVA",2.21,3.8,0.49,""
32,56,"ZACATECAS",13.05,16.32,6.26,""
32,57,"TRANCOSO",6.43,7.43,4,""
32,58,"SANTA MARIA DE LA PAZ",1.35,2.84,0,""
