"edon","ife","inegi","mun","mean","sd","median","note"
32,32001,32001,"APOZOL",6.12,4.81,6.62,NA
32,32002,32002,"APULCO",6.57,0.47,6.98,NA
32,32003,32003,"ATOLINGA",4.03,2.9,6,NA
32,32004,32004,"BENITO JUAREZ",4.35,2.81,6,NA
32,32005,32005,"CALERA",11.02,11.43,7,NA
32,32006,32006,"CAÑITAS DE FELIPE PESCADOR",4.21,3.86,6,NA
32,32007,32007,"CONCEPCION DEL ORO",2.59,3.27,0,NA
32,32008,32008,"CUAUHTEMOC",5.61,5.42,6.21,NA
32,32009,32009,"CHALCHIHUITES",4.69,3.44,6,NA
32,32010,32010,"FRESNILLO",6.76,7.05,6.51,NA
32,32011,32011,"TRINIDAD GARCIA DE LA CADENA",4.16,2.94,6,NA
32,32012,32012,"GENARO CODINA",4.43,3.25,6,NA
32,32013,32013,"GENERAL ENRIQUE ESTRADA",8.77,4.58,7,NA
32,32014,32014,"GENERAL FRANCISCO R. MURGUIA",2.44,3.1,0,NA
32,32015,32015,"EL PLATEADO DE JOAQUIN AMARO",5.5,2.2,6,NA
32,32016,32016,"GENERAL PANFILO NATERA",7.05,1.53,7,NA
32,32017,32017,"GUADALUPE",12.95,14.26,7,NA
32,32018,32018,"HUANUSCO",5.6,2.33,6.3,NA
32,32019,32019,"JALPA",6.24,5.3,6,NA
32,32020,32020,"JEREZ",7.41,7.23,6.9,NA
32,32021,32021,"JIMENEZ DEL TEUL",1.9,2.86,0,NA
32,32022,32022,"JUAN ALDAMA",5.51,6.49,6,NA
32,32023,32023,"JUCHIPILA",5.4,5.57,6,NA
32,32024,32024,"LORETO",12.74,12.33,7.79,NA
32,32025,32025,"LUIS MOYA",11.01,5.5,8.61,NA
32,32026,32026,"MAZAPIL",2.36,4.23,0,NA
32,32027,32027,"MELCHOR OCAMPO",1.9,2.78,0,NA
32,32028,32028,"MEZQUITAL DEL ORO",2.3,2.99,0,NA
32,32029,32029,"MIGUEL AUZA",5.05,5.46,6,NA
32,32030,32030,"MOMAX",5.54,2.54,7,NA
32,32031,32031,"MONTE ESCOBEDO",3.69,3.05,6,NA
32,32032,32032,"MORELOS",13.15,9.22,9.54,NA
32,32033,32033,"MOYAHUA DE ESTRADA",5.11,2.85,6,NA
32,32034,32034,"NOCHISTLAN DE MEJIA",6.12,4.92,6,NA
32,32035,32035,"NORIA DE ANGELES",7.07,1,7,NA
32,32036,32036,"OJOCALIENTE",8.59,5.17,7,NA
32,32037,32037,"PANUCO",6.77,1.62,7,NA
32,32038,32038,"PINOS",5.4,2.63,6,NA
32,32039,32039,"RIO GRANDE",4.59,7.45,3.96,NA
32,32040,32040,"SAIN ALTO",3.72,3.25,5.77,NA
32,32041,32041,"EL SALVADOR",2.72,3.03,0,NA
32,32042,32042,"SOMBRERETE",5.56,4.25,6,NA
32,32043,32043,"SUSTICACAN",3.93,3.11,6,NA
32,32044,32044,"TABASCO",5.98,2.16,6.21,NA
32,32045,32045,"TEPECHITLAN",3.36,3.23,4.55,NA
32,32046,32046,"TEPETONGO",5.85,2.16,6.11,NA
32,32047,32047,"TEUL DE GONZALEZ ORTEGA",2.89,3.12,0.67,NA
32,32048,32048,"TLALTENANGO DE SANCHEZ ROMAN",6.6,6.71,6,NA
32,32049,32049,"VALPARAISO",3,3.94,0.05,NA
32,32050,32050,"VETAGRANDE",13.57,10.87,10.21,NA
32,32051,32051,"VILLA DE COS",3.01,3.25,1.24,NA
32,32052,32052,"VILLA GARCIA",7.62,2.47,7,NA
32,32053,32053,"VILLA GONZALEZ ORTEGA",7.4,2.67,6.85,NA
32,32054,32054,"VILLA HIDALGO",7.81,3.08,7,NA
32,32055,32055,"VILLANUEVA",5.4,3.76,6.15,NA
32,32056,32056,"ZACATECAS",16.62,18.56,7.93,NA
32,32057,32057,"TRANCOSO",9.54,6.19,7,NA
32,32058,32058,"SANTA MARIA DE LA PAZ",3.86,3.16,6,NA
