"edon","seccion","mean","sd","median","note"
1,1,9.56,3.8,10.42,""
1,2,15.73,0.24,15.79,""
1,3,9.35,2.52,8.79,""
1,4,14.7,7.23,13.09,""
1,5,8.41,5.55,5.94,""
1,6,25.66,8.07,23.26,""
1,7,3.99,9.08,0.59,""
1,8,15.41,3.16,14.97,""
1,9,46.66,7.01,48.61,""
1,10,52.62,3.7,54.34,""
1,11,38.07,10.96,39.28,""
1,12,54.34,NA,54.34,""
1,13,46.68,7.54,46.42,""
1,14,50.38,5.61,50.38,""
1,15,39.48,9.81,39.48,""
1,16,43.28,NA,43.28,""
1,17,18.94,NA,18.94,""
1,18,50.5,4.73,50.17,""
1,19,39.71,6.98,38.12,""
1,20,4.84,3.44,4.67,""
1,21,7.37,0.66,7.21,""
1,22,8.07,1.82,7.79,""
1,23,9.25,4.25,8.28,""
1,24,16.98,NA,16.98,""
1,25,7.89,3.51,7.07,""
1,26,15.68,0.06,15.68,""
1,27,13.59,NA,13.59,""
1,28,18.51,0.19,18.51,""
1,29,6.42,3.23,5.56,""
1,30,11.48,5.04,12.05,""
1,31,11.03,3.12,10.73,""
1,32,10.92,2.21,11.03,""
1,33,6.26,2.72,5.84,""
1,34,6.37,1.27,6.48,""
1,35,7.37,3.23,6.56,""
1,36,4.4,2.08,4.63,""
1,37,4.97,0.81,4.94,""
1,38,4.4,1.44,4.2,""
1,39,3.54,2.37,4.27,""
1,40,5.93,3.5,4.79,""
1,41,9.65,1.99,9.65,""
1,42,13.45,1.71,13.45,""
1,43,17.44,5.83,15.72,""
1,44,17.52,9.81,13.31,""
1,45,45.59,NA,45.59,""
1,46,42.8,10.64,45.59,""
1,47,46.13,5.19,45.4,""
1,48,40.13,5.29,41.36,""
1,49,16.5,3.37,17.2,""
1,50,9.45,7.77,6.75,""
1,51,28.91,14.28,30.53,""
1,52,42.98,4.82,44.02,""
1,53,13.15,8.26,9.45,""
1,54,47.2,NA,47.2,""
1,55,45.6,2.27,45.6,""
1,56,45.94,4.8,46.84,""
1,57,50.66,4.89,50.66,""
1,58,54.12,NA,54.12,""
1,59,54.8,0.96,54.8,""
1,60,10.19,3.57,8.59,""
1,61,28.38,19.2,18.88,""
1,62,61.99,0.02,61.99,""
1,63,49.89,5.19,48.92,""
1,64,16.64,13.14,11.17,""
1,65,20.36,5.26,20.72,""
1,66,57.8,1.12,57.8,""
1,67,61.9,0.13,61.9,""
1,68,60.26,1.79,60.32,""
1,69,57.11,2.15,57.11,""
1,70,36.65,5.69,37.11,""
1,71,40.22,6.94,39.51,""
1,72,46.61,4.93,46.61,""
1,73,58.94,4.37,61.12,""
1,74,5.14,2.62,4.9,""
1,75,61.37,0.65,61.21,""
1,76,58.77,4.48,61.15,""
1,77,11.9,7.71,8.65,""
1,78,25.12,6.24,24.64,""
1,79,20.72,12.58,16.21,""
1,80,26.23,17.11,19.8,""
1,82,7.56,1.75,7.47,""
1,83,6.86,7.97,4.55,""
1,84,8.57,2.98,8.22,""
1,85,0.97,2.04,0,""
1,86,1.37,2.28,0,""
1,87,0.58,1.44,0,""
1,88,1.03,1.94,0,""
1,89,7.78,1.03,8.01,""
1,90,6.72,3.17,7.4,""
1,91,32.41,NA,32.41,""
1,92,32.57,1.74,32.1,""
1,93,14.92,7.14,14.33,""
1,94,17.06,9.04,16.14,""
1,95,28.35,3.36,27.47,""
1,96,14.29,6.14,12.88,""
1,97,22.52,7.25,21.99,""
1,99,29.37,NA,29.37,""
1,100,27.37,5.87,28.18,""
1,101,42.72,2.1,42.72,""
1,102,45.91,1.61,45.91,""
1,103,42.03,NA,42.03,""
1,104,43.22,3.4,42.03,""
1,105,43.71,2.94,43.6,""
1,106,38.12,9.99,38.12,""
1,107,40.58,NA,40.58,""
1,108,42.88,3.25,42.88,""
1,109,32.21,5.44,31.91,""
1,110,2.85,3.1,2.97,""
1,111,0.32,1.25,0,""
1,112,1.46,2.3,0,""
1,113,22.17,NA,22.17,""
1,114,20.74,0.78,20.74,""
1,115,17.62,NA,17.62,""
1,116,5.36,3.92,5.73,""
1,117,55.38,4.42,55.38,""
1,118,62,0,62,""
1,119,62,0,62,""
1,120,62,NA,62,""
1,121,62,0,62,""
1,122,62,0,62,""
1,123,61.99,0.03,62,""
1,124,62,0,62,""
1,125,62,NA,62,""
1,126,62,0,62,""
1,127,61.99,0.02,62,""
1,128,62,NA,62,""
1,129,62,NA,62,""
1,130,62,NA,62,""
1,131,62,NA,62,""
1,132,62,NA,62,""
1,133,62,NA,62,""
1,134,61.97,0.04,61.97,""
1,135,60.71,1.52,61.19,""
1,136,56.88,2.3,56.88,""
1,137,62,NA,62,""
1,138,62,NA,62,""
1,139,62,NA,62,""
1,140,62,0,62,""
1,141,62,0,62,""
1,142,61.72,0.32,61.84,""
1,143,61.95,0.07,61.98,""
1,144,61.98,0.02,61.98,""
1,145,61.98,0.02,61.98,""
1,146,62,0,62,""
1,147,61.97,NA,61.97,""
1,148,60.5,1.68,61.21,""
1,149,62,NA,62,""
1,150,62,0,62,""
1,151,61.93,NA,61.93,""
1,152,61.93,NA,61.93,""
1,153,61.47,NA,61.47,""
1,154,62,0,62,""
1,155,62,0,62,""
1,156,60.71,NA,60.71,""
1,157,62,0,62,""
1,158,62,0,62,""
1,159,62,0,62,""
1,160,62,0,62,""
1,161,60.71,NA,60.71,""
1,162,60.82,1.21,61.21,""
1,163,59.57,1.89,59.75,""
1,164,59,2.41,59,""
1,165,62,0,62,""
1,167,62,0,62,""
1,168,62,NA,62,""
1,169,62,0,62,""
1,170,62,NA,62,""
1,171,62,0,62,""
1,172,62,NA,62,""
1,173,62,NA,62,""
1,174,62,0,62,""
1,175,62,0,62,""
1,176,62,0,62,""
1,177,62,0,62,""
1,178,62,NA,62,""
1,179,62,NA,62,""
1,180,62,NA,62,""
1,181,62,0,62,""
1,182,62,NA,62,""
1,183,62,0,62,""
1,184,62,NA,62,""
1,185,62,0,62,""
1,186,62,0,62,""
1,187,62,NA,62,""
1,188,62,NA,62,""
1,189,62,NA,62,""
1,190,62,0,62,""
1,191,62,0,62,""
1,192,62,NA,62,""
1,193,62,0,62,""
1,194,62,NA,62,""
1,195,62,NA,62,""
1,196,62,0,62,""
1,197,62,NA,62,""
1,198,62,NA,62,""
1,199,62,0,62,""
1,200,61.98,0.04,62,""
1,201,61.98,0.04,62,""
1,202,62,0,62,""
1,203,61.96,0.05,61.96,""
1,204,61.96,0.05,61.96,""
1,205,61.96,0.05,61.96,""
1,206,62,0,62,""
1,207,62,0,62,""
1,208,62,0,62,""
1,209,62,0,62,""
1,210,62,NA,62,""
1,211,62,NA,62,""
1,212,62,NA,62,""
1,213,62,0,62,""
1,214,61.96,0.07,62,""
1,215,62,0,62,""
1,216,61.86,NA,61.86,""
1,217,62,NA,62,""
1,218,62,0,62,""
1,219,62,NA,62,""
1,220,61.99,0.02,62,""
1,221,62,0,62,""
1,222,62,0,62,""
1,223,62,0,62,""
1,224,62,NA,62,""
1,225,62,NA,62,""
1,226,62,0,62,""
1,227,62,0,62,""
1,228,61.93,0.1,61.93,""
1,229,61.86,NA,61.86,""
1,230,61.36,0.71,61.36,""
1,231,61.57,0.63,61.86,""
1,232,61.56,0.62,61.84,""
1,233,62,0,62,""
1,234,61.92,0.11,61.92,""
1,235,61.92,0.11,61.92,""
1,236,61.96,0.08,62,""
1,237,61.92,0.11,61.92,""
1,238,62,0,62,""
1,239,61.95,0.09,62,""
1,240,62,0,62,""
1,241,62,0,62,""
1,242,61.98,0.03,61.98,""
1,243,62,0,62,""
1,244,62,NA,62,""
1,245,62,0,62,""
1,246,62,NA,62,""
1,247,61.92,0.11,61.92,""
1,248,61.92,0.11,61.92,""
1,249,61.84,NA,61.84,""
1,250,61.84,NA,61.84,""
1,251,61.35,0.7,61.35,""
1,252,60.85,NA,60.85,""
1,253,61.36,0.71,61.36,""
1,254,61.05,0.73,60.85,""
1,255,60.85,NA,60.85,""
1,256,62,0,62,""
1,257,60.65,0.29,60.65,""
1,258,60.65,0.29,60.65,""
1,259,60.68,1.58,60.85,""
1,260,62,0,62,""
1,261,62,NA,62,""
1,262,62,NA,62,""
1,263,61.98,0.03,61.98,""
1,264,62,NA,62,""
1,265,62,NA,62,""
1,266,62,NA,62,""
1,267,62,0,62,""
1,268,62,NA,62,""
1,269,61.91,0.12,61.91,""
1,270,61.83,NA,61.83,""
1,271,61.91,0.12,61.91,""
1,272,62,NA,62,""
1,273,61.91,0.12,61.91,""
1,274,61.89,0.1,61.89,""
1,275,61.49,0.49,61.67,""
1,276,62,0,62,""
1,277,62,0,62,""
1,278,62,NA,62,""
1,279,61.74,0.41,62,""
1,280,62,0,62,""
1,281,62,0,62,""
1,282,62,0,62,""
1,283,62,0,62,""
1,284,62,NA,62,""
1,285,62,0,62,""
1,286,62,NA,62,""
1,287,62,0,62,""
1,288,62,0,62,""
1,289,62,NA,62,""
1,290,62,0,62,""
1,291,62,NA,62,""
1,292,62,NA,62,""
1,293,62,0,62,""
1,294,62,NA,62,""
1,295,61.93,0.1,61.93,""
1,296,61.93,0.1,61.93,""
1,297,61.82,NA,61.82,""
1,298,60.64,1.62,61.27,""
1,299,59.14,1.48,58.41,""
1,300,58.3,2.07,58.29,""
1,301,61.82,NA,61.82,""
1,302,61.82,NA,61.82,""
1,303,61.82,NA,61.82,""
1,304,61.13,0.97,61.13,""
1,305,61.38,0.81,61.82,""
1,306,61.05,0.73,60.85,""
1,307,60.65,0.29,60.65,""
1,308,61.13,0.97,61.13,""
1,309,61.13,0.97,61.13,""
1,310,61.13,0.97,61.13,""
1,311,60.45,NA,60.45,""
1,312,61.96,0.08,62,""
1,313,62,0,62,""
1,314,62,0,62,""
1,315,62,0,62,""
1,316,62,NA,62,""
1,317,62,0,62,""
1,318,NA,NA,NA,"shapefile corrupted"
1,320,62,NA,62,""
1,321,62,0,62,""
1,322,62,NA,62,""
1,323,62,0,62,""
1,324,62,0,62,""
1,325,62,0,62,""
1,326,62,NA,62,""
1,327,62,0,62,""
1,328,62,0,62,""
1,329,62,0,62,""
1,330,62,0,62,""
1,331,62,NA,62,""
1,332,62,NA,62,""
1,333,62,0,62,""
1,334,62,NA,62,""
1,335,62,0,62,""
1,336,62,NA,62,""
1,337,62,NA,62,""
1,338,62,0,62,""
1,339,62,0,62,""
1,340,62,0,62,""
1,341,62,0,62,""
1,342,62,0,62,""
1,343,62,0,62,""
1,344,62,0,62,""
1,345,62,0,62,""
1,346,62,0,62,""
1,347,62,0,62,""
1,348,61.33,1.63,62,""
1,349,56.89,4.69,56.89,""
1,350,58.08,5.13,60.21,""
1,351,62,NA,62,""
1,352,62,NA,62,""
1,353,62,0,62,""
1,354,62,NA,62,""
1,355,62,0,62,""
1,356,62,0,62,""
1,357,62,0,62,""
1,358,62,0,62,""
1,359,62,NA,62,""
1,360,61.8,0.28,61.8,""
1,361,62,0,62,""
1,362,62,NA,62,""
1,363,62,0,62,""
1,364,62,NA,62,""
1,365,62,NA,62,""
1,366,62,NA,62,""
1,367,62,0,62,""
1,368,62,NA,62,""
1,369,62,0,62,""
1,370,62,0,62,""
1,371,62,NA,62,""
1,372,62,NA,62,""
1,373,62,0,62,""
1,374,62,0,62,""
1,375,62,0,62,""
1,376,62,NA,62,""
1,377,61.23,0.9,61.29,""
1,378,62,NA,62,""
1,379,62,0,62,""
1,380,62,0,62,""
1,381,62,NA,62,""
1,382,62,0,62,""
1,383,62,NA,62,""
1,384,62,0,62,""
1,385,62,NA,62,""
1,386,62,0,62,""
1,387,61.44,0.69,61.59,""
1,388,62,0,62,""
1,389,61.59,0.58,61.59,""
1,390,62,NA,62,""
1,391,62,NA,62,""
1,392,61.59,0.58,61.59,""
1,393,61.59,0.58,61.59,""
1,394,61.03,NA,61.03,""
1,395,61.11,0.1,61.11,""
1,396,61.49,0.64,61.49,""
1,397,62,0,62,""
1,398,62,0,62,""
1,399,62,NA,62,""
1,400,62,0,62,""
1,401,62,NA,62,""
1,402,62,0,62,""
1,403,62,NA,62,""
1,404,62,0,62,""
1,405,62,0,62,""
1,406,62,0,62,""
1,407,62,0,62,""
1,408,62,0,62,""
1,409,62,0,62,""
1,410,62,0,62,""
1,411,62,NA,62,""
1,412,62,NA,62,""
1,413,62,0,62,""
1,414,62,NA,62,""
1,415,62,0,62,""
1,416,4.09,3.26,4.22,""
1,417,19.98,10.65,17.92,""
1,418,18.72,1.83,18.65,""
1,419,47.32,4.7,47.32,""
1,420,15.22,9.72,11.81,""
1,421,32.91,12.18,36.52,""
1,422,50.64,NA,50.64,""
1,423,19.47,7.12,19.31,""
1,424,29.88,2.83,28.97,""
1,425,12.44,5.26,11.12,""
1,426,14.4,3.82,13.21,""
1,427,19.13,4.86,19.13,""
1,428,5.45,1.14,5,""
1,429,7.8,3.21,7,""
1,430,15.88,11.64,11.47,""
1,431,32.57,11.71,31.23,""
1,432,42.33,15.21,47.03,""
1,433,62,NA,62,""
1,434,58.35,3.51,59.12,""
1,435,62,0,62,""
1,436,62,NA,62,""
1,437,61.54,0.5,61.56,""
1,438,61.03,NA,61.03,""
1,439,62,0,62,""
1,440,41.77,4.6,41.77,""
1,441,11.05,0.88,11,""
1,442,7.6,3.66,6.87,""
1,443,5.45,2.04,4.6,""
1,444,16.82,3.72,17.02,""
1,445,5.72,7.32,3.87,""
1,446,10.83,3.86,9.43,""
1,447,8.42,6.07,6.37,""
1,448,9.02,6.07,6.9,""
1,449,5.97,2.55,5,""
1,450,4.35,4.08,4.98,""
1,451,5.77,3.39,5.84,""
1,452,6.07,2.56,5.7,""
1,453,7.87,6.83,5,""
1,454,7.71,4.26,5.75,""
1,455,5.99,4.23,5,""
1,456,6.29,3.25,6.7,""
1,457,1.65,3.09,0,""
1,458,1.21,1.96,0,""
1,459,2.72,1.9,3.99,""
1,460,0.45,1.11,0,""
1,461,21.23,9.51,19.39,""
1,462,4.51,0.69,4.22,""
1,463,7.48,4.76,7.25,""
1,464,59.49,3.82,60.76,""
1,465,34.9,15.03,37.32,""
1,466,9.31,3.04,8.99,""
1,467,10.49,6.01,7.79,""
1,468,46.98,9.58,48.33,""
1,469,5.16,2.93,4.67,""
1,470,16.6,NA,16.6,""
1,471,62,0,62,""
1,472,8.31,4.55,6.59,""
1,473,34.94,12.09,33.35,""
1,474,9.37,5.47,7.97,""
1,475,4.03,2.81,4,""
1,476,62,NA,62,""
1,477,60.63,1.41,61.1,""
1,478,62,0,62,""
1,479,60.08,0.89,60.08,""
1,480,59.44,NA,59.44,""
1,481,59.44,NA,59.44,""
1,482,59.44,NA,59.44,""
1,483,60.08,0.89,60.08,""
1,484,60.08,0.89,60.08,""
1,485,60.08,0.89,60.08,""
1,486,60.08,0.89,60.08,""
1,488,55.25,NA,55.25,""
1,489,54.24,4.51,54.49,""
1,490,56.59,4.04,56.59,""
1,491,57.79,3.05,58.37,""
1,492,56.82,2.89,57.3,""
1,493,56.82,2.89,57.3,""
1,494,56.59,4.04,56.59,""
1,495,48.38,6.17,48.99,""
1,496,51.12,3.69,51.12,""
1,497,51.88,4.77,51.88,""
1,498,51.88,4.77,51.88,""
1,499,44.39,5.83,44.39,""
1,500,44.39,5.83,44.39,""
1,501,48.52,NA,48.52,""
1,502,51.12,3.69,51.12,""
1,503,53.73,NA,53.73,""
1,504,53.73,NA,53.73,""
1,505,51.12,3.69,51.12,""
1,506,48.16,5.76,48.52,""
1,507,51.12,3.69,51.12,""
1,508,42.24,8.87,42.24,""
1,509,42.24,8.87,42.24,""
1,510,45.11,7.7,45.37,""
1,511,43.97,9.01,42.23,""
1,512,47.98,8.13,47.98,""
1,513,61.29,1,61.29,""
1,514,51.54,NA,51.54,""
1,515,61.29,1,61.29,""
1,516,60.58,NA,60.58,""
1,517,60.58,NA,60.58,""
1,518,60.58,NA,60.58,""
1,519,60.58,NA,60.58,""
1,520,58.18,4.68,60.58,""
1,521,60.88,0.42,60.88,""
1,522,60.88,0.42,60.88,""
1,523,61.18,NA,61.18,""
1,524,57.62,3.98,58.25,""
1,525,61.18,NA,61.18,""
1,526,61.18,NA,61.18,""
1,527,58.55,3.71,58.55,""
1,528,58.55,3.71,58.55,""
1,529,61.18,NA,61.18,""
1,530,61.11,0.1,61.11,""
1,531,58.55,3.71,58.55,""
1,532,58.46,3.06,58.48,""
1,533,61.11,0.1,61.11,""
1,534,61.03,NA,61.03,""
1,535,58.37,3.77,58.37,""
1,536,50.47,7.72,50.47,""
1,537,52.79,NA,52.79,""
1,538,35.29,6.48,35.83,""
1,539,18.71,1.65,18.71,""
1,540,13.45,1.16,13.47,""
1,541,12.66,NA,12.66,""
1,542,55.7,NA,55.7,""
1,543,55.7,NA,55.7,""
1,544,53.87,2.59,53.87,""
1,545,53.87,2.59,53.87,""
1,546,53.87,2.59,53.87,""
1,547,50.15,6.69,52.03,""
1,548,47.48,7.64,47.38,""
1,549,52.03,NA,52.03,""
1,550,52.03,NA,52.03,""
1,551,45.76,8.88,45.76,""
1,552,45.76,8.88,45.76,""
1,553,25.91,9.76,24.59,""
1,554,52.03,NA,52.03,""
1,555,52.03,NA,52.03,""
1,556,55.27,4.58,55.27,""
1,557,49.47,NA,49.47,""
1,558,61.8,0.28,61.8,""
1,559,61.6,NA,61.6,""
1,560,59.81,2.53,59.81,""
1,561,59.81,2.53,59.81,""
1,562,58.02,NA,58.02,""
1,563,55.8,3.15,55.8,""
1,564,53.09,5.19,53.57,""
1,565,47.69,NA,47.69,""
1,566,52.85,7.31,52.85,""
1,567,59.17,1.63,59.17,""
1,568,60.49,1.79,60.96,""
1,569,61.8,0.28,61.8,""
1,570,61.8,0.28,61.8,""
1,571,61.9,0.2,62,""
1,572,62,0,62,""
1,573,62,NA,62,""
1,574,62,NA,62,""
1,575,61.16,1.18,61.16,""
1,576,61.16,1.18,61.16,""
1,577,59.17,1.63,59.17,""
1,578,54.39,5.82,54.78,""
1,579,60.33,NA,60.33,""
1,580,61.16,1.18,61.16,""
1,581,60.33,NA,60.33,""
1,582,60.33,NA,60.33,""
1,583,3.91,2.7,4.03,""
