"edon","seccion","mean","sd","median","note"
2,1,56.44,4.63,57.83,""
2,2,61.15,NA,61.15,""
2,3,61.01,0.95,61.01,""
2,4,62.57,NA,62.57,""
2,5,63,0,63,""
2,6,55.7,NA,55.7,""
2,7,61.02,2.25,61.02,""
2,8,59.43,NA,59.43,""
2,9,62.61,NA,62.61,""
2,10,62.47,0.63,62.64,""
2,11,62.64,NA,62.64,""
2,12,62.65,0.36,62.67,""
2,14,62.09,1.01,62.08,""
2,15,63,0,63,""
2,16,63,NA,63,""
2,17,63,NA,63,""
2,18,63,NA,63,""
2,19,62.91,0.18,63,""
2,20,63,0,63,""
2,21,62.61,0.58,62.82,""
2,22,63,NA,63,""
2,23,62.46,0.83,62.8,""
2,24,63,NA,63,""
2,25,62.9,0.19,63,""
2,26,62.92,0.17,63,""
2,27,63,NA,63,""
2,28,63,0,63,""
2,29,63,0,63,""
2,30,63,0,63,""
2,31,63,0,63,""
2,32,63,0,63,""
2,33,63,0,63,""
2,34,63,0,63,""
2,35,63,NA,63,""
2,36,61.58,1.44,62.41,""
2,37,63,NA,63,""
2,38,63,0,63,""
2,39,63,0,63,""
2,40,63,NA,63,""
2,41,63,0,63,""
2,42,63,NA,63,""
2,43,63,NA,63,""
2,44,63,0,63,""
2,45,63,0,63,""
2,46,63,NA,63,""
2,47,63,0,63,""
2,48,62.07,1.28,62.61,""
2,49,NA,NA,NA,""
2,50,NA,NA,NA,""
2,51,63,0,63,""
2,52,63,NA,63,""
2,53,63,0,63,""
2,54,63,NA,63,""
2,55,63,0,63,""
2,56,63,0,63,""
2,57,63,0,63,""
2,58,63,0,63,""
2,59,63,0,63,""
2,60,63,NA,63,""
2,61,61.63,1.52,62.14,""
2,62,61.86,NA,61.86,""
2,63,63,0,63,""
2,64,63,NA,63,""
2,65,63,0,63,""
2,66,63,NA,63,""
2,67,63,NA,63,""
2,68,63,NA,63,""
2,69,63,0,63,""
2,70,63,0,63,""
2,71,63,0,63,""
2,72,63,NA,63,""
2,73,63,0,63,""
2,74,63,0,63,""
2,75,63,0,63,""
2,76,63,0,63,""
2,77,63,NA,63,""
2,78,63,0,63,""
2,79,63,0,63,""
2,80,62.74,0.51,63,""
2,81,62.28,0.63,61.98,""
2,82,61.6,1.45,61.92,""
2,83,62.49,0.72,62.49,""
2,84,63,NA,63,""
2,85,63,NA,63,""
2,86,63,NA,63,""
2,87,62.85,0.22,62.85,""
2,88,62.86,0.2,62.86,""
2,89,63,0,63,""
2,90,63,0,63,""
2,91,63,0,63,""
2,92,62.76,0.47,63,""
2,93,61.57,1.61,62.02,""
2,94,60.62,1.92,60.62,""
2,95,59.57,NA,59.57,""
2,96,57.79,3.51,57.36,""
2,97,52.07,4.87,54.59,""
2,98,58.85,3.09,59.42,""
2,99,56.93,3.31,56.93,""
2,100,61.09,NA,61.09,""
2,101,62.05,NA,62.05,""
2,102,62.53,0.67,62.53,""
2,103,63,NA,63,""
2,104,62.89,0.22,63,""
2,105,62.76,0.22,62.72,""
2,106,62.57,NA,62.57,""
2,107,54.22,5.03,55.17,""
2,109,46.46,NA,46.46,""
2,110,62.77,0.18,62.76,""
2,111,61.35,NA,61.35,""
2,112,NA,NA,NA,""
2,113,62.33,NA,62.33,""
2,114,62.81,NA,62.81,""
2,115,62.64,NA,62.64,""
2,116,61.88,0.58,62.19,""
2,117,59.74,2.73,60.97,""
2,118,62.19,NA,62.19,""
2,119,59.99,0.88,59.99,""
2,120,59.36,NA,59.36,""
2,121,55.5,3.38,54.04,""
2,122,59.53,2.75,60.93,""
2,124,47.69,8.67,49.11,""
2,125,55.67,NA,55.67,""
2,127,59.26,NA,59.26,""
2,128,19.84,2.39,20.26,""
2,129,16.04,3.13,16.67,""
2,130,51.35,4.49,53.25,""
2,131,54.35,1.93,54.35,""
2,132,52.76,2.26,52.98,""
2,133,50.93,2.16,50.93,""
2,135,54.56,NA,54.56,""
2,136,52.2,4.48,52.2,""
2,137,51.59,3.34,50.37,""
2,138,51.85,3.86,52.47,""
2,139,50.37,NA,50.37,""
2,140,43.47,5.2,43.57,""
2,141,40.19,1.08,40.19,""
2,142,35.97,8.11,34.17,""
2,143,22.83,NA,22.83,""
2,144,20.5,NA,20.5,""
2,145,16.91,NA,16.91,""
2,146,21.62,NA,21.62,""
2,147,17.51,NA,17.51,""
2,148,14.33,2.09,14.33,""
2,149,9.73,8.18,8.43,""
2,150,28.38,NA,28.38,""
2,151,23.57,4.25,23.57,""
2,152,48.79,4.21,48.79,""
2,153,40.91,5.21,38.13,""
2,154,43.72,6.17,43.72,""
2,155,41.12,NA,41.12,""
2,156,45.34,4.92,45.23,""
2,157,49.34,NA,49.34,""
2,158,34.67,NA,34.67,""
2,159,46.5,6,46.63,""
2,160,46.5,6,46.63,""
2,161,51.28,NA,51.28,""
2,162,44.6,7.64,44.2,""
2,163,0.37,1.66,0,""
2,164,3.63,4.34,2.56,""
2,165,17.83,3.41,18.97,""
2,166,4.74,3.75,4.71,""
2,167,5.43,7.25,2.29,""
2,168,1.75,3.78,0,""
2,169,1.05,3.06,0,""
2,170,0.06,0.52,0,""
2,171,0.59,2.4,0,""
2,172,5.3,12.54,0,""
2,173,4.31,4.54,4.13,""
2,174,6.35,5.41,5.5,""
2,175,5.99,13.82,0,""
2,176,9.66,13.4,4.89,""
2,177,0.58,1.6,0,""
2,178,1.22,3.15,0,""
