"edon","seccion","mean","sd","median","note"
3,1,53.82,5.44,54.07,""
3,2,9.63,15.53,3.77,""
3,3,61.47,NA,61.47,""
3,4,60.62,0.78,60.63,""
3,5,56.08,3.6,54.55,""
3,6,33.03,NA,33.03,""
3,7,48.65,6.86,48.65,""
3,8,57.73,3.54,58.18,""
3,9,61.05,NA,61.05,""
3,10,61.09,0.05,61.09,""
3,11,58.48,3.01,58.61,""
3,12,58.61,3.46,58.61,""
3,13,2.72,6.89,0,""
3,14,12.77,12.46,7.18,""
3,15,55.6,NA,55.6,""
3,16,47.24,11.82,47.24,""
3,17,47.24,11.82,47.24,""
3,18,61.12,NA,61.12,""
3,19,61.78,NA,61.78,""
3,20,60.85,1.32,60.85,""
3,21,60.27,2.03,61.08,""
3,22,62.44,NA,62.44,""
3,23,58.3,3.23,58.34,""
3,24,55.42,NA,55.42,""
3,25,56.27,6.8,56.27,""
3,26,60.18,1.67,60.5,""
3,27,59.91,NA,59.91,""
3,28,46.99,10.41,52.24,""
3,29,45.79,NA,45.79,""
3,30,57.97,NA,57.97,""
3,31,44.28,10.89,44.52,""
3,32,37.58,NA,37.58,""
3,33,0.25,1.18,0,""
3,34,0.13,0.88,0,""
3,35,0.06,0.48,0,""
3,36,0,0.08,0,""
3,37,1.35,2.09,0,""
3,38,3.6,5.21,3.13,""
3,39,0,0.01,0,""
3,40,24.05,10.66,23.22,""
3,41,44.31,NA,44.31,""
3,42,40.02,NA,40.02,""
3,43,2.09,5.71,0,""
3,44,24.7,14.15,23.15,""
3,45,35.49,NA,35.49,""
3,46,1.65,4.48,0,""
3,47,12.81,0.93,12.81,""
3,48,0.21,1.07,0,""
3,49,0,0,0,""
3,50,0.61,1.54,0,""
3,51,0.97,2.14,0,""
3,52,0.45,1.37,0,""
3,53,0.81,1.73,0,""
3,54,0.3,1.18,0,""
3,55,2.25,2.53,0.86,""
3,56,0.48,1.84,0,""
3,57,11.16,NA,11.16,""
3,58,11.93,NA,11.93,""
3,59,0.79,3.43,0,""
3,60,NA,NA,NA,""
3,61,20.12,3.11,20.12,""
3,62,0,0,0,""
3,63,0.01,0.17,0,""
3,66,0.04,0.39,0,""
3,67,0.06,0.53,0,""
3,68,0.07,0.53,0,""
3,69,0.14,0.73,0,""
3,70,0.06,0.51,0,""
3,71,0.06,0.49,0,""
3,72,0.09,0.58,0,""
3,73,0.11,0.7,0,""
3,74,0,0,0,""
3,75,6.21,11.8,0,""
3,76,NA,NA,NA,""
3,77,52.27,3.05,52.27,""
3,78,48.08,NA,48.08,""
3,79,50.11,NA,50.11,""
3,80,NA,NA,NA,""
3,81,49.1,1.44,49.1,""
3,82,39.63,11.5,41.25,""
3,83,4.46,7.85,1.08,""
3,84,1.74,2.27,0.38,""
3,85,0.59,1.79,0,""
3,86,0.08,0.6,0,""
3,87,0.02,0.27,0,""
3,88,0.13,1,0,""
3,89,NA,NA,NA,""
3,90,12.66,0.63,12.66,""
3,91,0.15,1,0,""
3,92,1.83,6.72,0,""
3,93,44.61,NA,44.61,""
3,94,53.62,0.98,53.62,""
3,95,49.4,4.27,50.97,""
3,96,50.97,NA,50.97,""
3,97,45.39,3.78,45.39,""
3,98,34.89,3.74,34.89,""
3,99,0.21,1.26,0,""
3,101,0.04,0.52,0,""
3,102,0.13,0.78,0,""
3,103,10.23,2.4,9.78,""
3,104,1.93,5.93,0,""
3,105,0,0,0,""
3,107,10.86,2.52,10.86,""
3,108,0.09,0.86,0,""
