"edon","seccion","mean","sd","median","note"
4,1,NA,NA,NA,""
4,2,54.24,NA,54.24,""
4,3,NA,NA,NA,""
4,4,57.14,2.05,57.65,""
4,5,54.27,0.05,54.27,""
4,6,56.17,2.19,56.16,""
4,7,55.89,NA,55.89,""
4,8,56.17,2.19,56.16,""
4,9,58.13,NA,58.13,""
4,10,NA,NA,NA,""
4,11,NA,NA,NA,""
4,12,58.49,NA,58.49,""
4,13,NA,NA,NA,""
4,14,57.24,1.91,57.24,""
4,15,57.67,1.37,57.95,""
4,16,58.09,1.13,58.09,""
4,17,55.06,4.84,56.53,""
4,18,59,NA,59,""
4,19,58.89,NA,58.89,""
4,20,58.74,0.21,58.74,""
4,21,58.6,NA,58.6,""
4,22,58.54,0.08,58.54,""
4,23,58.54,0.08,58.54,""
4,24,58.74,0.36,58.74,""
4,25,58.56,0.59,58.74,""
4,26,58.41,0.63,58.49,""
4,27,57.75,NA,57.75,""
4,28,58.62,NA,58.62,""
4,29,58.46,0.64,58.62,""
4,30,58.46,0.64,58.62,""
4,31,58.83,0.3,59,""
4,32,58.77,0.27,58.8,""
4,33,58.8,0.28,58.8,""
4,34,58.87,0.19,58.94,""
4,35,58.83,0.21,58.89,""
4,36,58.94,0.08,58.94,""
4,37,58.97,0.06,59,""
4,38,59,0,59,""
4,39,59,NA,59,""
4,40,59,NA,59,""
4,41,59,0,59,""
4,42,59,0,59,""
4,43,59,NA,59,""
4,44,59,NA,59,""
4,45,59,0,59,""
4,46,59,NA,59,""
4,47,59,0,59,""
4,48,59,NA,59,""
4,49,58.87,0.22,59,""
4,50,NA,NA,NA,""
4,51,NA,NA,NA,""
4,52,NA,NA,NA,""
4,53,58.39,NA,58.39,""
4,54,57.61,1.1,57.61,""
4,55,58.65,0.37,58.65,""
4,56,58.84,0.2,58.91,""
4,57,58.84,0.2,58.91,""
4,58,59,0,59,""
4,59,59,0,59,""
4,60,59,0,59,""
4,61,59,0,59,""
4,62,59,0,59,""
4,63,59,0,59,""
4,64,58.76,0.34,58.76,""
4,65,58.88,0.24,59,""
4,66,59,0,59,""
4,67,59,0,59,""
4,68,59,0,59,""
4,69,59,NA,59,""
4,70,59,NA,59,""
4,71,58.65,0.37,58.65,""
4,72,56.83,NA,56.83,""
4,73,57.24,1.55,57.24,""
4,74,58.12,0.9,58.36,""
4,75,58.92,NA,58.92,""
4,76,58.91,NA,58.91,""
4,77,58.97,0.05,59,""
4,78,59,0,59,""
4,79,53.36,5.65,53.86,""
4,80,59,NA,59,""
4,81,58.08,NA,58.08,""
4,82,58.4,0.17,58.4,""
4,83,59,NA,59,""
4,84,59,0,59,""
4,85,59,0,59,""
4,86,58.98,0.05,59,""
4,87,58.8,0.28,58.91,""
4,88,57.58,1.07,57.58,""
4,89,47.51,7.35,48.11,""
4,90,58.51,0.43,58.57,""
4,91,59,NA,59,""
4,92,58.97,0.05,59,""
4,93,59,NA,59,""
4,94,59,0,59,""
4,95,59,NA,59,""
4,96,59,0,59,""
4,97,59,0,59,""
4,98,59,0,59,""
4,99,59,0,59,""
4,100,57.99,NA,57.99,""
4,101,58.8,NA,58.8,""
4,102,58.93,0.1,58.96,""
4,103,59,NA,59,""
4,104,59,NA,59,""
4,105,59,0,59,""
4,106,59,NA,59,""
4,107,59,0,59,""
4,108,57.67,1.43,57.74,""
4,109,54,NA,54,""
4,110,44.25,4.54,45.93,""
4,111,56.75,2.13,57.09,""
4,112,38.46,15.45,41.06,""
4,113,49.03,NA,49.03,""
4,114,NA,NA,NA,""
4,115,49.03,NA,49.03,""
4,116,5.25,9.1,1.5,""
4,117,43.97,NA,43.97,""
4,118,11.14,2.21,11.74,""
4,119,9.91,1.14,10.12,""
4,120,5.22,3.16,4,""
4,121,10.86,4.71,10.38,""
4,122,22.49,16.34,17.49,""
4,123,2.36,2.58,1.27,""
4,124,6.05,10.81,3,""
4,125,22.27,15.11,19.09,""
4,126,28.8,1.44,28.8,""
4,127,5.52,5.78,3.97,""
4,128,3.99,1.89,4,""
4,129,3.37,3.27,3,""
4,130,2.52,2.82,1.14,""
4,131,3.67,2.81,3.59,""
4,132,1.8,2.12,0.04,""
4,133,2.23,1.94,3,""
4,134,1.81,2.04,1.23,""
4,135,2.16,2.4,1.16,""
4,136,0.44,1.14,0,""
4,137,0.89,1.36,0,""
4,138,0.99,1.94,0,""
4,139,0.85,2.16,0,""
4,140,2.23,3.7,0,""
4,141,15.7,0.07,15.7,""
4,142,4.05,4.84,1.81,""
4,143,0.73,1.35,0,""
4,144,0.76,1.32,0,""
4,145,0.64,1.67,0,""
4,146,0.39,1.2,0,""
4,147,17.05,13.36,11.82,""
4,148,15,12.55,12.92,""
4,149,52.99,NA,52.99,""
4,150,51.25,3.06,50.86,""
4,151,51.38,2.52,51.32,""
4,152,11.65,13.91,5.48,""
4,153,0.98,4.67,0,""
4,154,44.63,8.06,44,""
4,155,51.91,2.49,52.29,""
4,156,48.56,NA,48.56,""
4,157,0.17,1.33,0,""
4,158,2.5,2.89,1.01,""
4,159,31.65,NA,31.65,""
4,160,4.08,6.68,1.8,""
4,161,32.35,1.32,32.44,""
4,162,31.29,NA,31.29,""
4,163,33.23,NA,33.23,""
4,164,30.85,NA,30.85,""
4,165,1.69,2.14,0.37,""
4,166,26.88,1.7,26.88,""
4,167,9.44,6.06,8.11,""
4,168,26.66,NA,26.66,""
4,169,20.95,8.37,19.71,""
4,170,1.11,2.41,0,""
4,171,4.73,2.01,3.76,""
4,172,8.95,2.06,9.38,""
4,173,34.22,NA,34.22,""
4,174,1.72,6.18,0,""
4,175,35.8,NA,35.8,""
4,176,6.79,9.2,0.74,""
4,177,33.03,2.5,33.03,""
4,178,2.77,2.37,2.66,""
4,179,6.46,2.43,6.69,""
4,180,3.74,3.99,3.03,""
4,181,3.25,1.28,3.27,""
4,182,4.94,3.27,5.52,""
4,183,49.75,5.67,49.96,""
4,184,57.21,0,57.21,""
4,185,NA,NA,NA,""
4,186,NA,NA,NA,""
4,187,NA,NA,NA,""
4,188,55.31,NA,55.31,""
4,189,57.03,NA,57.03,""
4,190,57.36,NA,57.36,""
4,191,NA,NA,NA,""
4,192,NA,NA,NA,""
4,193,57.09,0.16,57.09,""
4,194,57.2,0.24,57.2,""
4,195,57.2,0.24,57.2,""
4,196,57.75,0.97,57.36,""
4,197,NA,NA,NA,""
4,198,52.2,NA,52.2,""
4,199,NA,NA,NA,""
4,200,58.35,NA,58.35,""
4,201,58.6,0.35,58.6,""
4,202,58.84,NA,58.84,""
4,203,58.03,0.97,58.1,""
4,204,58.84,0.06,58.84,""
4,205,56.8,NA,56.8,""
4,206,56.98,NA,56.98,""
4,207,57.76,0.99,57.36,""
4,208,58.88,NA,58.88,""
4,209,58.91,0.08,58.88,""
4,210,58.73,0.34,58.84,""
4,211,58.66,0.44,58.66,""
4,212,58.78,0.37,58.97,""
4,213,58.94,0.08,58.97,""
4,214,58.97,NA,58.97,""
4,215,58.97,NA,58.97,""
4,216,NA,NA,NA,""
4,217,59,NA,59,""
4,218,58.78,0.27,58.86,""
4,219,58.54,0.38,58.59,""
4,220,58.27,0.97,58.8,""
4,221,57.71,1.82,57.71,""
4,222,NA,NA,NA,""
4,223,NA,NA,NA,""
4,224,NA,NA,NA,""
4,225,57.71,1.82,57.71,""
4,226,57.47,1.44,57.4,""
4,227,57.82,1.54,58.38,""
4,228,58.38,NA,58.38,""
4,230,56.53,NA,56.53,""
4,231,58.88,NA,58.88,""
4,232,NA,NA,NA,""
4,233,NA,NA,NA,""
4,234,58.42,0.37,58.38,""
4,235,58.23,0.22,58.23,""
4,236,56.25,0.24,56.25,""
4,237,56.42,NA,56.42,""
4,239,NA,NA,NA,""
4,240,56.96,1.24,56.42,""
4,241,57.51,1.25,58.08,""
4,242,58.23,0.22,58.23,""
