"edon","seccion","mean","sd","median","note"
5,1,1.3,2.42,0,""
5,2,0.18,1.06,0,""
5,3,54.51,3.9,55.86,""
5,4,59.26,1.6,60.16,""
5,5,58.57,1.33,58.57,""
5,6,45.1,30.07,59.91,""
5,7,60.56,NA,60.56,""
5,8,60.43,0.61,60.56,""
5,10,49,12.75,53.18,""
5,11,60.31,NA,60.31,""
5,12,61,0,61,""
5,13,60.32,NA,60.32,""
5,14,59.99,NA,59.99,""
5,15,35.49,32.42,57.28,""
5,16,60.18,NA,60.18,""
5,17,60.59,0.29,60.56,""
5,18,60.55,NA,60.55,""
5,19,60.05,1.04,60.29,""
5,20,60.9,NA,60.9,""
5,21,60.39,0.5,60.49,""
5,22,60.66,0.33,60.66,""
5,23,60.39,0.37,60.3,""
5,24,60.37,0.46,60.18,""
5,25,57.28,NA,57.28,""
5,26,41.56,27.86,54.27,""
5,27,60.43,NA,60.43,""
5,28,58.07,1.92,58.21,""
5,29,59.7,NA,59.7,""
5,30,60.05,NA,60.05,""
5,31,39.98,11.87,38.84,""
5,32,60.24,0.27,60.24,""
5,33,56.49,5.74,56.49,""
5,34,51.83,6.93,51.83,""
5,35,51.45,7.07,51.45,""
5,36,46.19,8.99,46.2,""
5,37,56.11,NA,56.11,""
5,40,0,0,0,""
5,41,8.61,10.04,6.53,""
5,42,54.82,2.64,54.82,""
5,43,51.13,2.43,51.13,""
5,44,46.32,5.56,46.89,""
5,45,51.57,NA,51.57,""
5,46,56.01,NA,56.01,""
5,47,49.96,5.76,49.96,""
5,48,11,12.07,4.23,""
5,49,46.89,NA,46.89,""
5,50,52.73,NA,52.73,""
5,51,18.21,14.01,17.61,""
5,52,36.1,NA,36.1,""
5,53,39.39,NA,39.39,""
5,54,45.07,NA,45.07,""
5,55,4.28,4.84,1.57,""
5,56,0.83,1.52,0,""
5,57,21.68,9.17,19.03,""
5,58,35.32,6.53,36.67,""
5,59,5.7,8.29,3.3,""
5,60,0,0,0,""
5,61,0.42,1,0,""
5,62,0.09,0.58,0,""
5,63,1.61,3.88,0,""
5,64,2.05,2.46,0.89,""
5,65,0,0,0,""
5,66,1.98,2.38,0,""
5,67,3.45,3.4,3.65,""
5,68,0.7,1.46,0,""
