"edon","seccion","mean","sd","median","note"
6,1,59.47,0.66,59.85,""
6,2,59.4,0.62,59.46,""
6,3,60,0,60,""
6,4,60,NA,60,""
6,5,60,0,60,""
6,6,59.53,0.67,59.53,""
6,7,60,0,60,""
6,8,60,0,60,""
6,9,60,NA,60,""
6,10,60,0,60,""
6,11,59.99,0.01,59.99,""
6,12,60,NA,60,""
6,13,59.87,NA,59.87,""
6,14,60,0,60,""
6,15,60,0,60,""
6,16,60,0,60,""
6,17,60,NA,60,""
6,18,59.99,0.01,59.99,""
6,19,59.99,0.01,60,""
6,20,59.98,NA,59.98,""
6,21,59.8,0.23,59.87,""
6,22,59.73,NA,59.73,""
6,23,58.49,0.07,58.49,""
6,24,56.72,NA,56.72,""
6,25,60,0,60,""
6,26,60,0,60,""
6,27,60,NA,60,""
6,28,59.83,0.19,59.83,""
6,29,59.83,0.23,59.83,""
6,30,59.8,0.23,59.83,""
6,31,59.99,0.01,59.99,""
6,32,59.73,0.22,59.67,""
6,33,59.55,0.53,59.71,""
6,34,59.22,0.68,59.27,""
6,35,58.64,0.24,58.64,""
6,36,58.47,NA,58.47,""
6,37,54.97,3.12,54.66,""
6,38,60,0,60,""
6,39,59.83,0.23,59.83,""
6,40,59.83,0.23,59.83,""
6,41,59.83,0.23,59.83,""
6,42,59.67,NA,59.67,""
6,43,59.61,0.09,59.61,""
6,44,59.55,NA,59.55,""
6,45,58.81,NA,58.81,""
6,46,58.81,NA,58.81,""
6,47,60,NA,60,""
6,48,59.8,0.24,59.83,""
6,49,59.67,NA,59.67,""
6,50,58.44,1.73,58.44,""
6,51,59.61,0.09,59.61,""
6,52,59.18,0.52,59.18,""
6,53,58.64,0.24,58.64,""
6,54,59.53,NA,59.53,""
6,55,59.67,NA,59.67,""
6,56,59.67,0,59.67,""
6,57,58.45,1.34,58.45,""
6,58,58.2,1.18,58.09,""
6,59,57.07,NA,57.07,""
6,60,53.95,2.82,53.95,""
6,61,54.47,3.4,54.27,""
6,62,50.2,2.79,50.86,""
6,63,56.99,2.58,57.33,""
6,64,57.84,2.38,57.84,""
6,65,56.51,3.95,57.19,""
6,66,57.19,NA,57.19,""
6,67,58.44,1.42,58.44,""
6,68,51.42,5.76,52.5,""
6,69,53.13,NA,53.13,""
6,70,58.04,1.31,57.36,""
6,71,57.36,NA,57.36,""
6,72,57.21,0.21,57.21,""
6,73,54.3,3.96,53.75,""
6,74,56.16,NA,56.16,""
6,75,53.92,3.35,54.25,""
6,76,16.82,13.38,10.44,""
6,77,30.77,15.23,24.6,""
6,78,47.44,9.4,48.34,""
