"edon","seccion","mean","sd","median","note"
7,2,30.29,3.88,29.22,""
7,3,17.66,9.81,13.88,""
7,4,0.11,0.54,0,""
7,5,1.09,1.72,0,""
7,6,6.98,2.83,5.89,""
7,7,23,4.36,24.86,""
7,8,26.84,NA,26.84,""
7,9,5.19,6.12,4,""
7,10,21.14,NA,21.14,""
7,11,24.86,NA,24.86,""
7,12,14.56,NA,14.56,""
7,13,22.27,NA,22.27,""
7,14,1.79,2.63,0,""
7,15,2.63,4.29,0,""
7,16,5.78,2.88,5.85,""
7,17,4.08,3.33,4.13,""
7,18,3.95,1.66,4.54,""
7,19,3.74,4.11,3.09,""
7,20,3.76,2.72,4.82,""
7,21,16.55,5.82,16.95,""
7,22,8.02,2.88,7,""
7,23,22.33,NA,22.33,""
7,24,9.81,4.5,8.75,""
7,25,5.5,1.17,5,""
7,26,9.33,2.47,9.53,""
7,27,5.74,2.22,5,""
7,28,2.4,2.39,2.3,""
7,29,8.97,4.97,7,""
7,30,5.72,0.96,5.18,""
7,31,3.47,2.28,4.46,""
7,32,0,0,0,""
7,33,1.7,2.38,0,""
7,34,4.34,2.51,5.08,""
7,35,10.63,4.03,10.46,""
7,36,1.99,4.54,0,""
7,37,2.83,4.3,0,""
7,38,0.47,1.25,0,""
7,39,0,0,0,""
7,40,0.16,0.67,0,""
7,41,0.08,0.48,0,""
7,42,0,0,0,""
7,43,0,0,0,""
7,44,7.39,0.02,7.39,""
7,45,2.47,2.16,2.17,""
7,46,0.12,0.57,0,""
7,47,0.57,0.96,0,""
7,48,1.67,2.59,0,""
7,49,3.71,1.94,4,""
7,50,2.52,2.4,2.29,""
7,51,0.06,0.33,0,""
7,52,1.09,1.8,0.04,""
7,53,3.77,1.98,5,""
7,54,2.08,1.69,1.47,""
7,55,4.22,1.89,4.29,""
7,56,6.25,1.1,6.31,""
7,57,5.11,0.51,5.11,""
7,58,4.55,1.72,5,""
7,59,1.87,1.87,1.42,""
7,60,6.03,NA,6.03,""
7,61,6.64,1.44,6.7,""
7,62,7.15,0.77,7.33,""
7,63,4.96,2.17,5.69,""
7,64,2.77,1.81,3.42,""
7,65,1.94,2.18,1.24,""
7,66,3.41,1.8,4,""
7,67,2.18,2.39,1.38,""
7,68,10.76,1.76,10.76,""
7,69,6.56,4.55,6.07,""
7,70,0.3,1.04,0,""
7,71,6.36,2,5.86,""
7,72,22.58,NA,22.58,""
7,73,18.08,2.64,17.9,""
7,74,19.84,0.49,19.84,""
7,75,20.33,1.91,20.41,""
7,76,2.59,2.76,2.89,""
7,77,1.29,3.56,0,""
7,78,3.42,2.33,4.07,""
7,79,0.03,0.2,0,""
7,80,0,0,0,""
7,81,0.88,1.54,0,""
7,82,0.11,0.59,0,""
7,83,0.66,1.54,0,""
7,84,0,0,0,""
7,85,0,0,0,""
7,86,0,0,0,""
7,87,0.29,0.89,0,""
7,88,48.18,NA,48.18,""
7,89,56.74,NA,56.74,""
7,90,52.6,NA,52.6,""
7,91,42.95,0.78,42.95,""
7,92,18.92,12.82,15.39,""
7,93,45.64,5.8,45.51,""
7,94,52.28,4.62,52.6,""
7,95,40.7,9.64,40.7,""
7,96,51.89,4.63,51.42,""
7,97,53.72,3.05,53.67,""
7,98,51.19,4.54,50.79,""
7,99,51.42,NA,51.42,""
7,100,33.57,7.99,37.63,""
7,101,0.95,2.03,0,""
7,102,1.64,5.1,0,""
7,103,5.01,1.07,5,""
7,104,2.36,2.8,1.05,""
7,105,15.03,13.78,8.37,""
7,106,7.05,8.46,3.75,""
7,107,1.68,3.94,0,""
7,108,1.33,2.19,0,""
7,109,2,2.45,0.17,""
7,110,0.91,1.98,0,""
7,111,3.82,3.14,4.61,""
7,112,7.95,NA,7.95,""
7,113,2.98,1.5,3.37,""
7,114,0.03,0.09,0,""
7,115,2.05,1.96,1.9,""
7,116,5.09,0.15,5,""
7,117,0,0,0,""
7,118,0,0,0,""
7,119,0.45,0.9,0,""
7,120,2.3,1.95,2.59,""
7,121,4.53,0.47,4.55,""
7,122,4.68,0.64,4.65,""
7,123,3.97,2.4,4.35,""
7,124,2.65,2.27,2.85,""
7,125,0.74,1.38,0,""
7,126,0.8,1.28,0,""
7,127,1.89,1.96,1.35,""
7,128,2.01,1.81,2.35,""
7,129,4.63,0.98,4.65,""
7,130,48.94,1.36,48.94,""
7,131,47.13,2.54,47.38,""
7,132,39.28,7.97,40.8,""
7,133,37.86,5.83,37.86,""
7,134,38.9,7.83,41.99,""
7,135,45.83,3.35,45.71,""
7,136,17.61,9.69,15.79,""
7,137,4.07,2.76,4.6,""
7,138,3.78,2.68,4.39,""
7,139,2.92,2.22,2.4,""
7,140,0.83,1.3,0,""
7,141,3.15,2.22,3.88,""
7,142,8.22,8.53,5,""
7,143,9.5,6.12,7.83,""
7,144,27.01,1.42,27.04,""
7,145,26.6,NA,26.6,""
7,146,24.49,2.98,24.45,""
7,147,21.58,NA,21.58,""
7,148,0.13,0.55,0,""
7,149,1.43,1.73,0.57,""
7,150,1.47,1.86,0,""
7,151,8.24,6.88,6.71,""
7,152,5.93,5.69,5.03,""
7,153,7.97,3.81,6.94,""
7,154,4.65,1.96,5,""
7,155,15.61,NA,15.61,""
7,156,15.5,0.64,15.5,""
7,157,9.15,2.81,8.78,""
7,158,5.43,2.09,5.74,""
7,159,6.27,4.55,5.74,""
7,161,5.47,0.52,5.43,""
7,162,4.66,0.81,4.97,""
7,163,29.1,NA,29.1,""
7,164,27.16,NA,27.16,""
7,165,29.32,NA,29.32,""
7,166,28.06,1.62,28.51,""
7,167,25.29,NA,25.29,""
7,168,24.38,3.18,23.82,""
7,169,23.82,NA,23.82,""
7,170,0.53,1.15,0,""
7,171,2.77,2.45,3.44,""
7,172,2.09,2.43,0.61,""
7,173,7.32,1.27,7.12,""
7,174,7.46,1.46,7.39,""
7,175,7.41,0.63,7.17,""
7,176,9.32,1.07,9.09,""
7,177,8.31,0.87,8.47,""
7,178,13.61,1.66,13.58,""
7,179,11.9,1.12,12.25,""
7,180,12.24,2.01,12.52,""
7,181,10.43,2.06,10.21,""
7,182,14.95,2.69,14.95,""
7,183,13,0,13,""
7,184,15.05,0.87,15.35,""
