"edon","seccion","mean","sd","median","note"
8,1,0.05,1.06,0,""
8,2,38.9,4.45,38.9,""
8,3,18.6,NA,18.6,""
8,4,32.34,4.58,32.34,""
8,5,35.57,NA,35.57,""
8,6,0.52,2.89,0,""
8,7,25.35,8.84,25.24,""
8,8,22.22,9.72,22.22,""
8,10,0,0,0,""
8,11,0.04,0.29,0,""
8,12,0,0,0,""
8,13,0.02,0.23,0,""
8,14,0,0,0,""
8,15,0.01,0.23,0,""
8,16,0.01,0.16,0,""
8,17,22.81,4.91,22.42,""
8,18,21.5,3.54,20.37,""
8,19,21.17,5.66,20.51,""
8,20,21.54,NA,21.54,""
8,21,20.65,6.3,20.86,""
8,22,28.14,NA,28.14,""
8,23,26.55,1.87,27.01,""
8,24,23.59,3.53,23.01,""
8,25,22.34,3.05,22.34,""
8,26,24.49,NA,24.49,""
8,27,13.34,NA,13.34,""
8,28,19.69,6.5,20.06,""
8,30,0,0,0,""
8,31,0,0,0,""
8,32,0,0,0,""
8,33,0.14,1.2,0,""
8,34,3.56,2.26,4.12,""
8,35,0.03,0.3,0,""
8,36,0,0,0,""
8,37,0,0,0,""
8,38,0.28,1.32,0,""
8,39,11.53,NA,11.53,""
8,40,7.48,0.22,7.48,""
8,41,0.32,1.52,0,""
8,42,0.08,0.47,0,""
8,43,0.46,1.12,0,""
8,44,0,0.02,0,""
8,45,0,0,0,""
8,46,0,0,0,""
8,47,0,0,0,""
8,48,0,0,0,""
8,49,0.13,1.04,0,""
8,50,0,0,0,""
8,51,0.07,0.45,0,""
8,52,0.59,1.39,0,""
8,53,3.77,2.49,4.94,""
8,54,2.03,2.61,0.83,""
8,55,0.06,0.35,0,""
8,56,8.82,1.34,8.15,""
8,57,13.5,0.74,13.5,""
8,58,0.69,1.85,0,""
8,59,3.2,3.76,0,""
8,60,29.12,NA,29.12,""
8,61,25.95,NA,25.95,""
8,62,22.49,NA,22.49,""
8,63,25.22,NA,25.22,""
8,64,0.89,3.54,0,""
8,65,18.23,NA,18.23,""
8,66,19.6,4.13,18.23,""
8,67,16.78,NA,16.78,""
8,68,9.83,3.14,9.83,""
8,69,14.54,3.49,14.42,""
8,70,9.78,NA,9.78,""
8,71,11.11,NA,11.11,""
8,72,10.28,2.24,9.33,""
8,73,13.34,NA,13.34,""
8,74,11.61,NA,11.61,""
8,75,0.03,0.44,0,""
8,76,10.65,NA,10.65,""
8,78,4.7,0.99,4.83,""
8,79,0.06,0.53,0,""
8,80,0,0,0,""
8,81,0.07,0.76,0,""
8,82,4.87,0.51,5.09,""
8,83,0.23,1.12,0,""
8,84,0.49,1.27,0,""
8,85,1.32,1.86,1.32,""
8,86,0,0,0,""
8,87,0.05,0.42,0,""
8,88,0,0,0,""
8,89,0,0,0,""
8,90,0.02,0.17,0,""
8,91,0,0,0,""
8,92,0,0,0,""
8,93,0,0,0,""
8,94,0,0,0,""
8,95,0,0,0,""
8,97,0.54,1.4,0,""
8,98,0,0,0,""
8,99,5.58,1.12,6,""
8,100,5.43,0.52,5.05,""
8,101,0,NA,0,""
8,102,0.23,1.1,0,""
8,103,0.22,1.1,0,""
8,104,0,0,0,""
8,105,0,0,0,""
8,106,0,0,0,""
8,107,0,0,0,""
8,108,0,0,0,""
8,109,0,0,0,""
8,110,0,0,0,""
8,111,0,0,0,""
8,112,0,0,0,""
8,113,0,0,0,""
8,114,0,0,0,""
8,115,0,0,0,""
8,116,0,0,0,""
8,117,0,0,0,""
8,118,0,0,0,""
8,119,0,0,0,""
8,120,0,0,0,""
8,121,0,0,0,""
8,122,0,0,0,""
8,123,0,0,0,""
8,124,0,0,0,""
8,125,0,0,0,""
8,126,0,0,0,""
8,127,0,0,0,""
8,128,0,0,0,""
8,129,8.3,0.68,8.3,""
8,130,0.32,1.3,0,""
8,131,9.02,NA,9.02,""
8,132,9.73,NA,9.73,""
8,133,8.11,0.53,8.29,""
8,134,6.6,NA,6.6,""
8,135,8.03,0.02,8.04,""
8,136,7.06,NA,7.06,""
8,137,0.27,1.33,0,""
8,138,0.21,1.14,0,""
8,139,0,0,0,""
8,140,0,0,0,""
8,141,0,0,0,""
8,142,0,0.04,0,""
8,143,0.77,1.95,0,""
8,144,0,0,0,""
8,145,0,0,0,""
8,146,0,0,0,""
8,147,0,0,0,""
8,148,0,0,0,""
8,149,19.17,2.49,19.17,""
8,150,19.66,3.17,20.47,""
8,151,20.01,NA,20.01,""
8,152,16.45,2.91,15.36,""
8,153,12.33,4.58,12.33,""
8,154,15.36,NA,15.36,""
8,155,15.32,NA,15.32,""
8,156,12.32,NA,12.32,""
8,157,11.99,NA,11.99,""
8,158,10.31,0.92,9.97,""
8,159,10.66,0.93,11.03,""
8,160,11.37,NA,11.37,""
8,161,9.87,1.64,9.87,""
8,162,1.01,2.76,0,""
8,163,9.77,NA,9.77,""
8,164,6.63,1.77,5.62,""
8,165,7.36,1.57,7.8,""
8,166,0.19,1.08,0,""
8,167,0.89,2.19,0,""
8,168,0.04,0.43,0,""
8,169,0,0,0,""
8,170,0.03,0.4,0,""
8,171,0.03,0.4,0,""
8,172,0.2,1.15,0,""
8,173,3.28,5.94,0,""
8,174,0.03,0.47,0,""
8,175,0.19,2.09,0,""
8,176,50.73,6.49,51.41,""
8,177,52.79,6.37,52.79,""
8,178,42.26,11.29,40.26,""
8,179,55.91,1.96,55.91,""
8,180,54.53,NA,54.53,""
8,181,56.15,1.44,56.62,""
8,182,56.48,1.35,56.96,""
8,183,57.13,0.45,57.3,""
8,184,57.47,NA,57.47,""
8,185,54.68,2.61,54.06,""
8,186,54.91,1.99,54.68,""
8,187,55.3,NA,55.3,""
8,188,56.39,1.53,56.39,""
8,189,56.47,1.09,56.62,""
8,190,56.62,NA,56.62,""
8,191,46.95,NA,46.95,""
8,192,28.68,10.28,25.91,""
8,193,52.26,NA,52.26,""
8,194,48.4,6.37,47.98,""
8,195,49.5,8.21,49.5,""
8,196,43.7,NA,43.7,""
8,197,43.62,NA,43.62,""
8,198,40.08,12.39,43.89,""
8,199,4.8,5.79,4,""
8,200,18.53,9.06,18.53,""
8,201,36.74,8.03,37.26,""
8,202,22.5,8.83,22.5,""
8,203,17.45,NA,17.45,""
8,204,30.91,NA,30.91,""
8,205,30.27,NA,30.27,""
8,206,2.55,5.42,0,""
8,207,0.03,0.39,0,""
8,208,0.01,0.27,0,""
8,209,0.01,0.25,0,""
8,214,6.22,5.19,5.08,""
8,215,0.97,2.07,0,""
8,216,3.54,5.33,0,""
8,217,5.36,5.52,5,""
8,218,0.1,0.55,0,""
8,219,0,0,0,""
8,220,0,0,0,""
8,221,0.17,0.79,0,""
8,222,0.13,0.68,0,""
8,223,0,0,0,""
8,224,0,0,0,""
8,225,0,0,0,""
8,226,0,0,0,""
8,227,0,0,0,""
8,228,0,0,0,""
8,229,0,0,0,""
8,230,0,0,0,""
8,231,0,0,0,""
8,232,0,0,0,""
8,233,0,0,0,""
8,234,0,0,0,""
8,235,0,0,0,""
8,236,0,0,0,""
8,237,0,0,0,""
8,238,7.63,1.34,7.72,""
8,239,7.87,NA,7.87,""
8,240,4.54,3.96,2.63,""
8,241,9.01,0.72,9.19,""
8,242,0.13,0.68,0,""
8,243,1.22,3.62,0,""
8,244,0.3,1,0,""
8,245,0.58,1.56,0,""
8,246,0,0,0,""
8,247,0,0,0,""
8,248,0,0,0,""
8,249,0,0,0,""
8,250,0,0,0,""
8,251,0,0,0,""
8,252,0,0,0,""
8,253,0.29,1.11,0,""
8,254,0,0,0,""
8,255,0,0,0,""
8,256,0.11,0.56,0,""
8,257,0,0,0,""
8,258,0,0,0,""
8,259,0,0,0,""
8,260,0,0,0,""
8,261,0.02,0.32,0,""
8,263,0.02,0.26,0,""
8,264,0,0,0,""
8,265,0.01,0.2,0,""
8,266,6.97,0.45,6.85,""
8,267,0.95,1.9,0,""
8,268,0,0,0,""
8,269,2.26,2.6,0.3,""
8,270,0.55,1.44,0,""
8,271,29.44,12.79,27.41,""
8,272,5.9,11.4,3.97,""
8,273,56.61,NA,56.61,""
8,274,53.64,4.2,53.64,""
8,275,40.96,15.49,43.47,""
8,276,38.79,15.29,40.5,""
8,277,56.61,NA,56.61,""
8,278,59.34,NA,59.34,""
8,279,38.95,5.08,38.95,""
8,280,51.94,NA,51.94,""
8,281,57.77,2.77,58.1,""
8,282,60.56,NA,60.56,""
8,283,50.01,2.97,50.44,""
8,284,32.21,11.5,33.92,""
8,285,43.79,5.87,42.66,""
8,286,32.74,7.33,32.74,""
8,287,47.36,6.48,47.36,""
8,288,54.32,NA,54.32,""
8,289,55.5,3.17,55.27,""
8,290,52.75,NA,52.75,""
8,291,58.22,0.66,58.22,""
8,292,57.01,3.72,57.78,""
8,293,57.25,3.14,56.87,""
8,294,51.62,7,54.32,""
8,295,49,7.53,49,""
8,296,42.77,NA,42.77,""
8,297,16.82,9.89,16.92,""
8,298,56.87,NA,56.87,""
8,299,58.69,NA,58.69,""
8,300,54.74,3.42,52.79,""
8,301,52.77,0.03,52.77,""
8,302,47.16,5.44,46.86,""
8,303,46.86,NA,46.86,""
8,304,46.86,NA,46.86,""
8,305,42.18,7.27,45.87,""
8,306,35.41,2.27,35.41,""
8,307,11.68,3.33,12.7,""
8,308,20.28,7.36,20.4,""
8,309,48.57,5.26,49.8,""
8,310,52.79,NA,52.79,""
8,311,51.91,NA,51.91,""
8,312,48.9,9.82,51.91,""
8,313,51.57,5.48,51.91,""
8,314,51.4,7.74,51.4,""
8,315,48.82,7.06,45.92,""
8,316,43.67,NA,43.67,""
8,317,44.8,1.59,44.8,""
8,318,47.33,7.72,47.33,""
8,319,35.79,8.74,33.8,""
8,320,25.69,1.67,25.69,""
8,321,20.16,9.49,20.16,""
8,322,21.61,7.17,24.51,""
8,323,17.67,7.46,13.45,""
8,324,28.4,4.83,26.88,""
8,325,36.9,7.03,36.9,""
8,326,37.93,NA,37.93,""
8,327,45.92,NA,45.92,""
8,328,37.3,8.81,37.54,""
8,329,34.42,8.17,31.41,""
8,330,16.61,9.09,14.73,""
8,331,38.67,10.26,38.67,""
8,332,26.6,6.26,26.6,""
8,333,30.29,13.99,30.69,""
8,334,29.1,6.69,31.03,""
8,335,31.41,NA,31.41,""
8,336,21.09,NA,21.09,""
8,337,24.35,7.09,24.4,""
8,338,22.58,2.58,22.58,""
8,339,18.05,5.98,17.23,""
8,340,17.23,NA,17.23,""
8,341,16.33,2.35,16.33,""
8,342,15.76,2.16,16.19,""
8,343,32.18,6.84,35.31,""
8,344,40.5,NA,40.5,""
8,345,37.93,NA,37.93,""
8,346,38.7,2.55,38.7,""
8,347,27.87,6.44,26.12,""
8,348,19.24,10.55,22.34,""
8,349,35.12,5.3,36.03,""
8,350,36.01,3.48,35.72,""
8,351,36.28,NA,36.28,""
8,352,28.71,8.66,32.09,""
8,353,19.97,NA,19.97,""
8,355,0,0,0,""
8,356,0.11,0.61,0,""
8,357,0,0,0,""
8,358,0,0,0,""
8,359,0.01,0.17,0,""
8,360,0,0,0,""
8,361,0,0,0,""
8,362,0,0,0,""
8,363,2.27,4.45,0,""
8,364,1.08,1.83,0,""
8,365,2.53,4.67,0,""
8,366,0,0,0,""
8,367,0,0,0,""
8,368,0.44,1.25,0,""
8,369,1.18,2.09,0,""
8,370,0.06,0.38,0,""
8,371,0,0,0,""
8,372,0,0,0,""
8,373,0.91,1.79,0,""
8,374,0,0,0,""
8,375,0,0,0,""
8,376,0,0,0,""
8,377,0,0,0,""
8,378,0.49,2.17,0,""
8,379,3.96,6.93,0,""
8,380,0.13,0.63,0,""
8,381,0,0,0,""
8,382,2.03,4,0,""
8,383,7.67,6.03,5.58,""
8,384,2.15,4.4,0,""
8,385,0.16,0.73,0,""
8,386,1.39,2.65,0,""
8,387,0,0,0,""
8,388,0,0,0,""
8,389,0,0,0,""
8,390,0,0,0,""
8,391,0,0,0,""
8,393,0,0,0,""
8,394,0,0,0,""
8,395,0,0,0,""
8,396,0,0,0,""
8,397,0,0,0,""
8,398,0.06,0.43,0,""
8,399,0,0,0,""
8,400,0,0,0,""
8,401,0,0,0,""
8,402,51.2,6.5,48.33,""
8,403,58.64,NA,58.64,""
8,404,49.49,3.57,48.33,""
8,405,51.78,5.43,50.91,""
8,406,56.07,3.64,56.07,""
8,407,58.73,3.82,59.48,""
8,408,53.5,NA,53.5,""
8,409,53.22,7.24,53.5,""
8,410,56.91,4.82,56.91,""
8,411,58.75,4.68,60.31,""
8,412,60.31,NA,60.31,""
8,413,59.4,1.29,59.4,""
8,414,54.53,6.48,55.99,""
8,415,58.49,NA,58.49,""
8,416,58.49,NA,58.49,""
8,417,61.07,2.06,61.52,""
8,418,61.32,2.45,62.72,""
8,419,60.61,2.99,60.61,""
8,420,60.19,2.84,60.48,""
8,421,62.47,NA,62.47,""
8,422,62.72,NA,62.72,""
8,423,62.72,NA,62.72,""
8,424,62.73,0.01,62.73,""
8,425,62.86,0.2,62.86,""
8,426,62.9,0.15,62.97,""
8,427,62.6,0.18,62.6,""
8,428,62.79,0.25,62.85,""
8,429,62.72,0.35,62.72,""
8,430,62.72,0.35,62.72,""
8,431,62.97,NA,62.97,""
8,432,62.98,0.02,62.98,""
8,433,62.67,NA,62.67,""
8,434,63,NA,63,""
8,435,63,NA,63,""
8,436,63,0,63,""
8,437,62.99,0.02,63,""
8,438,62.68,0.61,62.98,""
8,439,63,NA,63,""
8,440,62.85,NA,62.85,""
8,441,63,0,63,""
8,442,63,0,63,""
8,443,63,0,63,""
8,444,63,NA,63,""
8,445,63,NA,63,""
8,446,63,0,63,""
8,447,63,NA,63,""
8,448,63,0,63,""
8,449,63,0,63,""
8,450,63,0,63,""
8,451,63,0,63,""
8,452,63,NA,63,""
8,453,63,0,63,""
8,454,62.83,0.24,62.83,""
