"edon","seccion","mean","sd","median","note"
10,1,19.66,3.48,20.29,""
10,2,20.7,2.63,21.13,""
10,3,22.15,NA,22.15,""
10,4,22.77,1.04,22.77,""
10,5,23.83,NA,23.83,""
10,6,20.39,1.05,20.39,""
10,7,22.34,NA,22.34,""
10,8,6.31,0.45,6,""
10,9,5.25,2.32,6,""
10,10,1.32,2.4,0,""
10,11,3.48,2.88,6,""
10,12,3.96,2.86,6,""
10,13,6.01,1.41,6,""
10,14,5.07,2.07,6,""
10,15,3.5,2.89,5.9,""
10,16,0.95,2.14,0,""
10,17,1.34,2.47,0,""
10,19,0.24,1.16,0,""
10,20,4.82,2.49,6,""
10,21,7.33,1.49,7,""
10,22,8.88,4.04,7,""
10,23,3.38,4.53,0,""
10,24,2.54,2.91,0.67,""
10,25,4.75,2.68,6,""
10,26,4.61,2.57,6,""
10,27,6.86,0.31,7,""
10,28,8.92,0.1,8.92,""
10,29,6.63,2.34,7,""
10,30,7.04,0.12,7,""
10,31,7,0,7,""
10,32,7.2,0.83,7.02,""
10,33,2.35,2.85,0,""
10,34,0.29,1.25,0,""
10,35,0,0,0,""
10,36,0.53,1.64,0,""
10,37,2.6,3.16,0,""
10,38,3.6,2.92,6,""
10,39,5.02,2.28,6,""
10,40,1.08,2.33,0,""
10,42,6.83,0.39,7,""
10,43,2.06,2.88,0,""
10,44,4.84,2.72,6,""
10,45,1.04,2.25,0,""
10,46,4.96,2.23,6,""
10,47,6.91,0.28,7,""
10,48,5.5,1.72,6,""
10,50,2.23,2.9,0,""
10,51,0.01,0.06,0,""
10,52,4.23,2.66,6,""
10,53,3.33,3,6,""
10,54,1.24,2.4,0,""
10,55,3.95,2.94,6,""
10,56,5.83,1.25,6,""
10,57,7,0,7,""
10,58,3.9,2.8,6,""
10,59,1.94,2.76,0,""
10,60,1.61,2.62,0,""
10,61,2.67,2.93,0.42,""
10,62,4.11,2.75,6,""
10,63,3.54,3.14,5.57,""
10,64,3.84,2.76,6,""
10,65,1.84,2.78,0,""
10,66,33.02,1.7,33.02,""
10,67,34.2,1.55,34.23,""
10,68,34.18,1.26,34.18,""
10,69,8.09,7.09,6,""
10,70,5.75,7.12,6,""
10,72,8.19,3.17,7,""
10,73,2.33,3.16,0,""
10,74,7.73,1.06,7.64,""
10,75,23.8,NA,23.8,""
10,76,3.62,4.3,4.92,""
10,77,6.14,3.63,6,""
10,78,3.43,3.03,5.64,""
10,79,1.78,2.75,0,""
10,80,2.79,3.21,0,""
10,81,2.47,2.92,0,""
10,82,1.68,2.63,0,""
10,83,2.93,3.22,0.78,""
10,84,14.95,8.26,11.14,""
10,85,0.53,1.69,0,""
10,86,3.79,3.79,6,""
10,87,1.91,2.78,0,""
10,88,1.82,2.72,0,""
10,89,4.91,2.64,6,""
10,90,4.1,2.85,6,""
10,91,4.01,2.97,6,""
10,92,1.48,2.59,0,""
10,93,2.42,2.84,0,""
10,94,4.96,2.91,6,""
10,95,8.35,0.53,8.35,""
10,96,4.14,3.1,6,""
10,97,1.89,2.84,0,""
10,99,8,0,8,""
10,100,2.91,3.14,0.81,""
10,101,1.41,2.58,0,""
10,102,6.47,0.54,6.13,""
10,103,6.63,0.46,6.95,""
10,104,6.06,0.95,6,""
10,105,7,0,7,""
10,106,5.05,2.6,6,""
10,107,3.45,2.85,5.49,""
10,108,60.54,1.62,60.93,""
10,109,55.15,4.1,55.39,""
10,111,60.84,NA,60.84,""
10,112,60.37,0.61,60.37,""
10,113,60.56,0.58,60.84,""
10,114,60.9,0.08,60.9,""
10,115,60.98,0.03,60.98,""
10,116,60.98,0.03,60.98,""
10,117,60.95,NA,60.95,""
10,118,58,2.64,58.85,""
10,119,60.92,1.14,60.96,""
10,120,61.91,NA,61.91,""
10,121,61.91,NA,61.91,""
10,122,61.91,NA,61.91,""
10,123,59.81,NA,59.81,""
10,124,61.94,0.05,61.91,""
10,125,61.91,NA,61.91,""
10,126,61.96,0.06,61.96,""
10,127,61.96,0.06,61.96,""
10,128,61.52,0.98,61.91,""
10,129,59.88,1.08,59.76,""
10,130,53.16,5.11,53.16,""
10,131,53.89,NA,53.89,""
10,132,48.96,NA,48.96,""
10,133,57.45,2.04,57.45,""
10,134,59.43,0.76,59.43,""
10,135,59.39,2.15,59.43,""
10,136,61.49,0.67,61.49,""
10,137,61.72,0.47,61.94,""
10,138,61.96,0.06,61.96,""
10,139,62,0,62,""
10,140,62,NA,62,""
10,141,62,NA,62,""
10,142,61.97,0.05,62,""
10,143,62,0,62,""
10,144,62,NA,62,""
10,145,61.93,0.07,61.92,""
10,146,61.93,0.07,61.92,""
10,147,61,NA,61,""
10,148,61.14,0.51,60.95,""
10,149,61.95,0.08,61.95,""
10,150,61.96,0.06,62,""
10,151,62.17,0.39,62,""
10,152,62,NA,62,""
10,153,62.43,0.61,62.43,""
10,154,62,0,62,""
10,155,62.48,0.68,62.48,""
10,156,62.48,0.56,62.48,""
10,157,61.96,NA,61.96,""
10,158,61.96,0,61.96,""
10,159,61.96,NA,61.96,""
10,160,61.96,NA,61.96,""
10,161,61.94,0.03,61.94,""
10,162,60.95,1.38,60.95,""
10,163,60.45,1.31,60.5,""
10,164,58.76,2.07,58.99,""
10,165,59.09,NA,59.09,""
10,166,60.56,1.22,60.6,""
10,167,61.02,NA,61.02,""
10,168,61.47,0.64,61.47,""
10,169,61.92,NA,61.92,""
10,170,62.28,0.59,61.96,""
10,171,62.47,0.54,62.48,""
10,172,62.86,NA,62.86,""
10,173,62.29,0.5,62,""
10,174,62,NA,62,""
10,175,62,NA,62,""
10,176,62,0,62,""
10,177,62,0,62,""
10,178,61.95,0.06,61.95,""
10,179,62,NA,62,""
10,180,61.95,0.08,61.95,""
10,181,61.39,0.7,61.39,""
10,182,62,0,62,""
10,183,62,0,62,""
10,184,62,0,62,""
10,185,62.55,0.51,62.86,""
10,186,62.96,NA,62.96,""
10,187,62.01,0.13,62.01,""
10,188,62.96,NA,62.96,""
10,189,62.96,NA,62.96,""
10,190,62.96,NA,62.96,""
10,191,62.96,0,62.96,""
10,192,62.96,NA,62.96,""
10,193,62.53,0.61,62.53,""
10,194,62.53,0.61,62.53,""
10,195,62.33,0.56,62.1,""
10,196,62.01,0.13,62.01,""
10,197,61.75,0.49,61.95,""
10,198,61.5,0.67,61.5,""
10,199,61.97,NA,61.97,""
10,200,58.69,2.09,58.69,""
10,201,57.04,5.84,58.69,""
10,202,62.03,0.09,62.03,""
10,203,62.1,NA,62.1,""
10,204,61.08,NA,61.08,""
10,205,62.76,0.44,62.97,""
10,206,62.99,0.02,62.99,""
10,207,62.98,0.03,62.98,""
10,208,62.98,0.02,62.98,""
10,209,62.98,0.03,62.98,""
10,210,62.96,NA,62.96,""
10,211,62.99,0.02,63,""
10,212,62.96,0,62.96,""
10,213,62.98,0.02,62.98,""
10,214,62.98,0.03,62.98,""
10,215,62.99,0.02,63,""
10,216,62.98,0.02,62.96,""
10,217,62.93,0.06,62.93,""
10,218,62,NA,62,""
10,219,60.5,1.56,60.79,""
10,220,62,0,62,""
10,221,62,0,62,""
10,222,62,NA,62,""
10,223,62.45,0.63,62.45,""
10,224,62.89,NA,62.89,""
10,225,62.95,0.08,62.95,""
10,226,63,NA,63,""
10,227,63,NA,63,""
10,228,62.95,0.07,62.95,""
10,229,63,0,63,""
10,230,63,NA,63,""
10,231,63,NA,63,""
10,232,63,0,63,""
10,233,63,NA,63,""
10,234,63,0,63,""
10,235,62.99,0.02,62.99,""
10,236,62.97,NA,62.97,""
10,237,61.77,0.58,62.1,""
10,238,63,NA,63,""
10,239,63,0,63,""
10,240,62.96,0,62.96,""
10,241,63,0,63,""
10,242,63,0,63,""
10,243,63,0,63,""
10,244,63,0,63,""
10,245,62.97,0.05,63,""
10,246,62.95,0.07,62.95,""
10,247,62.62,0.47,62.89,""
10,248,62.46,0.61,62.46,""
10,249,62.02,NA,62.02,""
10,250,62,0,62,""
10,251,61.97,0.05,62,""
10,252,61.97,0.06,62,""
10,253,60.37,0.78,60.37,""
10,254,61.95,0.07,61.95,""
10,255,61.98,0.06,62,""
10,256,62.02,NA,62.02,""
10,257,62.9,NA,62.9,""
10,258,62.9,NA,62.9,""
10,259,62.95,0.07,62.95,""
10,260,63,NA,63,""
10,261,63,0,63,""
10,262,63,0,63,""
10,263,63,0,63,""
10,264,63,NA,63,""
10,265,63,NA,63,""
10,266,63,0,63,""
10,267,63,0,63,""
10,268,63,0,63,""
10,269,63,NA,63,""
10,270,63,0,63,""
10,271,62.78,0.44,63,""
10,272,63,0,63,""
10,273,63,NA,63,""
10,274,62.95,0.07,62.95,""
10,275,62.46,0.62,62.46,""
10,276,61.95,0.07,61.95,""
10,277,61.68,0.51,61.9,""
10,278,60.92,NA,60.92,""
10,279,61.41,0.69,61.41,""
10,280,60.91,0.81,60.91,""
10,281,61.4,0.7,61.4,""
10,282,61.9,NA,61.9,""
10,283,61.68,0.51,61.9,""
10,284,62.89,0,62.89,""
10,285,62.95,0.06,62.95,""
10,286,63,NA,63,""
10,287,63,0,63,""
10,288,63,NA,63,""
10,289,62.95,0.08,62.95,""
10,290,62.95,0.08,62.95,""
10,291,62.89,NA,62.89,""
10,292,62.89,NA,62.89,""
10,293,62.48,0.54,62.46,""
10,294,62.64,0.54,62.89,""
10,295,63,0,63,""
10,296,62.32,0.53,62.02,""
10,297,62.02,NA,62.02,""
10,298,59.36,2.19,59.36,""
10,299,61.95,0.07,61.95,""
10,300,61.95,0.07,61.95,""
10,301,57.24,3.93,56.91,""
10,302,60.47,2.2,60.47,""
10,303,59.56,1.57,59.97,""
10,304,61.85,NA,61.85,""
10,305,61.96,NA,61.96,""
10,306,63,0,63,""
10,307,63,0,63,""
10,308,63,0,63,""
10,309,63,0,63,""
10,310,63,NA,63,""
10,311,63,NA,63,""
10,312,62.35,0.57,62.02,""
10,313,63,0,63,""
10,314,62.67,0.57,63,""
10,315,63,NA,63,""
10,316,62.56,0.62,62.56,""
10,317,63,NA,63,""
10,318,62.56,0.62,62.56,""
10,319,62.13,NA,62.13,""
10,320,62.06,0.09,62.06,""
10,321,62,NA,62,""
10,322,58.78,2.05,58.78,""
10,323,61.56,0.62,61.56,""
10,324,61.81,0.46,62,""
10,325,61.81,0.46,62,""
10,326,62.38,0.54,62.13,""
10,327,62.29,0.48,62.07,""
10,328,62.51,0.69,62.51,""
10,329,62.02,0,62.02,""
10,330,62.02,NA,62.02,""
10,331,62.01,0.01,62.02,""
10,332,62.02,NA,62.02,""
10,333,62.02,NA,62.02,""
10,334,62.02,NA,62.02,""
10,335,61.71,0.52,62,""
10,336,62,NA,62,""
10,337,62,NA,62,""
10,338,62,NA,62,""
10,339,61.12,NA,61.12,""
10,340,58.28,1.33,58.28,""
10,341,60.12,NA,60.12,""
10,342,58.12,NA,58.12,""
10,343,60.07,1.34,60.07,""
10,344,61.54,0.55,61.56,""
10,345,61.79,0.45,62.01,""
10,346,62.01,0.01,62.01,""
10,347,62,NA,62,""
10,348,60.01,NA,60.01,""
10,349,61.12,NA,61.12,""
10,350,61.01,1.4,61.01,""
10,351,56.64,4.16,57.9,""
10,352,1.51,2.63,0,""
10,353,2.72,2.97,0.07,""
10,354,4.02,3.31,6,""
10,355,5.56,4.2,6.1,""
10,356,3.58,3,5.45,""
10,357,4.96,2.91,6.5,""
10,358,2.37,2.93,0,""
10,359,0,0,0,""
10,360,2.21,2.84,0,""
10,361,4.81,3.06,6.1,""
10,362,8.71,2.13,7.9,""
10,363,13.8,NA,13.8,""
10,364,12.69,NA,12.69,""
10,365,13.32,0.5,13.11,""
10,366,7.49,1.89,7,""
10,367,8.93,2.67,8.01,""
10,368,12.38,3.59,11.51,""
10,369,31.1,NA,31.1,""
10,370,19.37,9.53,17.99,""
10,371,29.92,17.58,30.36,""
10,372,5.5,4.57,6.96,""
10,373,2.34,3,0,""
10,374,1.62,2.7,0,""
10,375,2.06,2.87,0,""
10,376,14.67,16.18,7,""
10,377,18.08,9.53,14.5,""
10,378,32.76,10.23,29.28,""
10,379,8.15,2.62,7,""
10,380,3.14,3.22,0.54,""
10,381,1.6,2.85,0,""
10,382,7.43,4.16,7,""
10,383,40.7,15.24,41.56,""
10,384,29.96,11.02,29.32,""
10,385,51.67,7.97,54.4,""
10,386,3.29,3.03,5.81,""
10,387,0,0.01,0,""
10,388,5.02,3.23,6,""
10,389,10.81,8.28,7.1,""
10,390,41.4,12.29,41.63,""
10,391,45.41,13.12,49.41,""
10,392,11.71,3.93,10.88,""
10,393,7.9,0.83,7.89,""
10,394,5.98,2.23,6.94,""
10,395,9.86,1.39,9.44,""
10,396,21.12,11,16.87,""
10,397,21.04,15.05,13.75,""
10,398,22.48,18.14,13.91,""
10,399,47.31,NA,47.31,""
10,400,24.64,5.34,23.11,""
10,401,2.33,2.96,0,""
10,402,8,1.03,7.98,""
10,403,13.92,3.91,13.78,""
10,404,7.15,0.39,7,""
10,405,2.87,3.45,0,""
10,406,1.79,2.71,0,""
10,407,3.61,2.86,5.97,""
10,408,2.91,3.26,0.15,""
10,409,4.67,3.67,6,""
10,410,5.31,2.75,6.11,""
10,411,7.91,0.97,8,""
10,412,6.67,1.5,7,""
10,413,6.58,0.47,6.88,""
10,414,4.45,3.07,6,""
10,415,6.63,0.49,6.88,""
10,416,1.24,2.45,0,""
10,417,1.64,2.7,0,""
10,418,0.04,0.44,0,""
10,419,0.73,1.95,0,""
10,420,8.69,NA,8.69,""
10,421,8.29,1.81,7.4,""
10,422,7.01,0.59,7,""
10,423,4.55,2.87,6,""
10,424,1.66,2.85,0,""
10,425,2.86,3.31,0.28,""
10,426,1.86,2.76,0,""
10,427,4.86,2.55,6,""
10,428,2.7,2.94,0.93,""
10,429,3.47,3.17,4.99,""
10,430,3.77,3.11,6,""
10,431,6.02,1.75,6.5,""
10,432,2.15,2.77,0,""
10,433,3.55,2.94,4.98,""
10,434,1.89,2.66,0,""
10,435,3.75,2.85,5.12,""
10,436,62.86,0.27,63,""
10,437,63,0,63,""
10,438,61.38,1.1,61.38,""
10,439,63,NA,63,""
10,440,63,0,63,""
10,441,63,0,63,""
10,442,63,0,63,""
10,443,63,NA,63,""
10,444,63,NA,63,""
10,445,63,NA,63,""
10,446,61.71,2.01,62.36,""
10,448,63,NA,63,""
10,449,63,0,63,""
10,450,63,0,63,""
10,451,63,0,63,""
10,452,63,NA,63,""
10,453,63,0,63,""
10,454,63,0,63,""
10,455,63,0,63,""
10,456,63,0,63,""
10,457,63,NA,63,""
10,458,63,NA,63,""
10,459,63,NA,63,""
10,460,63,0,63,""
10,461,63,0,63,""
10,462,63,0,63,""
10,463,63,0,63,""
10,464,62.81,0.33,63,""
10,465,62.81,0.33,63,""
10,466,62.43,NA,62.43,""
10,467,62.43,NA,62.43,""
10,468,62.86,0.28,63,""
10,469,63,NA,63,""
10,470,63,NA,63,""
10,471,63,0,63,""
10,472,63,NA,63,""
10,473,63,0,63,""
10,474,63,0,63,""
10,475,63,0,63,""
10,476,63,NA,63,""
10,477,63,0,63,""
10,478,63,0,63,""
10,479,63,0,63,""
10,480,63,0,63,""
10,481,63,0,63,""
10,482,63,NA,63,""
10,483,63,0,63,""
10,484,63,0,63,""
10,485,63,NA,63,""
10,486,63,0,63,""
10,487,63,0,63,""
10,488,63,0,63,""
10,489,63,0,63,""
10,490,63,0,63,""
10,491,63,NA,63,""
10,492,63,0,63,""
10,493,63,0,63,""
10,494,63,0,63,""
10,495,63,NA,63,""
10,496,63,NA,63,""
10,497,63,NA,63,""
10,498,63,0,63,""
10,499,63,0,63,""
10,500,63,0,63,""
10,501,63,0,63,""
10,502,63,0,63,""
10,503,63,NA,63,""
10,504,63,0,63,""
10,505,63,NA,63,""
10,506,63,NA,63,""
10,507,63,NA,63,""
10,508,63,0,63,""
10,509,63,0,63,""
10,510,63,0,63,""
10,511,63,0,63,""
10,512,63,0,63,""
10,513,63,0,63,""
10,514,63,0,63,""
10,515,63,NA,63,""
10,516,63,0,63,""
10,517,63,NA,63,""
10,518,63,NA,63,""
10,519,63,0,63,""
10,520,63,NA,63,""
10,521,63,0,63,""
10,522,63,0,63,""
10,523,63,0,63,""
10,524,63,0,63,""
10,525,63,0,63,""
10,526,63,0,63,""
10,527,63,NA,63,""
10,528,63,0,63,""
10,529,63,0,63,""
10,530,63,0,63,""
10,531,63,0,63,""
10,532,63,0,63,""
10,533,63,0,63,""
10,534,63,NA,63,""
10,535,63,0,63,""
10,536,63,0,63,""
10,537,63,0,63,""
10,538,63,NA,63,""
10,539,63,0,63,""
10,540,63,0,63,""
10,541,62.97,0.05,63,""
10,542,63,0,63,""
10,543,NA,NA,NA,""
10,544,63,NA,63,""
10,545,63,0,63,""
10,546,63,0,63,""
10,547,63,0,63,""
10,548,63,NA,63,""
10,549,63,NA,63,""
10,550,63,0,63,""
10,551,63,0,63,""
10,552,63,0,63,""
10,553,63,NA,63,""
10,554,63,0,63,""
10,555,63,NA,63,""
10,556,16.33,7.7,14.83,""
10,557,9.47,1.42,9.07,""
10,558,16.32,4.82,16.31,""
10,559,17.71,4.02,17.26,""
10,560,23.73,3.58,22.6,""
10,561,24.5,3.55,24.48,""
10,562,39.24,8.58,38.69,""
10,563,18.55,4.87,17.72,""
10,564,31.2,3.5,31.82,""
10,565,23.2,6.46,23.79,""
10,566,19.19,2.59,19.59,""
10,567,37.1,2.22,37.35,""
10,568,38.98,1.42,39.05,""
10,569,39.27,1.19,39.52,""
10,570,25.31,5.18,23.21,""
10,571,21.85,14.02,15.38,""
10,572,17.61,3.9,17.4,""
10,573,33.27,4.56,34.67,""
10,574,12.13,7.41,8.54,""
10,575,18.24,3.47,18.15,""
10,576,22.11,6.19,21.19,""
10,577,26.16,3.78,26.04,""
10,578,24.36,2.69,24.96,""
10,579,28.24,2.42,28.54,""
10,580,25.79,5.24,26.13,""
10,581,35.51,3.69,35.7,""
10,582,29.2,5.47,29.75,""
10,583,35.04,2.35,35.16,""
10,584,29.41,6.03,28.98,""
10,585,37.89,3.58,37.49,""
10,586,20.83,3.18,19.83,""
10,587,18.94,3.5,18.72,""
10,588,34.13,5.19,33.67,""
10,589,38.29,6.26,38.56,""
10,590,37.68,NA,37.68,""
10,591,37.44,NA,37.44,""
10,592,44.43,1.8,44.43,""
10,593,42.76,0.96,42.84,""
10,594,44,NA,44,""
10,595,43.75,0.41,43.98,""
10,596,42.17,2.45,42.73,""
10,597,46.74,4.65,46.39,""
10,598,44.47,9.02,40.5,""
10,600,48.18,1.94,48.18,""
10,601,48.32,3.83,47.55,""
10,602,46.4,5.4,44.78,""
10,603,49.24,8.58,50.02,""
10,604,34.32,7.9,33.45,""
10,605,59.13,3.04,59.71,""
10,606,61.67,1.39,61.98,""
10,607,62.18,1.13,62.59,""
10,608,61.98,0.47,62.12,""
10,609,63,NA,63,""
10,610,63,0,63,""
10,611,63,0,63,""
10,612,44.83,3.55,44.83,""
10,613,44.5,3,44.56,""
10,614,44.39,3.41,44.39,""
10,615,44.98,3.42,45.91,""
10,616,45.81,3.34,46.37,""
10,617,45.92,2.98,46.8,""
10,618,48.32,NA,48.32,""
10,619,48.84,NA,48.84,""
10,620,46.49,NA,46.49,""
10,621,21.95,12.11,20,""
10,622,2.44,3.16,0,""
10,623,3.62,2.94,5.35,""
10,624,5.93,3.12,6.16,""
10,625,9.35,0.53,9.35,""
10,626,5.18,7.83,4.35,""
10,627,8.35,5.09,7,""
10,628,11.17,NA,11.17,""
10,629,11.71,0.18,11.71,""
10,630,5.35,3.09,6.14,""
10,631,5.21,3.18,6.16,""
10,632,8.8,0.08,8.8,""
10,633,8.87,NA,8.87,""
10,634,3.77,3.29,5.36,""
10,635,9.99,0.18,9.99,""
10,636,10.31,0.63,10.31,""
10,637,3.61,3.32,5.24,""
10,638,9.73,0.29,9.75,""
10,639,6.91,1.41,6.99,""
10,640,0,0,0,""
10,641,0,0,0,""
10,642,0,0,0,""
10,643,0.19,1.02,0,""
10,644,1.28,2.42,0,""
10,645,0,0,0,""
10,646,0.15,0.9,0,""
10,647,0.86,1.81,0,""
10,649,1.83,2.65,0,""
10,651,3.46,2.95,5.73,""
10,653,2.12,2.85,0,""
10,654,1.08,2.22,0,""
10,655,0.64,1.78,0,""
10,656,1.14,2.3,0,""
10,657,0,0,0,""
10,658,0,0,0,""
10,659,1.45,2.55,0,""
