"edon","seccion","mean","sd","median","note"
11,1,15.68,11.87,10.57,""
11,2,35.93,NA,35.93,""
11,3,16.68,11.28,14.25,""
11,4,36.77,2.73,36.86,""
11,5,37.91,2.81,37.91,""
11,6,25.29,7.43,25.29,""
11,7,35.92,NA,35.92,""
11,8,34.7,1.73,34.7,""
11,9,33.47,NA,33.47,""
11,10,30.12,5.54,30.32,""
11,11,28.57,6.77,27.17,""
11,12,2.96,1.61,3.69,""
11,13,4.47,0.41,4.42,""
11,14,3.23,1.35,4,""
11,15,3.07,1.29,3.44,""
11,16,5.07,0.59,5,""
11,17,6.81,0.25,6.87,""
11,18,5.44,0.48,5.24,""
11,19,5.42,0.56,5.25,""
11,20,5.75,0.63,5.95,""
11,21,6.39,1.08,6.01,""
11,22,4.61,0.77,4.27,""
11,23,6.45,1.16,6.37,""
11,24,8.08,0.56,7.76,""
11,25,6.26,0.89,6.03,""
11,26,5.08,0.61,5.02,""
11,27,5.88,0.44,6,""
11,28,6.62,0.37,6.8,""
11,29,5.51,0.51,5.75,""
11,30,6.55,0.68,6.38,""
11,31,5.99,0.66,5.93,""
11,32,6.19,1.85,5.76,""
11,33,10.49,5.23,8.28,""
11,34,5.63,1.43,5.13,""
11,35,5.96,1.04,5.75,""
11,36,4.71,0.75,4.47,""
11,37,5.83,1.85,5.2,""
11,38,10.15,6.39,7.62,""
11,39,8.25,3.28,7.1,""
11,40,7.49,0.78,7.43,""
11,41,9.18,0.98,9.62,""
11,42,6.26,1.3,6.11,""
11,43,5.66,0.41,5.76,""
11,44,5.63,0.55,5.65,""
11,45,10.23,0.86,10.61,""
11,46,5.95,0.96,5.56,""
11,47,6.24,1.39,5.98,""
11,48,9.13,3.03,8.22,""
11,49,16.95,2.14,16.87,""
11,50,6.1,0.58,6.08,""
11,51,32.06,12.5,29.29,""
11,52,52.69,4.62,51.87,""
11,53,55.45,5.06,55.45,""
11,54,54.54,3.69,53.97,""
11,55,49.21,5.5,48.24,""
11,56,56.08,NA,56.08,""
11,57,28.62,1.88,28.62,""
11,58,13.58,3.23,13.58,""
11,59,56.08,NA,56.08,""
11,60,57.55,2.09,57.55,""
11,61,53.46,6.36,54.83,""
11,62,28.5,16.72,30.67,""
11,63,59.03,NA,59.03,""
11,64,56.08,NA,56.08,""
11,65,29.35,12.36,29.56,""
11,66,56.93,2.97,56.93,""
11,67,54.83,NA,54.83,""
11,68,56.93,2.97,56.93,""
11,69,55.32,3.66,56,""
11,70,53.18,4.1,53.18,""
11,71,50.28,NA,50.28,""
11,72,53.1,3.99,53.1,""
11,73,56.59,2.18,55.92,""
11,74,56,2.14,55.37,""
11,75,50.64,7.73,54.23,""
11,76,55.92,NA,55.92,""
11,77,51.11,6.8,51.11,""
11,78,48.34,6.35,48.29,""
11,79,48.34,6.35,48.29,""
11,80,49.55,6.68,50.26,""
11,81,46.58,10.81,46.58,""
11,82,26.06,12.43,24.22,""
11,83,46.3,NA,46.3,""
11,84,37.46,7.85,36.8,""
11,85,37.46,7.85,36.8,""
11,86,22.27,9.55,22.21,""
11,87,4.11,0.15,4,""
11,88,2.63,1.9,3.28,""
11,89,4.4,0.75,4,""
11,90,4.42,0.49,4.55,""
11,91,5.5,0.37,5.44,""
11,92,4.38,0.58,4,""
11,93,21.06,NA,21.06,""
11,94,20.69,0.54,20.69,""
11,95,11.07,4.88,10.06,""
11,96,16.89,NA,16.89,""
11,97,17.64,NA,17.64,""
11,98,4.64,0.54,4.55,""
11,99,4.88,1.03,4.69,""
11,100,6.3,2.1,5.38,""
11,101,6.32,2.19,6.08,""
11,102,7.32,NA,7.32,""
11,103,8.27,0.99,8.32,""
11,104,3.81,2.15,3.56,""
11,105,5.49,2.33,5,""
11,106,5.41,0.7,5.5,""
11,107,7.11,1.78,6.3,""
11,108,12.7,4.58,12.06,""
11,109,16.3,2.98,16.3,""
11,110,20.49,2.12,20.05,""
11,111,7.56,2.42,6.58,""
11,112,4.59,0.91,4.12,""
11,113,14.42,3.8,14.82,""
11,114,26.11,10.75,26.3,""
11,115,9.84,5.91,7.22,""
11,116,5.44,0.66,5.09,""
11,117,7.4,0.74,7.27,""
11,118,4,2.08,4.22,""
11,119,2.59,1.82,3.59,""
11,120,3.52,0.91,3.99,""
11,121,8.17,6.91,5.29,""
11,122,11.53,4.3,10.39,""
11,123,5.74,1.42,5.8,""
11,124,4.56,0.5,4.88,""
11,125,5,0,5,""
11,126,3.51,1.27,4,""
11,127,7.9,4.1,6.77,""
11,128,6.03,1.7,5.76,""
11,129,3.67,1.95,4,""
11,130,2.77,1.93,3.88,""
11,131,3.95,2.2,4,""
11,132,4.98,1.73,5.06,""
11,133,4.77,2.81,4.72,""
11,134,1.8,1.78,1.4,""
11,135,4.56,0.77,4.44,""
11,136,4.14,3.98,3.15,""
11,137,11.73,NA,11.73,""
11,138,9.38,NA,9.38,""
11,139,5.08,1.46,4.86,""
11,140,4.02,0.31,4,""
11,141,17.27,12.26,12.56,""
11,142,54.55,NA,54.55,""
11,143,55,3.14,55.18,""
11,144,52.76,NA,52.76,""
11,145,46.31,5.02,46.31,""
11,146,53.86,3.32,53.99,""
11,147,55.18,3.43,55.18,""
11,148,57.7,0.13,57.7,""
11,149,57.8,NA,57.8,""
11,150,57.7,0.13,57.7,""
11,151,57.7,0.13,57.7,""
11,152,57.61,NA,57.61,""
11,153,57.61,NA,57.61,""
11,154,56.41,1.69,56.41,""
11,155,55.22,NA,55.22,""
11,156,48.45,NA,48.45,""
11,157,48.16,7.14,48.02,""
11,158,56.09,1.09,55.77,""
11,159,56.41,1.69,56.41,""
11,160,56.39,1.13,56.17,""
11,161,56.89,1.02,56.89,""
11,162,56.87,0.98,56.89,""
11,163,55.88,NA,55.88,""
11,164,49.76,NA,49.76,""
11,165,55.55,NA,55.55,""
11,166,53.94,3.62,55.88,""
11,167,56.17,NA,56.17,""
11,168,55.77,0.57,55.77,""
11,169,55.37,NA,55.37,""
11,170,52.97,4.53,52.97,""
11,171,49.09,NA,49.09,""
11,172,40.35,11.72,40.35,""
11,173,39.92,6.86,39.92,""
11,174,49.77,NA,49.77,""
11,175,35.2,1.06,35.2,""
11,176,38.63,12.5,38.63,""
11,177,3.76,3.55,3.53,""
11,178,3.84,1.69,3.78,""
11,179,1.95,1.74,2.89,""
11,180,4.16,2.46,4.08,""
11,181,4.99,0.06,5,""
11,182,5.24,0.83,5,""
11,183,3.65,2.57,3.61,""
11,184,5.82,2.05,4.9,""
11,185,10.43,0.69,10.42,""
11,186,9.6,NA,9.6,""
11,187,3.24,2.17,4.13,""
11,188,5.86,1.99,5.34,""
11,189,5.22,3.9,4.84,""
11,190,5.61,2.05,5.54,""
11,191,4.11,0.24,4,""
11,192,5.04,0.69,4.93,""
11,193,4.51,0.44,4.45,""
11,194,0.82,1.5,0,""
11,195,1.05,1.86,0,""
11,196,4.04,0.07,4,""
11,197,5.21,0.59,5.27,""
11,198,6.15,1.91,5.72,""
11,199,5.65,1.33,5.45,""
11,200,10.98,1.01,10.95,""
11,201,6.43,1.83,6.13,""
11,202,4.18,0.33,4,""
11,203,2.51,1.87,3.41,""
11,204,2.83,1.69,3.8,""
11,205,9.96,3.6,10.42,""
11,206,4.68,0.94,4.28,""
