"edon","seccion","mean","sd","median","note"
12,1,56.99,3.15,56.99,""
12,2,59.21,NA,59.21,""
12,3,58.4,1.53,58.74,""
12,4,59.5,0.41,59.5,""
12,5,59.21,NA,59.21,""
12,6,NA,NA,NA,""
12,7,NA,NA,NA,""
12,8,59.11,1.72,59.21,""
12,9,59.8,NA,59.8,""
12,10,59.28,1.45,59.5,""
12,11,60.29,0.7,60.29,""
12,12,59.06,2.44,59.06,""
12,13,57.34,NA,57.34,""
12,14,NA,NA,NA,""
12,15,59.06,2.44,59.06,""
12,16,60.57,0.31,60.57,""
12,17,60.79,NA,60.79,""
12,18,59.91,1.16,60.35,""
12,19,58.87,1.36,58.59,""
12,20,55.51,4.56,55.96,""
12,21,59.01,NA,59.01,""
12,22,50.42,NA,50.42,""
12,23,59.49,0.67,59.49,""
12,24,56.6,4.73,56.69,""
12,25,60.63,0.94,60.63,""
12,26,59.49,0.67,59.49,""
12,27,60.37,1.8,59.69,""
12,28,60.88,1.79,61.05,""
12,29,61.99,0.6,61.99,""
12,30,56.29,4.8,56.29,""
12,31,60.15,1.84,60.79,""
12,32,61.99,0.6,61.99,""
12,33,62.41,NA,62.41,""
12,34,62.41,0,62.41,""
12,35,62.41,0,62.41,""
12,36,62.41,NA,62.41,""
12,37,61.66,1.47,62.41,""
12,38,61,1.79,61.19,""
12,39,62.6,NA,62.6,""
12,40,62.8,0.28,62.8,""
12,41,62.51,0.13,62.51,""
12,42,62.75,0.29,62.8,""
12,43,62.71,0.41,62.71,""
12,44,62.71,0.41,62.71,""
12,45,62.71,0.41,62.71,""
12,46,62.63,0.28,62.55,""
12,47,62.55,0.19,62.55,""
12,48,NA,NA,NA,""
12,49,NA,NA,NA,""
12,50,NA,NA,NA,""
12,51,62.68,NA,62.68,""
12,52,62.68,NA,62.68,""
12,53,62.84,0.23,62.84,""
12,54,63,NA,63,""
12,55,62.87,0.23,63,""
12,56,62.8,0.28,62.8,""
12,57,62.9,0.2,63,""
12,58,63,NA,63,""
12,59,63,NA,63,""
12,60,63,0,63,""
12,61,63,0,63,""
12,62,63,0,63,""
12,63,63,NA,63,""
12,64,63,0,63,""
12,65,63,0,63,""
12,66,63,0,63,""
12,67,63,NA,63,""
12,68,62.84,0.23,62.84,""
12,69,NA,NA,NA,""
12,70,61.96,1.02,61.96,""
12,71,62.31,0.94,62.68,""
12,72,62.48,0.84,62.84,""
12,73,63,0,63,""
12,74,63,NA,63,""
12,75,63,0,63,""
12,76,63,NA,63,""
12,77,63,0,63,""
12,78,63,0,63,""
12,79,63,NA,63,""
12,80,63,0,63,""
12,81,63,NA,63,""
12,82,63,0,63,""
12,83,63,0,63,""
12,84,63,0,63,""
12,85,63,0,63,""
12,86,63,0,63,""
12,87,63,0,63,""
12,88,63,NA,63,""
12,89,62.12,1.24,62.12,""
12,90,62.12,1.24,62.12,""
12,91,62.12,1.24,62.12,""
12,92,61.24,NA,61.24,""
12,93,63,NA,63,""
12,94,63,NA,63,""
12,95,63,0,63,""
12,97,63,NA,63,""
12,98,63,NA,63,""
12,99,63,NA,63,""
12,100,NA,NA,NA,""
12,101,NA,NA,NA,""
12,102,NA,NA,NA,""
12,103,NA,NA,NA,""
12,104,NA,NA,NA,""
12,105,NA,NA,NA,""
12,106,56.52,NA,56.52,""
12,107,56.92,NA,56.92,""
12,108,NA,NA,NA,""
12,109,NA,NA,NA,""
12,110,45.14,1.34,45.14,""
12,111,56.23,4.2,56.23,""
12,112,58.81,3.13,59.19,""
12,113,61.42,NA,61.42,""
12,114,62.07,NA,62.07,""
12,115,18.63,15.51,10.29,""
12,116,59.46,NA,59.46,""
12,117,61.54,0.2,61.54,""
12,118,62.68,NA,62.68,""
12,119,62.42,NA,62.42,""
12,120,61.13,1.37,61.45,""
12,121,60.77,1.45,60.73,""
12,122,54.36,6.94,56.23,""
12,123,55.52,NA,55.52,""
12,124,53.81,1.34,53.81,""
12,125,46.65,6.61,46.6,""
12,126,NA,NA,NA,""
12,127,35.93,NA,35.93,""
12,128,53.48,6.32,54.47,""
12,129,60,NA,60,""
12,130,61.31,1.24,61.47,""
12,131,61.47,NA,61.47,""
12,132,62.12,0.56,62.42,""
12,133,62.3,0.77,62.42,""
12,134,61.82,NA,61.82,""
12,135,50.11,9.03,51.84,""
12,136,62.75,NA,62.75,""
12,137,62.87,0.18,62.87,""
12,138,62.34,0.64,62.44,""
12,139,61.96,0.7,61.96,""
12,140,61.5,1.08,61.77,""
12,141,61.51,1.32,62.07,""
12,142,59.49,2.71,60.11,""
12,143,52.47,4.91,54.9,""
12,144,60.23,NA,60.23,""
12,145,61.15,1.3,61.15,""
12,146,62.07,NA,62.07,""
12,147,62.07,NA,62.07,""
12,148,62.26,0.28,62.26,""
12,149,62.46,NA,62.46,""
12,150,62.87,0.22,63,""
12,151,63,NA,63,""
12,152,62.87,0.18,62.87,""
12,153,62.87,0.18,62.87,""
12,154,62.87,0.18,62.87,""
12,155,62.46,0.52,62.52,""
12,156,62.68,0.36,62.75,""
12,157,63,0,63,""
12,158,63,0,63,""
12,159,63,0,63,""
12,160,63,NA,63,""
12,161,62.49,NA,62.49,""
12,162,62.28,0.3,62.28,""
12,163,60.23,NA,60.23,""
12,164,58.37,NA,58.37,""
12,165,50.9,3.86,50.9,""
12,166,57.29,1.39,57.29,""
12,167,55.93,2.02,54.76,""
12,168,56.75,2.33,56.52,""
12,169,43.94,6.81,40.94,""
12,170,61.57,NA,61.57,""
12,171,62.03,0.65,62.03,""
12,172,62.75,0.36,62.75,""
12,173,62.75,0.36,62.75,""
12,174,63,0,63,""
12,175,63,0,63,""
12,176,63,NA,63,""
12,177,63,0,63,""
12,178,63,0,63,""
12,179,63,NA,63,""
12,180,62.28,NA,62.28,""
12,181,63,0,63,""
12,182,63,0,63,""
12,183,63,0,63,""
12,184,63,0,63,""
12,185,63,0,63,""
12,186,62.87,0.25,63,""
12,187,62.75,0.36,62.75,""
12,188,62.4,0.6,62.51,""
12,189,62.05,0.67,62.05,""
12,190,62.53,NA,62.53,""
12,191,60.96,1.8,61.47,""
12,192,52.25,6.62,52.58,""
12,193,48.44,8.52,50.42,""
12,194,55.85,5.82,55.85,""
12,195,61.84,1.45,62.18,""
12,196,62.18,1.15,62.18,""
12,197,61.37,NA,61.37,""
12,198,62.47,0.77,62.76,""
12,199,62.53,NA,62.53,""
12,200,62.76,0.33,62.76,""
12,201,63,NA,63,""
12,202,63,0,63,""
12,203,63,NA,63,""
12,204,63,0,63,""
12,205,63,NA,63,""
12,206,63,0,63,""
12,207,62.62,0.53,62.62,""
12,208,62.94,0.14,63,""
12,209,63,NA,63,""
12,210,63,0,63,""
12,211,63,0,63,""
12,212,63,NA,63,""
12,213,63,NA,63,""
12,214,63,0,63,""
12,215,62.88,0.24,63,""
12,216,63,NA,63,""
12,217,63,0,63,""
12,218,62.18,1.15,62.18,""
12,219,62.46,0.94,63,""
12,220,63,0,63,""
12,221,59.99,NA,59.99,""
12,222,60.47,2.78,61.06,""
12,223,60.63,3.38,62.13,""
12,224,62.13,NA,62.13,""
12,225,58.79,3.74,59.25,""
12,226,59.46,4.27,61.73,""
12,227,58.13,5.08,58.13,""
12,228,57.74,4.37,57.91,""
12,229,57.74,4.37,57.91,""
12,230,53.42,NA,53.42,""
12,231,59.96,NA,59.96,""
12,232,59.96,NA,59.96,""
12,233,61.29,NA,61.29,""
12,234,61.51,0.31,61.51,""
12,235,61.51,0.31,61.51,""
12,236,61.73,NA,61.73,""
12,237,61.73,NA,61.73,""
12,238,62.56,0.62,62.56,""
12,239,61.49,2.13,61.49,""
12,240,63,NA,63,""
12,241,63,0,63,""
12,242,63,0,63,""
12,243,63,0,63,""
12,244,63,NA,63,""
12,245,63,0,63,""
12,246,63,NA,63,""
12,247,63,NA,63,""
12,248,62.56,0.62,62.56,""
12,249,62.13,NA,62.13,""
12,250,62,0.89,61.73,""
12,251,61.42,1.52,61.29,""
12,252,61.71,1.38,61.94,""
12,253,62.8,0.28,62.8,""
12,254,62.14,1.21,62.14,""
12,255,NA,NA,NA,""
12,256,63,0,63,""
12,257,62.46,0.64,62.56,""
12,258,62.13,NA,62.13,""
12,259,62.56,0.62,62.56,""
12,260,62.78,0.44,63,""
12,261,62.78,0.44,63,""
12,262,63,NA,63,""
12,263,63,NA,63,""
12,264,63,NA,63,""
12,265,63,NA,63,""
12,266,44.67,18.97,51.44,""
12,267,62.96,0.08,63,""
12,268,63,NA,63,""
12,269,63,0,63,""
12,270,63,0,63,""
12,271,62.71,0.5,63,""
12,272,62.56,0.62,62.56,""
12,273,63,NA,63,""
12,274,62.8,0.28,62.8,""
12,275,NA,NA,NA,""
12,276,NA,NA,NA,""
12,277,63,0,63,""
12,278,63,NA,63,""
12,279,63,0,63,""
12,280,63,0,63,""
12,281,62.76,0.34,62.76,""
12,282,63,0,63,""
12,283,63,NA,63,""
12,284,63,NA,63,""
12,285,63,0,63,""
12,286,63,0,63,""
12,287,63,0,63,""
12,288,63,NA,63,""
12,289,63,NA,63,""
12,290,63,0,63,""
12,291,63,0,63,""
12,292,63,0,63,""
12,293,63,0,63,""
12,294,62.91,0.14,63,""
12,295,63,0,63,""
12,296,63,0,63,""
12,297,63,NA,63,""
12,298,63,NA,63,""
12,299,NA,NA,NA,""
12,300,63,0,63,""
12,301,63,0,63,""
12,302,55.85,7.99,59.36,""
