"edon","seccion","mean","sd","median","note"
13,1,21.08,2.11,20.94,""
13,2,14.03,2.05,13.6,""
13,3,5.94,0.2,6,""
13,4,6.18,0.35,6,""
13,5,6.44,0.51,6,""
13,6,7.03,0.13,7,""
13,7,8.14,0.51,8,""
13,8,9.4,1.04,9.28,""
13,9,13.69,3.96,12.8,""
13,10,10.09,2.72,9.16,""
13,11,19.04,6.04,17.97,""
13,12,8.11,1.43,7.69,""
13,13,21.17,NA,21.17,""
13,14,19.23,1.19,19.25,""
13,15,7.36,0.45,7.03,""
13,16,7.03,0.05,7,""
13,17,9.05,0.35,9.19,""
13,18,9.79,0.49,9.8,""
13,19,10.93,1.37,10.44,""
13,20,9.81,1.08,10.09,""
13,21,9.32,1.71,9,""
13,22,9.28,0.39,9.14,""
13,23,10.43,2.08,10.11,""
13,24,15.57,2.89,15.76,""
13,25,16.04,3.29,17.23,""
13,26,14.5,1.92,14.34,""
13,27,13.67,2.64,13.22,""
13,28,14.93,1.31,14.26,""
13,29,14.66,2.54,14.94,""
13,30,13.58,3.06,14.61,""
13,31,9.93,1.86,9.3,""
13,32,14.96,4.34,15.08,""
13,33,8.26,1.81,8,""
13,34,51.72,2.22,52.03,""
13,35,53.07,NA,53.07,""
13,36,52.55,NA,52.55,""
13,37,54.25,1.45,54.41,""
13,38,55.27,NA,55.27,""
13,39,55.98,NA,55.98,""
13,40,55.65,0.38,55.66,""
13,41,54.19,1.62,54.19,""
13,42,52.36,3.35,53.02,""
13,43,55.98,NA,55.98,""
13,44,55.8,0.25,55.8,""
13,45,54.59,1.46,54.59,""
13,46,55.22,0.7,55.21,""
13,47,54.81,NA,54.81,""
13,48,4.67,2.72,6,""
13,49,6.59,0.44,6.77,""
13,51,3.24,2.91,2.84,""
13,52,12.49,1.75,12.38,""
13,53,31.26,10.3,28.79,""
13,54,27.91,10.14,26.26,""
13,55,13.65,8.01,11.9,""
13,56,11.18,3.62,10.25,""
13,57,7,1.35,6.61,""
13,58,7.6,0.98,7.01,""
13,59,37.87,9.98,37.32,""
13,60,42.89,4.66,42.45,""
13,61,54.47,NA,54.47,""
13,62,44.88,5.42,44.45,""
13,63,47.18,4.85,49.12,""
13,64,36.83,5.66,34.32,""
13,65,34.79,5.27,34.79,""
13,66,21.85,5.74,23.8,""
13,67,22.03,2.5,22.04,""
13,68,21.88,1.64,22.09,""
13,69,7.23,0.65,7,""
13,70,5.67,0.74,6,""
13,71,6.28,0.4,6,""
13,72,6,0,6,""
13,73,5.68,0.69,6,""
13,74,6.08,0.14,6,""
13,75,6.44,0.44,6.43,""
13,76,6,0,6,""
13,77,6.27,0.35,6.04,""
13,78,7.16,0.38,7,""
13,79,8.63,0.83,8.92,""
13,80,7.27,0.83,7.19,""
13,81,28.06,2.52,28.06,""
13,82,21.92,NA,21.92,""
13,83,20.73,3.58,20.84,""
13,84,26.09,1.88,26.09,""
13,85,11.04,2.36,11.13,""
13,86,14.25,1.9,14.65,""
13,87,9.1,1.42,8.65,""
13,88,11.76,3.37,10.93,""
13,89,13.59,0.03,13.59,""
13,90,8.35,0.56,8.35,""
13,91,9.02,3.96,7.05,""
13,92,13.88,1.18,13.98,""
13,93,13.59,1.05,13.89,""
13,94,7.71,0.81,7.3,""
13,95,6.86,0.35,7,""
13,96,6.94,0.21,7,""
13,97,6.91,0.23,7,""
13,98,7,0,7,""
13,99,8.46,0.52,8.42,""
13,100,8.34,1.26,7.96,""
13,101,9.13,1.53,9.45,""
13,102,6.82,0.24,7,""
13,103,9.24,2.05,9.34,""
13,104,7.93,1.62,7,""
13,105,7.97,2.08,7,""
13,106,8.3,1.73,7.35,""
13,107,7.94,1.33,7.31,""
13,108,5.83,1.17,6,""
13,109,4.77,2.42,6,""
13,110,7,0,7,""
13,111,7,0,7,""
13,112,7,0,7,""
13,113,6.13,0.24,6,""
13,114,13.3,2.65,13.3,""
13,115,8.07,1.48,7.74,""
13,116,6.26,0.39,6,""
13,117,6.44,0.48,6.16,""
13,118,6.29,0.42,6,""
13,119,7,0,7,""
13,120,6.37,0.43,6.08,""
13,121,6.1,1.11,6,""
13,122,6.98,0.5,7,""
