"edon","seccion","mean","sd","median","note"
14,1,7.46,5.56,5.09,""
14,2,24.82,NA,24.82,""
14,3,21.91,0.27,21.91,""
14,4,6.58,3.22,5.26,""
14,5,10.47,3.36,9.75,""
14,6,19.28,NA,19.28,""
14,7,3.73,0.37,3.95,""
14,8,3.58,0.71,3.74,""
14,9,4.43,2.95,4.02,""
14,10,7.49,1.8,7.32,""
14,11,5.9,1.45,5.62,""
14,12,5.36,1.03,5.29,""
14,13,14.81,6.89,13.52,""
14,14,26.3,1.54,26.3,""
14,15,8.51,3.61,8.25,""
14,16,17.74,3.27,17.45,""
14,17,21.2,3.84,20.4,""
14,18,9.18,5.03,6.63,""
14,19,19.04,NA,19.04,""
14,20,18.53,1.15,18.37,""
14,21,17.52,0.17,17.46,""
14,22,20.69,4.74,20.69,""
14,23,7.94,4.45,5.85,""
14,24,9.14,11.42,3.8,""
14,25,6.14,6.89,4,""
14,26,27.99,7.64,27.41,""
14,27,11.47,7.24,9.9,""
14,28,13.05,7.57,15.21,""
14,29,30.82,NA,30.82,""
14,30,34.71,4.31,34.28,""
14,31,34.31,4.48,32.17,""
14,32,1.72,1.75,1.29,""
14,33,6.49,1.01,6.47,""
14,34,7.71,1.72,7.86,""
14,35,3.35,2.07,3.34,""
14,36,7.33,0.89,7.33,""
14,37,5.04,2.26,4.69,""
14,38,3.43,2,3.44,""
14,39,2.9,2.22,3.13,""
14,40,11.58,5.73,10.48,""
14,41,15.87,NA,15.87,""
14,42,14.15,NA,14.15,""
14,43,18.61,0.86,18.61,""
14,44,4.84,0.86,5,""
14,45,4.75,2.14,4.01,""
14,46,4.33,0.84,4.07,""
14,47,6.59,3.35,5.13,""
14,48,48.52,1.67,48.52,""
14,50,14.51,10.37,10.3,""
14,51,40.56,NA,40.56,""
14,52,36.01,12.81,33.6,""
14,53,52.64,3.93,52.64,""
14,54,55.42,NA,55.42,""
14,55,55.42,NA,55.42,""
14,56,41.71,9.67,41.33,""
14,57,50.65,4.6,51.4,""
14,58,53.33,2.96,53.33,""
14,59,52.64,3.93,52.64,""
14,60,52.64,3.93,52.64,""
14,61,49.84,4.04,49.86,""
14,62,21.66,10.11,16.85,""
14,63,28.56,12.31,29.03,""
14,64,40.8,10.63,40.8,""
14,65,48.31,NA,48.31,""
14,66,47.8,4.86,47.8,""
14,67,32.21,3.73,32.23,""
14,68,29.03,4.52,29.03,""
14,69,25.84,NA,25.84,""
14,70,11.88,NA,11.88,""
14,71,12.64,NA,12.64,""
14,72,7.83,2.14,8.11,""
14,73,1.18,1.57,0,""
14,74,0.29,0.89,0,""
14,75,0.98,1.56,0.03,""
14,76,1.95,1.87,2.25,""
14,77,5.32,2.14,4.35,""
14,78,5.47,2.11,5.4,""
14,79,8.72,4.21,7.51,""
14,80,9.28,7.91,6.13,""
14,81,2.26,1.91,3.13,""
14,82,0.02,0.07,0,""
14,83,0.18,0.69,0,""
14,84,3.75,1.89,4,""
14,85,7.58,4.79,5,""
14,86,5.5,1.47,5.02,""
14,87,4.18,1.13,4,""
14,88,4.46,0.77,4.13,""
14,89,4.56,0.49,4.78,""
14,90,4.09,0.28,4,""
14,91,4.49,0.52,4.66,""
14,92,1.06,1.71,0,""
14,93,1.02,1.51,0,""
14,94,22.35,2.88,22.35,""
14,95,18.74,5.59,18.33,""
14,96,13.06,8.39,10.54,""
14,97,3.36,0.8,3.32,""
14,98,3.84,0.36,4,""
14,99,3.11,3.6,2.72,""
14,100,6.57,4.82,4.93,""
14,101,7.39,4.88,5.12,""
14,102,23.63,15.17,22.51,""
14,103,48.9,NA,48.9,""
